scheme	Imm_desert_HR	Imm_desert_CI_lo	Imm_desert_CI_hi	Imm_desert_P
Untrimmed IPW	1.880191231089041	1.2171135121715746	2.9045105736742345	0.004434630609810622
Trimmed 1–99% IPW	1.8801983494098313	1.2171155647236573	2.904527668189092	0.004434584308250307
Truncated 2.5–97.5% IPW	1.8483622692060373	1.2050602593721396	2.8350806954703875	0.0048836827970256316
Cohort-only propensity (cohort_group)	1.7863569525499818	1.1697467889368225	2.728001642837599	0.007236404623766637
