covariate	SMD_unweighted	SMD_IPW_weighted	|SMD_pre|	|SMD_post|
location_Other/NA	-0.5052431971494037	-0.34195818429092995	0.5052431971494037	0.34195818429092995
cohort_DMG_K27	0.4111334109587729	0.30581227136327555	0.4111334109587729	0.30581227136327555
location_Hemispheric	-0.26878832929399016	-0.1885907356867493	0.26878832929399016	0.1885907356867493
cohort_pHGG_WT	-0.2321444091224586	-0.18687202203317255	0.2321444091224586	0.18687202203317255
age	-0.12691546166219614	-0.06447730609881878	0.12691546166219614	0.06447730609881878
ecotype_Intermediate	0.11707144822876635	0.09515877392156137	0.11707144822876635	0.09515877392156137
location_Midline	0.09642642575326234	0.06816913132779054	0.09642642575326234	0.06816913132779054
cohort_IHG	0.06982378674349304	0.0543445684025965	0.06982378674349304	0.0543445684025965
male	0.0493203018582555	0.05862683210354476	0.0493203018582555	0.05862683210354476
ecotype_Inflamed	-0.03837548981529174	-0.008473368976520198	0.03837548981529174	0.008473368976520198
location_Posterior_fossa	-0.004959587303680341	-0.0012924792866543342	0.004959587303680341	0.0012924792866543342
