term	naive_HR	naive_CI	naive_P	IPW_HR	IPW_CI	IPW_P	abs_log_HR_shift
ecotype_Intermediate	1.3711426492445304	0.98–1.91	0.06153452156469483	1.5510638430907848	1.11–2.17	0.010864488870578741	0.1232966031249923
ecotype_Immune-desert	1.792715010484049	1.21–2.66	0.0037504972803244197	1.8801983494098313	1.22–2.90	0.004434584308250307	0.04764603992278427
cohort_group_DMG_K27	2.959122644843388	2.11–4.15	3.648210905033259e-10	3.0072071417030704	2.07–4.36	6.597758344138699e-09	0.01611896750245423
cohort_group_DHG_G34	1.1539139507002754	0.59–2.24	0.6723188123449639	1.22348126095076	0.73–2.06	0.448318245270494	0.0585406886579328
cohort_group_IHG	0.21846886104704186	0.08–0.63	0.004966299068591018	0.23987855900095695	0.08–0.70	0.00881472512197621	0.0934892991067291
age	0.9893360702872426	0.96–1.02	0.5056907769792389	0.9918424971670816	0.96–1.02	0.5997281787872983	0.002530239583867182
male	0.8957554491370221	0.67–1.19	0.44977733935305775	0.9350260219671402	0.70–1.25	0.6534667228180043	0.04290692039225462
