cohort	n	events	logrank_p	HR_intermediate	CI_lo_intermediate	CI_hi_intermediate	P_intermediate	HR_immune_desert	CI_lo_immune_desert	CI_hi_immune_desert	P_immune_desert
DMG_K27	140	134	0.1322049544507523	1.3421116677144669	0.9150117557013767	1.9685689472203545	0.13219063958929383	1.5928027209880642	0.9656149653532548	2.627362457104062	0.06831274148522723
DHG_G34	15	13	0.06992991601850429	2.8874292875269356	0.4086155085982781	20.403650167534142	0.28784081408944473	0.6746497627339749	0.08399766059378946	5.418630699229989	0.7112012515174049
pHGG_WT	82	56	0.04919783206202834	1.261154710320271	0.6699461223959862	2.3740882291768837	0.4722024056498687	2.2205731872543084	1.1121942161615346	4.433528972098692	0.02373535894418836
IHG	14	5	0.32926865739750655	1.0786526293338918	0.08492706692388964	13.699890234189086	0.9534424462462234	3.902324745490468	0.40547258523910684	37.55651793397382	0.23856468939302858
