Kids_First_Biospecimen_ID	Cell_Cycle_Proliferation	Chemokine_T_Cell_Recruitment	DAM_KerenShaul2017	Dendritic_Cell_Activation	Glioma_Inflammatory_Wang2017	IFN_Alpha_Response	IFN_Gamma_Response	M1_Macrophage	M2_Macrophage	MAPK_Activity	MDM_Klemm2020	MHC_Class_I	MHC_Class_II	MgTAM_Antunes2021	Microglia_Core_Homeostatic	Microglia_Klemm2020	MoTAM_Antunes2021	NK_Cell_Activity	Neutrophil_Activation	Stemness_Brain_Tumor	TGFb_Immunosuppression	T_Cell_Cytotoxicity	T_Cell_Exhaustion	Tregs_Friebel2020
BS_00FD2KMP	0.3768332243089001	0.19909810776466802	0.4863948099755069	0.04813970313558503	0.114584763810152	0.3720772307722861	0.29476517339141994	0.17626238065026845	0.32419501356786595	0.38515794595848496	0.35857204798909625	0.4970675368097405	0.41890304242423904	0.46686093719803445	0.4663720281563713	0.4651619930506514	0.36470825596016154	0.08042305528213925	0.12840252393107626	0.451888236167364	0.3787931444455644	0.05112575192902527	0.2451885011489043	0.07089899709950666
BS_028YFYJ6	0.36511418147261926	0.1086389619449817	0.55196207034836	0.06256098621461788	0.189844551699683	0.40741527767866803	0.3255068361223227	0.15866628615902875	0.3220442798706616	0.46362678333933294	0.46037262536245377	0.5085595519136519	0.5286227270730178	0.44181143643086496	0.4365289438148341	0.4555250458664231	0.452976587528802	0.07857520884421265	0.2616310738432439	0.41326062031161376	0.3667322104437821	-0.049933699437879446	0.23748431050922342	0.00765707183582965
BS_052PZFMK	0.5301325864577572	0.15580465314611353	0.45296181642079997	0.05073700555969879	0.11554383040140316	0.358542878275746	0.2802444109800767	0.11649887355731244	0.2049103266677307	0.3561100421760433	0.35240063524788623	0.5354317851529091	0.4148229308990741	0.3975135665026076	0.38256000841619753	0.3774323322155194	0.37274178327925506	-0.024644337936342575	0.14452530153778909	0.42421060638161623	0.368586690639603	0.0052032561162926845	0.21819825986098154	0.07810089791859412
BS_056Q8577	0.48010473393959907	0.28413804447563096	0.4919365257672231	0.18380113212428256	0.1956672659168874	0.4679031013852032	0.41830943113809443	0.33317703404037846	0.2780512934173212	0.4385159032423485	0.3845118094645944	0.5185437981076327	0.45006883504984246	0.49885665926603645	0.4803370476774112	0.48322661297236547	0.4187290961135126	0.057034215330392254	0.11558173458114157	0.45719888116209995	0.4321872242504716	0.16283357926516662	0.2713261497007437	0.20282787077070935
BS_08ST21QE	0.3336387544327614	0.2506953816316534	0.5544542728894434	0.0824670446399597	0.22244421241745965	0.4558586639635719	0.3672083119927207	0.15804326903731192	0.3629549796470628	0.41085858350314874	0.48513553657722613	0.5287371283049552	0.5436377340467791	0.47269940696329754	0.47435976866018364	0.4837132765865742	0.5021556532582628	0.13969188795367352	0.13395509838941624	0.39122157286074005	0.330918261845121	-0.012781856279784466	0.2333979620851506	-0.11245334039040948
BS_0C7VZC0A	0.22769135822468226	0.15592737559547576	0.5351694143227788	-0.021421598107069326	0.11846619634343362	0.38678725000635983	0.28682725375355267	0.09820895484530082	0.33005413919430104	0.49570428586915793	0.38449452048662586	0.5294445113501471	0.5082971917321298	0.49655185455833317	0.49887272357772583	0.510646746633306	0.41617442180322545	0.09987703306570002	0.17881466380208844	0.46063183300678673	0.3656450730946488	0.08531573600640353	0.2315392011129228	0.07244815174977055
BS_0S8E7590	0.42543581903231675	0.3675458471396375	0.5324068058039351	0.2131535168722755	0.375009529216	0.4541409567780203	0.4641522676150173	0.3356945560941437	0.35316198318905284	0.5242057202956452	0.4660161298697301	0.5398899092942776	0.5294181415103586	0.4426086981916406	0.43511175778646816	0.4366271399391741	0.49188383362683885	0.16150731854184172	0.3632307360604329	0.4996277729857074	0.45592064202929833	0.2716564858558956	0.31405140755285155	0.27472913064258325
BS_0VXZCRJS	0.4141273229363605	0.2500763572594571	0.5247845370965415	0.03230943903189405	0.23884259950418632	0.36823990089904	0.33137472751978225	0.21983198491193062	0.24224249455971517	0.5102044956117873	0.3791358549863275	0.5367259586869476	0.5184934013892943	0.48567408672982976	0.47515696651762285	0.4870618360828424	0.4317812014113321	0.08570834499375785	0.1539051923368719	0.4364676086886199	0.3748876421679081	0.12178301793746196	0.23126570644685757	0.04038344145638128
BS_0XEBS3PG	0.24021693234843802	0.16771269050303098	0.44477142836636824	0.016883204474488225	0.16896484978020512	0.3816466980932586	0.2515186151835513	0.06859155160685347	0.26677013888256207	0.41386094290249714	0.33612147052268815	0.48581727085342646	0.34188001433381066	0.49419965904733787	0.49343223294124583	0.5084710840984881	0.3614313609133154	0.06209151606166859	0.07978652850402082	0.36188981599229936	0.3206433649546073	0.04190247733956248	0.1377507028656404	-0.026269131749816894
BS_0ZA67BBC	0.3095604131947096	0.1413503728138436	0.49817269314272605	0.06594646134950989	0.11129409091581038	0.39737501193747465	0.2518628167359336	0.1527490320573293	0.26627937229600285	0.4122414630684668	0.36512733800565794	0.5069593090821597	0.4089655484405205	0.5281034736646608	0.5224752863341328	0.5339336778669174	0.42917592927842235	0.07657893137160969	0.21113066650897166	0.47093669056491116	0.34877413371267385	0.05151808128378457	0.2155333996057138	0.013004738303750478
