location4	Inflamed	Intermediate	Immune-desert
Midline	41.42857142857143	42.857142857142854	15.714285714285714
Hemispheric	25.0	42.30769230769231	32.69230769230769
Posterior_fossa	35.714285714285715	42.857142857142854	21.428571428571427
Ambiguous/Other	26.373626373626376	51.64835164835166	21.978021978021978
