ecotype	source	term_id	term_name	p_value	term_size	query_size	intersection_size	precision	recall
Myeloid-dominant	GO:MF	GO:1990948	ubiquitin ligase inhibitor activity	0.013910096375343635	11	115	3	0.02608695652173913	0.2727272727272727
Myeloid-dominant	GO:MF	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	0.016300733539156925	18	10	2	0.2	0.1111111111111111
Myeloid-dominant	WP	WP:WP4919	Neuroinflammation	0.019070048379537605	13	11	2	0.18181818181818182	0.15384615384615385
Myeloid-dominant	GO:MF	GO:0048039	ubiquinone binding	0.021127770101853734	6	35	2	0.05714285714285714	0.3333333333333333
Myeloid-dominant	GO:BP	GO:0051234	establishment of localization	0.02540040718647705	4804	14	11	0.7857142857142857	0.002289758534554538
Myeloid-dominant	GO:MF	GO:0015252	proton channel activity	0.027189669417310467	29	52	3	0.057692307692307696	0.10344827586206896
Myeloid-dominant	REAC	REAC:R-HSA-5628897	TP53 Regulates Metabolic Genes	0.027237546065255375	81	11	3	0.2727272727272727	0.037037037037037035
Myeloid-dominant	REAC	REAC:R-HSA-9711123	Cellular response to chemical stress	0.03334479350340627	206	13	4	0.3076923076923077	0.019417475728155338
Myeloid-dominant	GO:MF	GO:0055105	ubiquitin-protein transferase inhibitor activity	0.037725669817057314	15	115	3	0.02608695652173913	0.2
Myeloid-dominant	REAC	REAC:R-HSA-163210	Formation of ATP by chemiosmotic coupling	0.048060765674678395	20	52	3	0.057692307692307696	0.15
Myeloid-dominant	GO:BP	GO:1901798	positive regulation of signal transduction by p53 class mediator	0.04851462196937261	33	115	4	0.034782608695652174	0.12121212121212122
