biomarker	n	n_events	median_split_cutoff	median_split_p	best_cutoff	naive_best_p	best_stat	n_admissible_cutoffs
TIS	52	22	2.466380521916773	0.16138895568195682	3.264068798431427	0.008862699138807995	6.8502878693648555	27
Bagaev_Effector_cells	52	22	0.1839869844092494	0.08053457333210517	0.1400803826713964	0.013353934334999613	6.121607066073339	27
Bagaev_Checkpoint_inhibitor	52	22	0.26913798907671654	0.17721709644549638	0.2887957118100786	0.03937345116710039	4.244681640447272	27
Bagaev_TAMs	52	22	0.33484860739099587	0.05283688848653819	0.3291414481519447	0.018798514597347524	5.520162302154463	27
