category	H	p	med_Inflamed	med_Intermediate	med_Desert	q_BH
CD8 T cells	0.4030430513940439	0.81748598041517	0.03224702122917999	0.03532590678464424	0.026816036717527168	0.8601492449683779
CD4 T cells	24.64207259699947	4.456992715039988e-06	0.11858523687278957	0.13718213393415457	0.17298777148917152	1.1885313906773302e-05
Tregs / γδ	2.364150513084643	0.3066417176081456	0.0	0.0	0.0	0.490626748173033
B cells	0.3012987282602353	0.8601492449683779	0.021637186235840728	0.019963782773046848	0.023376299141280418	0.8601492449683779
NK cells	25.250723103430673	3.2875710395169003e-06	0.04181664605165348	0.0640834009382805	0.07322031946425805	1.1885313906773302e-05
Monocytes / Macrophages	34.47866572276166	3.25876367474074e-08	0.6214871515699018	0.5396035165592313	0.46159963684679695	2.607010939792592e-07
Dendritic cells	1.0425432854241234	0.5937650107367187	0.0	0.0	0.0	0.7916866809822917
Granulocytes	7.601247108438275	0.022356826815185735	0.09845713430604142	0.11359655811269814	0.15684711243228144	0.04471365363037147
