Kids_First_Biospecimen_ID,HAVCR2,LAG3,PDCD1,CD274,CTLA4,TIGIT,IDO1,SIGLEC15,ecotype
BS_00FD2KMP,2.761285273361619,0.925999418556223,0.02856915219677092,0.9927684307689242,0.25096157353321874,0.070389327891398,0.014355292977070054,0.056583528366367514,Immune-desert
BS_028YFYJ6,4.198494153639083,0.6780719051126377,0.722466024471091,0.35614381022527536,0.34482849699744117,0.0,0.04264433740849372,0.15055967657538138,Intermediate
BS_052PZFMK,1.0908534304511135,1.269033146455237,0.12432813500220177,0.12432813500220177,0.014355292977070054,0.16349873228287956,0.11103131238874395,0.2016338611696504,Immune-desert
BS_056Q8577,5.013015535839256,1.6599245584023783,0.0,3.6542063779442917,0.6040713236688608,0.7311832415722002,0.7824085649273732,0.11103131238874395,Inflamed
BS_08ST21QE,3.877744249949002,0.44360665147561457,0.070389327891398,0.4222330006830478,0.18903382439001715,0.2016338611696504,0.0,0.0,Inflamed
BS_0C7VZC0A,2.430285272977781,0.13750352374993502,0.22650852980867975,0.7311832415722002,0.11103131238874395,0.070389327891398,0.13750352374993502,0.014355292977070054,Intermediate
BS_0S8E7590,4.8811751553492755,1.0840642647884746,0.32192809488736235,2.344828496997441,1.1243281350022014,0.5558161550616397,2.521050736900963,0.0,Inflamed
BS_0VXZCRJS,3.9059284781731347,0.37851162325372983,0.08406426478847455,3.7420062108667365,0.02856915219677092,0.056583528366367514,0.32192809488736235,0.04264433740849372,Intermediate
BS_0XEBS3PG,3.017921907997262,0.014355292977070054,0.0,1.2570106182060237,0.18903382439001715,0.08406426478847455,0.0,0.2016338611696504,Immune-desert
BS_0ZA67BBC,4.295723024539968,0.8479969065549501,0.13750352374993502,1.1953475983222193,0.11103131238874395,0.2016338611696504,0.014355292977070054,0.0,Immune-desert
BS_12G04QJM,2.4462562298895643,0.35614381022527536,0.0,1.232660756790275,0.0,0.0,0.0,0.02856915219677092,Intermediate
BS_17ZSMXFH,1.9818526532897407,1.6915341649192002,0.0,1.4222330006830475,0.0,0.0,0.09761079662642233,0.0,Intermediate
BS_1A6MQ9ZA,2.077242998932461,0.12432813500220177,0.014355292977070054,0.8237493603082727,0.0,0.02856915219677092,0.12432813500220177,0.014355292977070054,Intermediate
BS_1D93Z575,3.9088129077395473,0.8639384504239714,0.0,1.144046369616707,0.13750352374993502,0.0,0.0,0.02856915219677092,Intermediate
BS_1EN5V3XW,1.7355221772965375,1.5360529002402097,0.070389327891398,0.09761079662642233,0.08406426478847455,0.13750352374993502,0.09761079662642233,0.056583528366367514,Immune-desert
BS_223BM91B,5.536985375791937,0.43295940727610627,0.632268215499513,1.6461626571578936,0.8953026213333066,0.29865831556451516,1.4489009511451278,0.0,Inflamed
BS_25HNKZ79,3.9772799234999163,0.6690267655096306,0.08406426478847455,3.4841381312016693,0.17632277264046287,0.014355292977070054,0.722466024471091,0.070389327891398,Inflamed
BS_2853394H,1.0496307677246008,0.4005379295837288,0.0,0.32192809488736235,0.070389327891398,0.02856915219677092,0.0,0.014355292977070054,Immune-desert
BS_297H8BT4,4.183486514459391,0.18903382439001715,0.0,1.2141248053528475,0.37851162325372983,0.0,0.35614381022527536,0.21412480535284734,Inflamed
BS_29X4ZX6Q,1.8196681834964554,0.6690267655096306,0.12432813500220177,1.1826922975161902,0.04264433740849372,0.08406426478847455,0.070389327891398,0.02856915219677092,Immune-desert
BS_2A5R9MEJ,2.361768359419153,0.21412480535284734,0.056583528366367514,0.28688114778816154,0.08406426478847455,0.070389327891398,0.02856915219677092,0.014355292977070054,Immune-desert
BS_2ARXK0TD,5.174326515173915,0.963474123974886,0.5655971758542251,0.4222330006830478,0.6229303509201767,0.925999418556223,0.5160151470036647,0.13750352374993502,Inflamed
BS_2AV1H5TV,2.689299160535892,0.0,0.0,0.014355292977070054,1.5801454844233804,0.04264433740849372,0.0,0.0,Intermediate
BS_2DMBCHNF,4.292045492492862,0.46466826700344427,0.08406426478847455,1.480265122054463,0.18903382439001715,0.34482849699744117,0.6959938131099002,1.3334237337251917,Inflamed
BS_2EN3X6HB,3.678071905112638,0.13750352374993502,0.056583528366367514,0.6959938131099002,0.0,0.070389327891398,0.13750352374993502,0.09761079662642233,Intermediate
BS_2FEZWH1F,5.272396509037485,0.49569516262406876,0.27500704749986976,2.3161457422933562,0.44360665147561457,0.6507645591169021,0.7907720378619999,0.04264433740849372,Inflamed
BS_2HNXVFAS,3.065227622775619,1.722466024471091,0.21412480535284734,0.35614381022527536,0.5459683691052925,0.5459683691052925,0.3895668117627256,0.08406426478847455,Intermediate
