Subgroup	n biospecimen	n unique patient	Age yr median (IQR)	BRAF/RTK fusion+	OS data available
BRAF_ALT_main (HGG/PXA/infant-fusion)	31	31	1.2 (0.8-11.5)	18 (58.1%)	24 (77.4%)
BRAF_ALT_LGG (LGG-only)	322	322	9.1 (5.0-12.8)	208 (64.6%)	254 (78.9%)
