Kids_First_Biospecimen_ID	PROGENy_Androgen	PROGENy_EGFR	PROGENy_Estrogen	PROGENy_Hypoxia	PROGENy_JAK_STAT	PROGENy_MAPK	PROGENy_NFkB	PROGENy_PI3K	PROGENy_TGFb	PROGENy_TNFa	PROGENy_Trail	PROGENy_VEGF	PROGENy_WNT	PROGENy_p53
BS_00FD2KMP	0.5717726917435038	0.8137557074515166	0.4882261843005202	0.9738948414577396	0.7624800485892703	0.8446680841841764	0.6154070700920818	0.98980526347158	0.8278582924889887	0.53640909915026	0.759690446452995	0.7440675318008622	0.5724069671595943	0.704656720108107
BS_028YFYJ6	0.37711111368787664	0.7547616275772706	0.28356589247393277	1.044872532690307	0.843818120363645	0.9602870409623742	0.7432810275421936	0.9338656133980232	0.8636642069823507	0.5966309574751155	0.7178137142247542	0.7388538744152386	0.5681043219531383	0.8824981223456362
BS_052PZFMK	0.5598039848032124	0.7360093559936102	0.30921462324159893	0.9709827955189313	0.8051511179530371	0.8406578045427557	0.6104749924504254	0.9809174201766757	0.8754140150256071	0.5464401556638988	0.7358779503703086	0.8230937015414879	0.5843662424416307	0.7899658904145825
BS_056Q8577	0.6171059984624435	0.7969346227369778	0.43758512295808366	0.9093019778750904	0.9185609895978278	0.8786655310101551	0.7502628002225263	0.9516262913764956	0.9070516186220401	0.7154380853429901	0.7383955342377182	0.7820743329400602	0.6603282852870774	0.742774720416271
BS_08ST21QE	0.44855085285530516	0.6768283703458525	0.5558094766251818	0.9759507810341906	0.9244042020619244	0.8731880821331279	0.8395730706082444	0.9227584950328231	0.9238381681850703	0.7460720065466598	0.7542284324554013	0.7781867088610316	0.46116193386917254	0.8716657083814855
BS_0C7VZC0A	0.5695804569971407	0.7827459963148641	0.3330374592439365	0.99276495333289	0.8182111639976838	0.9737892134485339	0.7041730433854014	0.971550582977278	0.9485312775474563	0.5774517017940667	0.7361961012062811	0.9045379712293511	0.6358574878736717	0.8432215081081885
BS_0S8E7590	0.8220616597421903	0.8947243307387014	0.5932986117820148	1.0633702613441742	0.9675916562425824	0.9985408340255469	0.857977168709681	0.9285249525789047	1.0258555318097657	0.839301709942844	0.8527033146689743	0.8906744290909553	0.7885037267853507	0.8948870987621022
BS_0VXZCRJS	0.44101647830047075	0.8464644461878705	0.44524200520726626	0.9818703109763233	0.8231661361010233	1.0035075159406999	0.673757331438031	0.9645280760825823	0.9534069922834869	0.5940261503755676	0.7414456952831272	0.8388430366279418	0.5456147912104795	0.8542158060588806
BS_0XEBS3PG	0.4832670941721992	0.7286460057230372	0.38365069240684174	0.9817375514110122	0.7684281933757666	0.8717952542292696	0.5546648415339507	0.9625036904053237	0.8151642754085383	0.4648900048997382	0.7539601381175635	0.7208016920603509	0.600830986303677	0.7643017140933877
BS_0ZA67BBC	0.5198414239917187	0.7811683814007766	0.48674898173834746	0.9625798159114377	0.8131702371272921	0.8910931284031223	0.7305900251716312	0.9564093027121617	0.9226606063555647	0.7211916446846124	0.7325497573084083	0.7532997021489068	0.6100536461259677	0.8384751968429046
BS_12G04QJM	0.42566588917324816	0.8638329984197001	0.29293061352727373	0.9769981659184813	0.8946810268207578	1.0214292436965013	0.6224641101877397	0.9546005484452449	0.8501410685825009	0.4526243598024489	0.7581473344678511	0.7244384618110775	0.5622893321719934	0.797679978130045
BS_17ZSMXFH	0.7106015025775243	0.7952057984494539	0.6126400570792797	0.9261866703747819	0.8490742973656602	0.9948037777081631	0.5987290309743852	0.9789130413122953	0.9152209004910031	0.4544029403603409	0.8133370589510149	0.8811942043363715	0.6720759035090118	0.8063092762194951
BS_1A6MQ9ZA	0.5552831756049115	0.8995635882589906	0.3948826438153339	1.093961219236903	0.9519566346862859	1.0305481131801952	0.7615999846132133	0.9938298985831459	0.9377048509193943	0.7497073977149299	0.7668519149881726	0.7744552983181442	0.6003509117401254	0.8670810057893137
BS_1D93Z575	0.5111620211456755	0.8141887709029474	0.35540142623088183	0.9905444690305321	0.8530018634932729	0.9856656239792956	0.7289586142982891	0.9365830090375763	0.9186349777201511	0.6860542726418518	0.7813567087028384	0.764425167676841	0.6179543796351235	0.895304713069755
BS_1EN5V3XW	0.4937114192017298	0.7794502454917374	0.31351821609948444	0.9016364473289941	0.8082941768024182	0.8815708652116392	0.620092554930479	1.002945327692786	0.8799187600200404	0.5709956821690683	0.7466133620372288	0.7800815424151715	0.6205215877005175	0.8059270203571844
