Gene,Label,KW_H,KW_p,Median_TPM_Inflamed,Median_TPM_Intermediate,Median_TPM_Desert
B4GALNT1,B4GALNT1 (GD2 synthase),2.682753806327747,0.2614853805485978,11.18,8.48,10.24
ST8SIA1,ST8SIA1 (GD3 synthase),46.318697857258734,8.750292201815457e-11,27.149999999999995,14.57,8.6
IL13RA2,IL13RA2,23.225212445765823,9.051263263353656e-06,12.839999999999998,8.35,2.5
ERBB2,ERBB2 (HER2),32.95246388545247,6.989778035937341e-08,12.96,8.81,6.540000000000001
CD276,CD276 (B7-H3),41.27954633336176,1.087077247276106e-09,41.92000000000001,31.070000000000007,20.409999999999997
