Kids_First_Biospecimen_ID,PC1,PC2,ecotype
BS_00FD2KMP,2.66306238962235,-1.08048942250344,Immune-desert
BS_028YFYJ6,0.441549323065958,0.35976039300196,Intermediate
BS_052PZFMK,4.95364353049171,-0.440709968091093,Immune-desert
BS_056Q8577,-2.0861355368173,-2.1044796503305,Inflamed
BS_08ST21QE,-2.47948949706027,2.36202548233861,Inflamed
BS_0C7VZC0A,2.78865955161035,1.35054237608076,Intermediate
BS_0S8E7590,-5.67691889602908,-2.99633441424552,Inflamed
BS_0VXZCRJS,1.40961462628684,-0.313051012913183,Intermediate
BS_0XEBS3PG,4.01328736523245,-3.20747540724529,Immune-desert
BS_0ZA67BBC,3.32366658602213,-0.688554222667228,Immune-desert
BS_12G04QJM,1.15210215536623,-0.175853910721895,Intermediate
BS_17ZSMXFH,2.55982397995024,-1.61376422170242,Intermediate
BS_1A6MQ9ZA,0.202871558631222,1.83742878273556,Intermediate
BS_1D93Z575,-0.240523649006201,0.0478535295500784,Intermediate
BS_1EN5V3XW,4.48133196726817,-0.968903012708962,Immune-desert
BS_223BM91B,-4.34039665617683,1.77534218427798,Inflamed
BS_25HNKZ79,-3.92968203781475,0.71952408570328,Inflamed
BS_2853394H,4.6825279692701,-1.07243086892525,Immune-desert
BS_297H8BT4,-2.43582719658499,0.0814000551227223,Inflamed
BS_29X4ZX6Q,4.27602271748223,0.497305005326086,Immune-desert
BS_2A5R9MEJ,5.33322682649922,0.85916481859102,Immune-desert
BS_2ARXK0TD,-4.71064837618126,-5.33227694485644,Inflamed
BS_2AV1H5TV,0.869284837386089,0.400089090765162,Intermediate
BS_2DMBCHNF,-5.13696523517474,1.66168110996473,Inflamed
BS_2EN3X6HB,-1.08651195676627,1.8682326602752,Intermediate
BS_2FEZWH1F,-5.04137983472834,1.74183298436111,Inflamed
BS_2HNXVFAS,1.85734998424692,1.01656335621071,Intermediate
BS_2JH1QMT1,1.36430894222762,0.68298205337411,Intermediate
BS_2JP7RBMB,1.23230956401357,-0.441548690465892,Intermediate
BS_2K01T8K6,-4.34514558718276,-3.61817696976587,Inflamed
BS_2PDS3MSS,-2.16612228198542,1.33985754459603,Intermediate
BS_2T5PJAW8,-1.15465616203194,0.841985621764897,Intermediate
BS_2WANPFBJ,-2.61083873251,0.501532651479738,Inflamed
BS_30F3Z9FS,-2.75454076700668,-1.97906488720455,Inflamed
BS_30VC3R2Q,1.92540907512793,1.01303947676615,Intermediate
BS_30YWQ3FY,-2.98414203805092,-3.72203978008977,Inflamed
BS_31MBRWC4,-3.5754093780184,-4.90246124043732,Inflamed
BS_333KCNDP,-7.28042661017908,-1.96976058834727,Inflamed
BS_399RPKC9,1.40841791185957,2.04356265046426,Intermediate
BS_3AC3SRWH,4.69832601291384,-0.165352837954703,Immune-desert
BS_3MS8WVNR,5.13631533276752,0.647896741014339,Immune-desert
