ecotype	source	term_id	term_name	p_value	term_size	query_size	intersection_size	precision	recall
Lymphocyte-inflamed	GO:BP	GO:0006935	chemotaxis	1.4389868176729402e-19	456	186	35	0.1881720430107527	0.07675438596491228
Lymphocyte-inflamed	GO:BP	GO:0042330	taxis	1.66328828851214e-19	458	186	35	0.1881720430107527	0.07641921397379912
Lymphocyte-inflamed	GO:BP	GO:0001816	cytokine production	1.8492357717101007e-19	786	190	44	0.23157894736842105	0.05597964376590331
Lymphocyte-inflamed	GO:BP	GO:0002443	leukocyte mediated immunity	2.2573395839314755e-19	475	157	33	0.21019108280254778	0.06947368421052631
Lymphocyte-inflamed	GO:BP	GO:0034097	response to cytokine	2.51922123666342e-19	979	196	49	0.25	0.05005107252298264
Lymphocyte-inflamed	REAC	REAC:R-HSA-6798695	Neutrophil degranulation	8.189617413829353e-19	476	141	39	0.2765957446808511	0.0819327731092437
Lymphocyte-inflamed	GO:BP	GO:0051249	regulation of lymphocyte activation	8.870069322862178e-19	506	143	32	0.22377622377622378	0.06324110671936758
Lymphocyte-inflamed	GO:BP	GO:0001817	regulation of cytokine production	1.1151072804923079e-18	780	190	43	0.22631578947368422	0.05512820512820513
Lymphocyte-inflamed	GO:BP	GO:0050900	leukocyte migration	1.1620319432739855e-18	386	186	32	0.17204301075268819	0.08290155440414508
Lymphocyte-inflamed	GO:BP	GO:0002429	immune response-activating cell surface receptor signaling pathway	2.4109309079746887e-18	313	165	28	0.1696969696969697	0.08945686900958466
Lymphocyte-inflamed	GO:BP	GO:0030595	leukocyte chemotaxis	3.1412905392715073e-18	227	186	26	0.13978494623655913	0.1145374449339207
Lymphocyte-inflamed	GO:BP	GO:0032101	regulation of response to external stimulus	3.2391951339319553e-18	1092	195	50	0.2564102564102564	0.045787545787545784
Lymphocyte-inflamed	GO:CC	GO:0000323	lytic vacuole	3.3817481260967375e-18	787	182	40	0.21978021978021978	0.05082592121982211
Lymphocyte-inflamed	GO:CC	GO:0005764	lysosome	3.3817481260967375e-18	787	182	40	0.21978021978021978	0.05082592121982211
Lymphocyte-inflamed	GO:CC	GO:0005886	plasma membrane	3.856699535047248e-18	5906	196	114	0.5816326530612245	0.01930240433457501
Lymphocyte-inflamed	GO:BP	GO:1903037	regulation of leukocyte cell-cell adhesion	5.48256148133916e-18	375	143	28	0.1958041958041958	0.07466666666666667
Lymphocyte-inflamed	GO:BP	GO:0002495	antigen processing and presentation of peptide antigen via MHC class II	7.229884770990547e-18	32	131	13	0.09923664122137404	0.40625
Lymphocyte-inflamed	GO:BP	GO:0050867	positive regulation of cell activation	1.2128634574441495e-17	380	188	31	0.16489361702127658	0.08157894736842106
Lymphocyte-inflamed	REAC	REAC:R-HSA-168249	Innate Immune System	1.2936749243334641e-17	1102	184	64	0.34782608695652173	0.05807622504537205
Lymphocyte-inflamed	GO:BP	GO:0002757	immune response-activating signaling pathway	1.4398468204170378e-17	516	189	35	0.18518518518518517	0.06782945736434108
Lymphocyte-inflamed	GO:BP	GO:0009617	response to bacterium	2.0544288441051327e-17	719	159	37	0.23270440251572327	0.05146036161335188
Lymphocyte-inflamed	GO:BP	GO:0002764	immune response-regulating signaling pathway	2.144661495664256e-17	562	165	34	0.20606060606060606	0.060498220640569395
Lymphocyte-inflamed	GO:BP	GO:0002696	positive regulation of leukocyte activation	2.757208750331871e-17	363	186	30	0.16129032258064516	0.08264462809917356
