family	n_features	n_sig_q05	min_q	max_epsilon_sq	pct_sig
LM22	22	6	3.571261737784121e-07	0.0978972204798572	27.3
ssGSEA	24	22	9.866771431792819e-56	0.7447031580770049	91.7
xCell	39	26	1.0137505334178358e-33	0.4545388026722715	66.7
quanTIseq	11	11	5.472682069726256e-42	0.5572641639234137	100.0
MCP	11	11	1.8239608396395487e-36	0.4797502949023021	100.0
EPIC	8	8	5.995364555140973e-39	0.5149668992598377	100.0
