Signature,Comparison,W,wilcox_p,rank_biserial_r,wilcox_p_BH
M2_Macrophage,Inflamed vs Intermediate,2460,4.19902488841285e-24,-0.723,9.75257393437823e-24
M2_Macrophage,Intermediate vs Immune-desert,2072,7.27155381971752e-17,-0.666,1.00683052888396e-16
Glioma_Inflammatory_Wang2017,Inflamed vs Immune-desert,26,1.13577753685702e-31,-0.994,1.05451317260322e-30
Glioma_Inflammatory_Wang2017,Inflamed vs Intermediate,1907,3.79922908678992e-28,-0.785,1.05209420864952e-27
Glioma_Inflammatory_Wang2017,Intermediate vs Immune-desert,501,1.08698561203154e-30,-0.919,5.21753093775141e-30
NK_Cell_Activity,Inflamed vs Immune-desert,72,4.71987978083485e-31,-0.984,3.08937585654645e-30
NK_Cell_Activity,Inflamed vs Intermediate,2657,9.6431478909381e-23,-0.7,2.04207837690454e-22
NK_Cell_Activity,Intermediate vs Immune-desert,1005,8.78767548525202e-26,-0.838,2.18176770668326e-25
Tregs_Friebel2020,Inflamed vs Immune-desert,91,8.4644865661474e-31,-0.98,4.35316451973295e-30
Tregs_Friebel2020,Inflamed vs Intermediate,1615,2.05110047728246e-30,-0.818,7.77259128233354e-30
Tregs_Friebel2020,Intermediate vs Immune-desert,1623,2.25068949967208e-20,-0.738,3.95243034088756e-20
Dendritic_Cell_Activation,Inflamed vs Immune-desert,58,3.06423933226726e-31,-0.987,2.39689393431534e-30
Dendritic_Cell_Activation,Inflamed vs Intermediate,2157,2.80778935967514e-26,-0.757,7.22002978202178e-26
Dendritic_Cell_Activation,Intermediate vs Immune-desert,1468,1.14503136030933e-21,-0.763,2.16953310374399e-21
Neutrophil_Activation,Inflamed vs Immune-desert,123,2.25104038535618e-30,-0.972,8.10374538728226e-30
Neutrophil_Activation,Inflamed vs Intermediate,2691,1.64024449637987e-22,-0.697,3.19182712809057e-22
Neutrophil_Activation,Intermediate vs Immune-desert,1547,5.28871412622924e-21,-0.751,9.51968542721263e-21
Cell_Cycle_Proliferation,Inflamed vs Immune-desert,4518,0.886675205983567,0.012,0.886675205983567
Cell_Cycle_Proliferation,Inflamed vs Intermediate,9078,0.743645376766676,0.023,0.764892387531438
Cell_Cycle_Proliferation,Intermediate vs Immune-desert,6093,0.827264638846873,-0.017,0.838916253478519
Stemness_Brain_Tumor,Inflamed vs Immune-desert,3502,0.0112064412792985,-0.215,0.0120427428673059
Stemness_Brain_Tumor,Inflamed vs Intermediate,8098,0.222598637999296,-0.087,0.232276839651439
Stemness_Brain_Tumor,Intermediate vs Immune-desert,5256,0.0562173296737792,-0.152,0.0595242314192956
