Signature,Kids_First_Biospecimen_ID,score
Microglia_Core_Homeostatic,BS_97M1E2DW,0.597857118471845
Microglia_Core_Homeostatic,BS_9A1YTHFF,0.858422932694822
Microglia_Core_Homeostatic,BS_9B0A62MT,0.762118942282924
Microglia_Core_Homeostatic,BS_9CA93S6D,0.613210722797891
Microglia_Core_Homeostatic,BS_9FHEFJNP,0.752662547199174
Microglia_Core_Homeostatic,BS_9FX3YREK,0.7832069140995
Microglia_Core_Homeostatic,BS_9GJ3DB1H,0.792123088424638
Microglia_Core_Homeostatic,BS_9JPQZQNG,0.672700867218319
Microglia_Core_Homeostatic,BS_9TXEDSWB,0.850241097078526
Microglia_Core_Homeostatic,BS_9XVACXP0,0.70911679962368
Microglia_Core_Homeostatic,BS_9Y1K14Q5,0.585624171300844
Microglia_Core_Homeostatic,BS_9ZJT0CP0,0.693476032747101
Microglia_Core_Homeostatic,BS_A4PF49V0,0.606726918799875
Microglia_Core_Homeostatic,BS_A6NXR7RC,0.820382785126344
Microglia_Core_Homeostatic,BS_A7Q8G0Y1,0.755922580858241
Microglia_Core_Homeostatic,BS_A8XW5S0W,0.774434395345343
Microglia_Core_Homeostatic,BS_AWH9757B,0.787822385393388
Microglia_Core_Homeostatic,BS_AYSXRQWY,0.710768232080758
Microglia_Core_Homeostatic,BS_AZQM1JJH,0.848447905025601
Microglia_Core_Homeostatic,BS_B1C6GZ84,0.752832375403087
Microglia_Core_Homeostatic,BS_B3MQFFYP,0.893418437056082
Microglia_Core_Homeostatic,BS_B4R7X1KE,0.720072392267126
Microglia_Core_Homeostatic,BS_B57327NA,0.823971769171897
Microglia_Core_Homeostatic,BS_BBAEMXRD,0.760809899171183
Microglia_Core_Homeostatic,BS_BBQ6BHGN,0.817215233527576
Microglia_Core_Homeostatic,BS_BK0HGRXM,0.821635591316266
Microglia_Core_Homeostatic,BS_BMMY0H73,0.789567575379341
Microglia_Core_Homeostatic,BS_C6ZZ3FY5,0.841395418189172
Microglia_Core_Homeostatic,BS_C83TK159,0.817564974919682
Microglia_Core_Homeostatic,BS_CBDQZ8PP,0.660054897215
Microglia_Core_Homeostatic,BS_CF63VG3S,0.765229955024393
Microglia_Core_Homeostatic,BS_CFD3WHAY,0.84020172742928
Microglia_Core_Homeostatic,BS_CG1RG607,0.870153814624626
Microglia_Core_Homeostatic,BS_CVEDJGHZ,0.915230125279913
Microglia_Core_Homeostatic,BS_CXAQDK7S,0.91335828113111
Microglia_Core_Homeostatic,BS_CZPQ493E,0.747672580577533
Microglia_Core_Homeostatic,BS_D29RPBSZ,0.752966253119155
Microglia_Core_Homeostatic,BS_D4VNDNQA,0.652312300078761
Microglia_Core_Homeostatic,BS_D6J2BGDJ,0.735799454366152
Microglia_Core_Homeostatic,BS_DFGS950G,0.638399676920279
Microglia_Core_Homeostatic,BS_DNZVP92S,0.662211301174132
Microglia_Core_Homeostatic,BS_DR079H0D,0.761719708738638
Microglia_Core_Homeostatic,BS_DS438CXE,0.58361604738152
Microglia_Core_Homeostatic,BS_DSPVSM7D,0.702301082929709
Microglia_Core_Homeostatic,BS_DZNXFPH1,0.822086010196571
Microglia_Core_Homeostatic,BS_E7NVYA6G,0.787290139311434
Microglia_Core_Homeostatic,BS_E9CYN4NP,0.776403990388201
Microglia_Core_Homeostatic,BS_EB0XRBT9,0.869588138450386
Microglia_Core_Homeostatic,BS_EDJ5TV0P,0.493742932258725
Microglia_Core_Homeostatic,BS_EMQM7HTA,0.690668694552145
Microglia_Core_Homeostatic,BS_ENEYB4TG,0.894018187152729
Microglia_Core_Homeostatic,BS_EXPJQZTH,0.852201964573952
Microglia_Core_Homeostatic,BS_EZ3147MX,0.833820736948156
Microglia_Core_Homeostatic,BS_F0JB4EAK,0.863522958884784
Microglia_Core_Homeostatic,BS_F21R36MM,0.649753036154498
Microglia_Core_Homeostatic,BS_F65GWS21,0.584556851433686
Microglia_Core_Homeostatic,BS_F6V1Y4QS,0.723141311856625
Microglia_Core_Homeostatic,BS_F9Y4Z92G,0.756899730682391
Microglia_Core_Homeostatic,BS_FCDAH728,0.796392222691224
Microglia_Core_Homeostatic,BS_FEV5A0HN,0.681062781869048
Microglia_Core_Homeostatic,BS_FGJH1X0S,0.615467044002593
Microglia_Core_Homeostatic,BS_FKASA3MN,0.651881553617309
Microglia_Core_Homeostatic,BS_FN07P04C,0.563485542298686
Microglia_Core_Homeostatic,BS_FX2P2WEG,0.811991355852155
Microglia_Core_Homeostatic,BS_FXJY0MNH,0.864011374870162
Microglia_Core_Homeostatic,BS_FYP2B298,0.77851366092504
Microglia_Core_Homeostatic,BS_G19QZG4S,0.882006775844427
Microglia_Core_Homeostatic,BS_G1E5DATJ,0.804064273559239
Microglia_Core_Homeostatic,BS_G257VSS9,0.751004897853747
Microglia_Core_Homeostatic,BS_G3NN392N,0.752105646020298
Microglia_Core_Homeostatic,BS_G3RJTBZD,0.703731272537833
Microglia_Core_Homeostatic,BS_G5NHSFD4,0.816568932086731
Microglia_Core_Homeostatic,BS_G8TXTX0H,0.7964913236332
Microglia_Core_Homeostatic,BS_GG9W3J9Y,0.717042432484611
Microglia_Core_Homeostatic,BS_GW0GKWMS,0.819180565588949
Microglia_Core_Homeostatic,BS_GWHYM3R4,0.662948644000845
Microglia_Core_Homeostatic,BS_GWSJ4Z9H,0.848297352488021
Microglia_Core_Homeostatic,BS_H5VQJR7X,0.707760389936694
Microglia_Core_Homeostatic,BS_H97S5SQN,0.876726698548492
Microglia_Core_Homeostatic,BS_H9JYKFTV,0.730014685562138
Microglia_Core_Homeostatic,BS_HDHXX8Q7,0.691862808813807
Microglia_Core_Homeostatic,BS_HDPCQETG,0.786134296556422
Microglia_Core_Homeostatic,BS_HJRTC9JQ,0.845834816160362
Microglia_Core_Homeostatic,BS_HJV0J603,0.610221804708248
Microglia_Core_Homeostatic,BS_HRJ9145M,0.815260444764655
Microglia_Core_Homeostatic,BS_HWGWYCY7,0.789353711179989
Microglia_Core_Homeostatic,BS_HZ9AYDCQ,0.827365574004103
Microglia_Core_Homeostatic,BS_J4JY2F3H,0.772553583638232
Microglia_Core_Homeostatic,BS_J6212Y48,0.681296895816171
Microglia_Core_Homeostatic,BS_J6W1RB7A,0.736381830620904
Microglia_Core_Homeostatic,BS_J9CBGP57,0.827114434855988
Microglia_Core_Homeostatic,BS_JB43XBCQ,0.888160942209103
Microglia_Core_Homeostatic,BS_JDSNFYQ0,0.738387572879629
Microglia_Core_Homeostatic,BS_JJVH7WR0,0.696885428814994
Microglia_Core_Homeostatic,BS_JMD386Z2,0.769590647700968
Microglia_Core_Homeostatic,BS_JP95KMRD,0.823324274920534
Microglia_Core_Homeostatic,BS_JQGJQ2QZ,0.779824728655303
Microglia_Core_Homeostatic,BS_JQVAWTTM,0.874925161107816
Microglia_Core_Homeostatic,BS_JQXHHK0K,0.709087101846317
Microglia_Core_Homeostatic,BS_JRYJGYC4,0.662695771990268
Microglia_Core_Homeostatic,BS_JS95PE0J,0.733416971748197
Microglia_Core_Homeostatic,BS_JTWNJ8T7,0.645625336971053
Microglia_Core_Homeostatic,BS_JVW2JJ39,0.547469591690865
Microglia_Core_Homeostatic,BS_K0X3PZGN,0.83858504850387
