Kids_First_Biospecimen_ID,UMAP1,UMAP2,ecotype
BS_00FD2KMP,2.95039103102249,-0.568689310384173,Immune-desert
BS_028YFYJ6,1.39700346362155,1.65841825919114,Intermediate
BS_052PZFMK,3.98961219858688,0.464718899297338,Immune-desert
BS_056Q8577,-2.74903979230363,-1.1018900064949,Inflamed
BS_08ST21QE,-1.88391079831559,1.70857222990952,Inflamed
BS_0C7VZC0A,2.03000739883941,-1.0216833589796,Intermediate
BS_0S8E7590,-4.64811148572404,-1.53484914584197,Inflamed
BS_0VXZCRJS,0.63710824322265,-0.571737015080828,Intermediate
BS_0XEBS3PG,3.49186537336868,-1.06405275447406,Immune-desert
BS_0ZA67BBC,3.39766774248641,-1.32741323990859,Immune-desert
BS_12G04QJM,0.507165528054651,-0.00790957493819622,Intermediate
BS_17ZSMXFH,2.9031302697615,-0.331295528841395,Intermediate
BS_1A6MQ9ZA,0.894266224618372,0.738855800199133,Intermediate
BS_1D93Z575,-0.276900433783118,0.023539385366064,Intermediate
BS_1EN5V3XW,3.43762657713455,-0.048341968489069,Immune-desert
BS_223BM91B,-2.80791010785538,1.27855690436326,Inflamed
BS_25HNKZ79,-2.81699910092789,0.537345370816809,Inflamed
BS_2853394H,3.65256414484542,-0.220168271494288,Immune-desert
BS_297H8BT4,-1.36555089879471,1.06735940890275,Inflamed
BS_29X4ZX6Q,3.5432098872618,0.168288192319494,Immune-desert
BS_2A5R9MEJ,3.38461301397842,-2.06795517487564,Immune-desert
BS_2ARXK0TD,-4.80424609113175,-1.78601942343749,Inflamed
BS_2AV1H5TV,1.64080039333862,0.442162713574987,Intermediate
BS_2DMBCHNF,-3.37519326138932,1.91218527274094,Inflamed
BS_2EN3X6HB,-1.36900916028458,0.484514317082983,Intermediate
BS_2FEZWH1F,-3.17639126706559,1.47245820479355,Inflamed
BS_2HNXVFAS,1.4736867949025,-0.662284919453043,Intermediate
BS_2JH1QMT1,0.734404004331049,-1.88438419384994,Intermediate
BS_2JP7RBMB,0.948367214913782,-2.14632622284927,Intermediate
BS_2K01T8K6,-4.34693112302262,-1.42634908242263,Inflamed
BS_2PDS3MSS,-1.17371120381791,1.95814832167588,Intermediate
BS_2T5PJAW8,-1.03117957044083,-0.125835934114832,Intermediate
BS_2WANPFBJ,-1.01991596150834,1.7127388329979,Inflamed
BS_30F3Z9FS,-2.93952765393693,-0.861553912443298,Inflamed
BS_30VC3R2Q,1.95094094347518,-0.377230503988642,Intermediate
BS_30YWQ3FY,-3.55965580869157,0.287733635472876,Inflamed
BS_31MBRWC4,-4.54638543057877,-1.97570506615676,Inflamed
BS_333KCNDP,-4.66874041486222,-0.165181794596094,Inflamed
BS_399RPKC9,1.28278646540206,-0.77044455094375,Intermediate
BS_3AC3SRWH,3.62529573511642,-0.452469685507197,Immune-desert
BS_3MS8WVNR,3.62898812365096,-2.19691208882369,Immune-desert
BS_3ZPJAK9A,2.40849480700057,-0.266052403879541,Intermediate
BS_45J79YTF,5.06788501810592,-0.826449773666638,Immune-desert
BS_49BQS7Z6,2.16894970011276,-1.16377518458404,Intermediate
BS_49CJNZ06,2.58933875631851,0.491550526189428,Immune-desert
BS_4B0BAVTX,-0.984144829992835,0.696708044576269,Intermediate
BS_4BM3F6XJ,0.0758049256758056,0.837350568341833,Intermediate
BS_4C6B11E4,-2.07423129010636,1.99030312018357,Inflamed
BS_4GNN7J8E,-4.81299509931046,-0.569231518936533,Inflamed
BS_4KNBXM3C,-2.82307877469498,2.29570420699082,Inflamed
BS_4Q3KRCZT,-4.54363312650162,-1.0783304361824,Inflamed
BS_4QW2S1Q8,-2.0801118843599,1.21603949980698,Inflamed
BS_4T0HQ9QF,1.61927544992727,1.2390101762291,Intermediate
BS_4V42BXBT,1.00328162979644,-1.80383781476058,Intermediate
BS_51RA1PGE,0.697358883138116,0.768224558400732,Intermediate
BS_52C576HH,1.55633354854148,-0.686065041852373,Intermediate
BS_5965SFPZ,3.11660788130325,-1.97493127865829,Immune-desert
BS_5EFYPZT0,1.52014997430455,1.8672490926262,Intermediate
BS_5G5BD2MD,-3.3721405499025,0.88437779860459,Inflamed
BS_5K95FX4C,-4.29230418134171,0.21281584219895,Inflamed
BS_5KBXD2GQ,0.953666961903986,1.95460256056748,Intermediate
BS_5PXZ8F7W,-0.0888395540757814,1.26287945227585,Intermediate
BS_5VPM0F36,-4.03014197278458,1.89117606596909,Inflamed
BS_62SW4CC5,-4.31398358273942,0.958912810849768,Inflamed
BS_65WPD3DA,-3.28825726438004,-2.10795525593795,Intermediate
BS_68KX6A42,-2.55921521115739,0.159913978147131,Inflamed
BS_6DCSD5Y6,4.48128900599044,-0.0396786121849003,Immune-desert
BS_6H4Q24WA,-4.19673981595475,-0.286132493448633,Inflamed
BS_6M2053M0,-0.572682284597937,-1.56832233948745,Intermediate
BS_6SY64H5J,-4.5282331936403,0.37579568343125,Inflamed
BS_6VRG1XFB,-0.0512236588044801,-0.260986664724726,Intermediate
BS_6WP1FHTE,-1.94968380856949,1.22329266982041,Intermediate
BS_7327SDAQ,1.66390123140376,-1.16379646344222,Intermediate
BS_75YRDXET,-4.06301846433121,1.04662152247391,Inflamed
BS_77SBTNPN,0.95705065798324,-0.265530863237757,Intermediate
BS_7AEF4D4G,-1.52537383962113,2.01351030783616,Inflamed
BS_7APCGCVF,-0.342107676748816,2.04126461462937,Intermediate
BS_7GJT4A6A,3.93015394281906,0.117165288495642,Immune-desert
BS_7GKWKGPH,-2.43093695569474,1.69306333975754,Inflamed
BS_7PVJ6Q3D,3.03341624807876,-0.849417099190134,Immune-desert
BS_7WKNNRHK,0.947344756837305,2.15165408568345,Intermediate
BS_84VZX732,-0.516298674826209,2.24340852217637,Intermediate
BS_84XCR9GG,1.86491934132141,0.000349125432592357,Intermediate
BS_8E8JKP01,3.54628858637374,-2.11411289258041,Immune-desert
BS_8ERBDF7D,2.65857908796829,0.268206796216589,Immune-desert
BS_8JK9TXH2,-0.36212875771958,1.97522576765977,Intermediate
BS_8VD670NP,0.00188312601607654,0.10930945591889,Intermediate
BS_8YWYN7VH,-1.75540246892411,0.0819171877380428,Inflamed
BS_8ZE4Z9G5,-0.16601493287522,1.12605699019394,Intermediate
BS_8ZY4GST0,3.48391923975509,-1.24052745981254,Immune-desert
BS_91VYM11A,-0.892491721396033,0.942053756284338,Intermediate
BS_956G6QPJ,0.164789772744592,-0.384762623739618,Intermediate
BS_97M1E2DW,4.3641601569609,0.0592700453277645,Immune-desert
BS_9A1YTHFF,-4.37029185224015,-0.313868024778742,Inflamed
BS_9B0A62MT,-1.02321519780595,2.27648647742234,Inflamed
BS_9CA93S6D,5.61188826632064,-0.360827991199869,Immune-desert
BS_9FHEFJNP,0.033913470025476,-1.81350813193359,Intermediate
BS_9FX3YREK,4.40373239588302,-1.34738472981491,Immune-desert
BS_9GJ3DB1H,-4.5702549450441,-1.78332249207534,Inflamed
BS_9JPQZQNG,1.4078413985328,0.598133763837439,Intermediate
BS_9TXEDSWB,-1.60068287778336,1.4789205403801,Intermediate
BS_9XVACXP0,3.57920084070724,0.311512670087439,Immune-desert
BS_9Y1K14Q5,0.780566490407403,0.378740152883154,Intermediate
BS_9ZJT0CP0,0.918340004201349,0.742428025769812,Intermediate
BS_A4PF49V0,0.894409156556543,-0.323874541950602,Intermediate
BS_A6NXR7RC,-0.140507959608618,0.751303276586157,Intermediate
BS_A7Q8G0Y1,1.83559928011459,-0.504792252016443,Intermediate
BS_A8XW5S0W,-3.92975916791398,-2.44365898652114,Inflamed
BS_AWH9757B,3.97332701754135,-0.776287273896116,Immune-desert
BS_AYSXRQWY,-0.712835454229895,2.06349428610764,Intermediate
BS_AZQM1JJH,-4.03352465558488,-1.77440349144973,Inflamed
BS_B1C6GZ84,2.87680122923416,-1.60550097508468,Immune-desert
BS_B3MQFFYP,-4.02365746427018,2.08381684737168,Inflamed
BS_B4R7X1KE,3.11266419958633,-2.21526841206588,Immune-desert
BS_B57327NA,-0.732942723517005,0.639524302053076,Intermediate
BS_BBAEMXRD,3.62676749300521,-2.10506514592208,Immune-desert
BS_BBQ6BHGN,2.15041027140182,-1.23369697613754,Intermediate
BS_BK0HGRXM,-3.88985361981827,-0.509379634094614,Inflamed
BS_BMMY0H73,-0.507423781637732,-0.245630302858728,Intermediate
BS_C6ZZ3FY5,0.838909781690057,-1.51179102940597,Intermediate
BS_C83TK159,0.650906658883508,-2.26651135964431,Intermediate
BS_CBDQZ8PP,4.04938349794906,-1.00299918038883,Immune-desert
BS_CF63VG3S,-4.59416928220231,-2.17792848629989,Inflamed
BS_CFD3WHAY,-0.80825343060929,-1.43518058342971,Intermediate
BS_CG1RG607,-3.60273375440079,0.474106511640173,Inflamed
BS_CVEDJGHZ,-4.47895302701432,-0.00546703619994549,Inflamed
BS_CXAQDK7S,-3.687532567267,1.18616994337998,Inflamed
BS_CZPQ493E,-0.284306787733618,1.60724194960557,Intermediate
BS_D29RPBSZ,0.904675400968011,0.684924087094885,Intermediate
BS_D4VNDNQA,2.78327593874496,0.796794256734472,Immune-desert
BS_D6J2BGDJ,4.59632167887252,-1.02590053660907,Immune-desert
BS_DFGS950G,4.26799783777755,-0.479118057918924,Immune-desert
BS_DNZVP92S,0.0418733127073607,-0.271718302202601,Intermediate
BS_DR079H0D,-2.91736521649796,-2.18293682618179,Immune-desert
BS_DS438CXE,5.6657742030577,-0.152765789461512,Immune-desert
BS_DSPVSM7D,2.01526210379165,-0.0260917930129948,Intermediate
BS_DZNXFPH1,-3.6211058132692,1.92159255461655,Inflamed
BS_E7NVYA6G,-3.01521983075577,2.09477885680161,Inflamed
BS_E9CYN4NP,3.48015282225173,-0.914850444925207,Immune-desert
BS_EB0XRBT9,-3.57661070752579,0.402201137113195,Inflamed
BS_EDJ5TV0P,3.93421039652389,0.960497817563635,Immune-desert
BS_EMQM7HTA,0.27312240671676,-0.677395129037279,Intermediate
BS_ENEYB4TG,-4.00715317655045,-0.534925022554773,Inflamed
BS_EXPJQZTH,-2.29274477887589,1.56204350905381,Inflamed
BS_EZ3147MX,0.16835949492019,-1.6026903180603,Intermediate
BS_F0JB4EAK,3.90942010950607,-1.44557622952499,Immune-desert
BS_F21R36MM,0.860919571633752,1.70353086905442,Intermediate
BS_F65GWS21,2.35259798836273,1.53608878569565,Intermediate
BS_F6V1Y4QS,1.67151790034335,0.0412004204269466,Intermediate
BS_F9Y4Z92G,4.47874937128585,-1.37270573658981,Immune-desert
BS_FCDAH728,0.391633606667932,-1.70928166194,Intermediate
BS_FEV5A0HN,5.53729090761703,-0.81096599476524,Immune-desert
BS_FGJH1X0S,3.20099113058608,0.420355877446753,Immune-desert
BS_FKASA3MN,5.67972407412094,-0.462037035656351,Immune-desert
BS_FN07P04C,4.65363750528854,0.297077974843603,Immune-desert
BS_FX2P2WEG,-1.50222053456742,1.76958902792893,Inflamed
BS_FXJY0MNH,-2.57628312039811,-0.488481232357401,Inflamed
BS_FYP2B298,3.11721918654006,-2.2683345465187,Immune-desert
BS_G19QZG4S,0.124675012345727,-1.88082245869674,Intermediate
BS_G1E5DATJ,-3.68381943631608,-1.46436009688415,Inflamed
BS_G257VSS9,2.63500032496017,-0.767351058704037,Intermediate
BS_G3NN392N,0.527822352166589,-1.04423984272518,Intermediate
BS_G3RJTBZD,3.69238934587997,-1.1247156946186,Immune-desert
BS_G5NHSFD4,4.03165588449996,-1.70017216486968,Immune-desert
BS_G8TXTX0H,-0.0467288725419679,-1.18336311860122,Intermediate
BS_GG9W3J9Y,3.16572258543533,-0.190662541818995,Immune-desert
BS_GW0GKWMS,2.63067529272598,-1.13957301659622,Immune-desert
BS_GWHYM3R4,0.393251991982873,0.317215880918127,Intermediate
BS_GWSJ4Z9H,-2.28862156796891,-0.120587089491266,Inflamed
BS_H5VQJR7X,-1.03066697049576,1.92125495390854,Intermediate
BS_H97S5SQN,0.350900388474878,-2.12990287823715,Intermediate
BS_H9JYKFTV,1.54686415117544,0.203654727506262,Intermediate
BS_HDHXX8Q7,0.359811878915246,0.0854169340606746,Intermediate
BS_HDPCQETG,-3.00090660977799,1.63956936316453,Inflamed
BS_HJRTC9JQ,-2.79159798551041,1.87775000052415,Inflamed
BS_HJV0J603,-3.81858506131608,0.714946112203222,Inflamed
BS_HRJ9145M,-3.22596754956681,2.21210177855454,Inflamed
BS_HWGWYCY7,-4.26114764142472,1.77696546034775,Inflamed
BS_HZ9AYDCQ,-3.00390639234025,-0.962146827412027,Inflamed
BS_J4JY2F3H,-2.18782200742203,1.60237821059189,Inflamed
BS_J6212Y48,1.13303682875198,1.07408364729844,Intermediate
BS_J6W1RB7A,-0.0895600550218263,1.85262998061143,Intermediate
BS_J9CBGP57,1.37542921971839,-1.48205725235977,Intermediate
BS_JB43XBCQ,-3.50827231336075,0.817364177274328,Inflamed
BS_JDSNFYQ0,-0.724960946325842,2.28294738249741,Intermediate
BS_JJVH7WR0,3.81886730265182,-1.72848604006805,Immune-desert
BS_JMD386Z2,0.665527022595819,0.518790087270361,Intermediate
BS_JP95KMRD,-4.81397452283341,-1.62141964716949,Inflamed
BS_JQGJQ2QZ,-4.4423686497255,-2.16648665947952,Inflamed
BS_JQVAWTTM,-0.947031163458411,-1.31860951466598,Intermediate
BS_JQXHHK0K,2.9049396283583,-1.57106886191406,Immune-desert
BS_JRYJGYC4,0.593777752633508,1.59344776587449,Intermediate
BS_JS95PE0J,1.18858040046256,0.455456337499243,Intermediate
BS_JTWNJ8T7,5.59182772707504,-0.710986906123537,Immune-desert
BS_JVW2JJ39,5.24023852419418,0.229685983228308,Immune-desert
BS_K0X3PZGN,-4.85632672238785,-0.399613508415598,Inflamed
BS_K17VQECG,-2.08225693631608,1.17418440298997,Intermediate
BS_K2PCC777,-4.82427325177628,-1.2228348044876,Inflamed
BS_K74N1BXQ,-3.1204372875734,-1.43164036555328,Intermediate
BS_K81PZXP2,-1.72635927129227,0.970681628751379,Inflamed
BS_K88T8SW7,-4.41470303464371,0.0475671501632747,Inflamed
BS_KABQQA0T,4.2237428195433,-1.16200266165771,Immune-desert
BS_KBEX4RT2,-0.751803302053992,-0.746375644040484,Intermediate
BS_KFD5128N,1.9363707966761,-0.250501850080866,Intermediate
BS_KKDTW11T,2.11526069712203,1.86402567343674,Intermediate
BS_KP735TJ6,4.75531873774093,0.0956963510986385,Immune-desert
BS_KQ6ZW085,1.4931723998518,-1.54818020148315,Intermediate
BS_KRS4EV4X,0.191484905000146,1.28647478537522,Intermediate
BS_KS8HMGA6,-4.51870360303361,-0.576807910037417,Inflamed
BS_KVPWHDR4,-0.0371762745423951,-0.713275679779429,Intermediate
BS_M0FA190Y,-3.17348351407487,-1.58866552395858,Intermediate
BS_M0XGZ53Z,4.9860182769255,-0.635092550349611,Immune-desert
BS_M1PVEHCM,5.39441404413742,-0.726122551989931,Immune-desert
BS_M54TWTH4,-1.45578875470597,-1.35474393649139,Intermediate
BS_M7XB258E,-3.86820855069596,1.83427484946213,Inflamed
BS_M85CXHDV,-2.54791464734513,1.77300532774888,Inflamed
BS_MB7WN0ZB,0.372215724702295,0.740325412320715,Intermediate
BS_MD0937XT,4.1329475409941,-0.20229236168899,Immune-desert
BS_MDBT7S5Z,5.0163990027861,-0.21448866410293,Immune-desert
BS_ME6VQGG4,1.18659553598922,-0.0233245877746525,Intermediate
BS_MFGZH8FK,1.71578947376769,1.04339774565659,Intermediate
BS_MG78HQDM,5.73417649340194,-0.429149129820246,Immune-desert
BS_MWWZBQ60,2.05362556051772,-0.556261429024119,Intermediate
BS_N6TQBQ8M,0.266650892014917,-0.371097960901636,Intermediate
BS_N7SW36FD,-2.19385757375199,1.07684954123459,Inflamed
BS_N7VQ1GQB,-2.38352456021744,0.459351024198156,Inflamed
BS_NB9XXBW6,0.82546410631698,-2.28568498177566,Intermediate
BS_NEFAASTR,-2.36864151883561,1.36868747191392,Inflamed
BS_NEVYM2FP,0.800089634175714,-2.37057796998062,Intermediate
BS_NFKKDYSV,-2.53905119824845,1.00786682085953,Inflamed
BS_NGSG2KB6,-2.82853808331925,0.325950822400671,Inflamed
BS_NNYXMSTX,-2.66870131421525,0.219140252637487,Inflamed
BS_NPA6CZQF,3.7467490203337,-1.58960393948593,Immune-desert
BS_NQ54ST98,-0.740396641974036,1.5113559575554,Intermediate
BS_NR3P3GN2,0.0926793582395873,1.86662085967026,Intermediate
BS_NX1R0BC3,-3.80279602933366,-0.770450001043457,Inflamed
BS_P0QF87WC,0.516336954350885,1.87526663260422,Intermediate
BS_P4PMWFMV,0.728568053956445,-0.288888969850916,Intermediate
BS_P7W3AYKV,-3.80699553418595,-2.2821114449028,Inflamed
BS_PENM28KT,1.342590651627,-0.952934750748056,Intermediate
BS_PJC6FH4Y,-3.07919659543473,1.85019525008164,Inflamed
BS_PS0P3QJ3,0.882230318303522,-0.401946255398172,Intermediate
BS_PXCPK5XS,-0.286995195631568,-0.519403317404169,Intermediate
BS_PZVHMSYN,1.87858284186881,1.64178379492722,Intermediate
BS_Q06J3RYW,-4.12910618710953,-2.03320578618087,Inflamed
BS_Q35GFYDR,2.21688351702255,1.40764125304185,Intermediate
BS_Q9N5PRD5,1.43449675958913,1.36385925726853,Intermediate
BS_QB84TBA3,4.77534637522262,0.166595420407873,Immune-desert
BS_QGKEP3KB,-3.27746930051285,1.26330860571824,Inflamed
BS_QH0VYVJK,-1.81078042912919,0.726416549253088,Intermediate
BS_QHY302E8,-1.12274541783768,1.81023748831711,Inflamed
BS_QMBS32Y2,0.791285610909875,-0.0781050710205021,Intermediate
BS_QNNX91SM,0.121968365426477,-1.73917964978256,Intermediate
BS_QY2G1JZJ,-3.57391085553605,-1.89068333191909,Inflamed
BS_QYA4TQXX,2.86610016893905,1.28954585509263,Immune-desert
BS_R5JQE0VJ,0.993379986997064,1.02492328600846,Intermediate
BS_R5SNFB5B,4.79794750284713,-0.00887135548629192,Immune-desert
BS_R9B92M75,0.731016612763818,-2.3067205338005,Intermediate
BS_RHAWQJ48,-3.97834458280045,-1.10763342065849,Inflamed
BS_RHM60031,0.123856402154382,1.5551083894249,Intermediate
BS_RJC3WDD6,5.8492458827452,-0.542638549042124,Immune-desert
BS_RN0VAY51,-3.45980229306657,-1.99201957268753,Intermediate
BS_RX1YTZ7F,-0.109226726774756,-0.22810761017837,Intermediate
BS_RZBFH1QF,5.07581100534957,0.24361737685166,Immune-desert
BS_S2TA8R29,-1.07066192555863,0.444808206128698,Intermediate
BS_S3C2PZAH,0.238828993554529,2.28351028876267,Intermediate
BS_S3MET0JZ,0.61104486059707,-1.06926793737449,Intermediate
BS_S4V9E1XJ,-1.87865676808793,0.591161808538061,Inflamed
BS_S5P8VTN5,-0.198698543791358,0.614720902013403,Intermediate
BS_S6B9DVNS,5.29825625490707,0.137358448075872,Immune-desert
BS_S6S7SK3P,4.57321510386032,-0.20470980687179,Immune-desert
BS_S8K878T3,-4.28428473401505,1.5328448625084,Inflamed
BS_SBMAM00V,0.140114641900476,-1.11832711977996,Intermediate
BS_SBMCD7XZ,-1.28965248990494,-1.11574015898742,Intermediate
BS_SD0EMK7Y,-3.36075415540177,-1.12860096378364,Inflamed
BS_SD8YBRBR,5.51280961107772,-0.130216041040796,Immune-desert
BS_SERDGASJ,-3.25546135831315,-0.931640775335211,Inflamed
BS_SJVTZ5TH,1.73134659897846,1.77049120383225,Intermediate
BS_SMWQR2F1,0.386648154969629,0.527981123494726,Intermediate
BS_SNVM7CZT,-1.98453011441666,-0.761443083566803,Inflamed
BS_SR2RGDXJ,-1.08998002934891,0.197061261701208,Intermediate
BS_SW9Z10F9,-2.20942392278153,0.642273983525854,Inflamed
BS_SY3J3XR9,3.88440857004684,-1.44421867413558,Immune-desert
BS_T1YHK6B7,1.03843391608756,0.659952363538366,Intermediate
BS_T2F48Z4E,-2.85019602704484,2.10077389197312,Inflamed
BS_T9A8JJW5,1.97204334210914,-0.631031805110354,Intermediate
BS_TASG32Z2,1.67826824557346,1.52348860220872,Intermediate
BS_TGS109T3,2.87939689230483,-1.897702851725,Immune-desert
BS_TM9MH0RP,-0.630654477362219,0.328195294904333,Intermediate
BS_TR2P8KRF,1.12417117428344,0.353692016172033,Intermediate
BS_TRKH2SPE,2.36436722349685,-0.856517740917582,Immune-desert
BS_TRPXB3AV,2.19246444773239,0.852483591603857,Intermediate
BS_TTDNZTZ0,-2.98738732266862,1.05068846659623,Inflamed
BS_TTE04ZP8,-4.20766940045792,-1.61441085619964,Inflamed
BS_TV5B86ZD,4.2258544928984,0.749210319089514,Immune-desert
BS_TVH33J9Q,0.0882918603376708,-0.873755746913332,Intermediate
BS_TXZ7KHTQ,1.14255229305786,-0.927093641293425,Intermediate
BS_V0DQFC75,1.8356096811251,1.78354223685227,Intermediate
BS_V3Z3DB4N,3.90823636126083,-1.6930942325119,Immune-desert
BS_V558NW3Q,-4.55222430158097,0.0852009268280086,Inflamed
BS_V6RSB5HQ,2.405485010858,0.171687147187811,Intermediate
BS_V8QWBVS3,-4.1843382351442,1.6287818761345,Inflamed
