ecotype	LM22_B cells naive	LM22_B cells memory	LM22_Plasma cells	LM22_T cells CD8	LM22_T cells CD4 naive	LM22_T cells CD4 memory resting	LM22_T cells CD4 memory activated	LM22_T cells follicular helper	LM22_T cells regulatory (Tregs)	LM22_T cells gamma delta	LM22_NK cells resting	LM22_NK cells activated	LM22_Monocytes	LM22_Macrophages M0	LM22_Macrophages M1	LM22_Macrophages M2	LM22_Dendritic cells resting	LM22_Dendritic cells activated	LM22_Mast cells resting	LM22_Mast cells activated	LM22_Eosinophils	LM22_Neutrophils	ssGSEA_Microglia_Core_Homeostatic	ssGSEA_Microglia_Klemm2020	ssGSEA_MDM_Klemm2020	ssGSEA_MgTAM_Antunes2021	ssGSEA_MoTAM_Antunes2021	ssGSEA_DAM_KerenShaul2017	ssGSEA_MHC_Class_I	ssGSEA_MHC_Class_II	ssGSEA_IFN_Gamma_Response	ssGSEA_IFN_Alpha_Response	ssGSEA_T_Cell_Cytotoxicity	ssGSEA_T_Cell_Exhaustion	ssGSEA_Chemokine_T_Cell_Recruitment	ssGSEA_MAPK_Activity	ssGSEA_TGFb_Immunosuppression	ssGSEA_M1_Macrophage	ssGSEA_M2_Macrophage	ssGSEA_Glioma_Inflammatory_Wang2017	ssGSEA_NK_Cell_Activity	ssGSEA_Tregs_Friebel2020	ssGSEA_Dendritic_Cell_Activation	ssGSEA_Neutrophil_Activation	ssGSEA_Cell_Cycle_Proliferation	ssGSEA_Stemness_Brain_Tumor
Lymphocyte-inflamed	0.3037475910943253	-0.23363161525031845	0.23797778207617742	-0.1145533434988755	-0.08862701449471971	-0.3337391581821949	0.12039897369236667	0.09384614763086586	-0.2854539109678905	0.168422478705098	-0.11518568583119447	-0.24719512968816124	0.3616693901350408	0.20307933729580604	0.5217315142244892	-0.07276519065593468	-0.0918429511528796	0.055618238007004314	-0.2549860358294557	-0.025571706876347175	0.4561868349532857	0.2224405827258308	0.36534093749139424	0.33497694065969424	0.8229958246768666	0.3654858347272286	0.8855259830988664	0.6225955566759445	0.44285461172204355	0.41298843720382605	0.9919903055100291	0.7995190039768777	0.8805010792563887	0.8640927696552304	0.804442116852435	0.042098976642000005	1.0845432405616366	1.0718919316820228	0.7667204642096476	0.912015651200762	0.87844863929789	0.9874460598042107	0.8317433534590026	1.029216196322213	0.675927188356545	0.2763163880056507
Myeloid-dominant	-0.09054573958107415	0.2502063803150171	0.0767780748717735	-0.07826260136849199	0.044131686830108575	-0.032535084123181325	-0.054411350773876245	0.07219694316992861	0.12133242464336007	-0.04803014874389314	0.25908043460948266	-0.1329459488489124	-0.08203540934239215	0.27983124456700914	-0.00338651588310285	-0.21181916796632536	0.1566195248603368	-0.002889290069630183	0.09667498616725557	-0.05931643961161409	0.03807368977165339	0.16197454427114452	-0.5623161607860901	-0.5362848810373788	-0.206880282584493	-0.5315909825904677	-0.06703661059399682	-0.31264887352455106	-0.24487492156995122	-0.41049701966310703	-0.212721799120833	-0.12955206005114112	-0.2520558539661438	-0.329617456716019	-0.31652435198176676	-0.23174611641994186	-0.33278123332701	-0.12032649980384388	-0.38240203021115055	-0.22367677319135892	-0.057604061865936654	-0.21638104762583338	-0.20837324908821606	0.0055975662579743745	0.6861020854372786	0.38486531475603186
Immune-desert	-0.053786808143390145	0.3163298123701749	0.04963172685299895	-0.03928302889765233	0.5451976896928402	-0.00810424643103985	-0.06093918775703398	0.9504469042237238	-0.0075078555652962325	-0.03427846943981416	0.21850800644927246	0.2508933754271232	-0.25826094283361567	0.2242236987688421	-0.13668920370575213	-0.5427290127787586	0.20021878182921649	0.1185022153806397	0.85817886672034	-0.3185336657622631	0.02476609695601338	-0.08206712871616603	-1.3606586153954399	-1.3933829018310633	-1.5549632204676336	-1.3960926236058504	-1.5565951914252207	-1.7428604935504426	-1.3234880350230673	-1.7213867838214776	-1.1930545923026075	-0.9422216243751677	-1.4696499004546923	-1.3102022094655694	-1.5965436902477221	-1.2751966589843513	-1.3782303234493203	-1.3625476912979768	-1.4680031631356751	-1.413404365239272	-1.27968784936928	-1.1975630292932042	-1.2349767320326936	-1.3160583607356104	0.6684060315946653	-0.0553156977600795
