ecotype	gene	log2FC	q_BH
Lymphocyte-inflamed	PLEK	1.7402240892358631	0.0
Lymphocyte-inflamed	PIK3AP1	1.7396055004926998	0.0
Lymphocyte-inflamed	POSTN	1.738290748296368	1.547485314473641e-09
Lymphocyte-inflamed	MYOF	1.7380311280917744	0.0
Lymphocyte-inflamed	SLA	1.737665523481958	0.0
Lymphocyte-inflamed	FOS	1.7344074495610151	2.3895981302468943e-11
Lymphocyte-inflamed	TBXAS1	1.7317390397360963	0.0
Lymphocyte-inflamed	SIGLEC10	1.7301676365238845	0.0
Lymphocyte-inflamed	MX2	1.7299099266812397	0.0
Myeloid-dominant	5_8S_rRNA	2.0492928072878467	0.0039122834379614006
Myeloid-dominant	RNA5-8SN1	1.892414245563545	0.007612791971050209
Myeloid-dominant	RNA5-8SN4	1.6871622280365886	0.01158566244471215
Myeloid-dominant	MT-ND4L	1.6176886250283413	0.003032763977128248
Myeloid-dominant	RNA5-8SN5	1.6033089382122974	0.01614822561644864
Myeloid-dominant	RNA5-8SN2	1.5181270767946193	0.02283879245014363
Myeloid-dominant	RNA5-8SN3	1.5006528536661872	0.024848506890064948
Myeloid-dominant	MT-ATP8	1.4763212285964382	0.008048924119288965
Myeloid-dominant	RPS7	1.421562144674981	0.0010282754070835194
Myeloid-dominant	RPS17	1.4068624308059388	0.0008601994083974627
Myeloid-dominant	MT-ND3	1.3763307132612503	0.004025515522263388
Myeloid-dominant	MT-CO2	1.3597101523428705	0.006905228767657578
Myeloid-dominant	MT-CO3	1.3265519635863878	0.011226028146655022
Myeloid-dominant	MT-ND6	1.2617435060864155	0.010968013353865656
Myeloid-dominant	MT-ND4	1.256243340484314	0.0074649405727568695
Myeloid-dominant	MT-ATP6	1.2481240762597992	0.006369372637975544
Myeloid-dominant	MT-CO1	1.2417626122187855	0.015167369738595532
Myeloid-dominant	MT-CYB	1.1804989868842881	0.013138089045637683
Myeloid-dominant	RPS27A	1.1696950681269795	0.0012036773967312301
