Kids_First_Biospecimen_ID	Bagaev_Angiogenesis	Bagaev_Antitumor_cytokines	Bagaev_B_cells	Bagaev_Checkpoint_inhibitor	Bagaev_Coactivation	Bagaev_Effector_cell_traffic	Bagaev_Effector_cells	Bagaev_Granulocyte_traffic	Bagaev_Immune_Suppression_Myeloid	Bagaev_M1_signature	Bagaev_MHC_I	Bagaev_MHC_II	Bagaev_Macrophage_DC_traffic	Bagaev_Myeloid_cells_traffic	Bagaev_NK_cells	Bagaev_Neutrophil_signature	Bagaev_Protumor_cytokines	Bagaev_TAMs	Bagaev_T_cells	Bagaev_Th1_signature	Bagaev_Th2_signature	Bagaev_Treg	Bagaev_Treg_Th2_traffic	Bagaev_Tumor_proliferation	TIS_Danaher18
BS_1G3WYEN3	0.41526977294503226	-0.012611851758136427	0.07789868735771754	0.2056299708289051	0.13376785271074443	0.1899790185208287	0.1378025268912146	0.20995103913087498	0.1784187063891157	0.13339193479175532	0.5170702042099992	0.5396890889263555	0.004411576715469808	0.2061644006609547	0.08976169963799698	0.21598032097904385	0.24849073262092083	0.2526625278301068	0.251958154769309	0.1570480216955956	0.09448370280617603	0.28255551728746264	-0.027290929766039328	0.2613994500386679	0.3168781602696127
BS_24AHZ9ZW	0.38617181486364766	-0.047253165448913365	0.24181457523510091	0.28218350748534043	0.18783014366742776	0.23913192776184966	0.21256468187753028	0.24271253277407576	0.2230281904662755	0.17642200646715836	0.5626031182728597	0.5788293323353783	0.09335801248071669	0.30577107794813685	0.20336350304752887	0.3459095915210815	0.2309670487470783	0.3849153653396784	0.3279203289180226	0.1134488019860067	0.0739646241016605	0.31165954736037843	-0.02501473436922513	0.2869860551546627	0.3770944544991412
BS_2EMW8ZG3	0.406096076297642	-0.036244600821848966	0.04517619764554953	0.2555153446441303	0.18305517480156913	0.232309826797888	0.12079476295027872	0.129979220084953	0.23020220648628853	0.1545497293344764	0.5364980167516684	0.5591350237419375	-0.041667296862835594	0.19409966679161486	0.056321895178024044	0.18713461957690813	0.22842037789719205	0.34794636390090006	0.2891659717340573	0.09979011300367503	0.05731659432969024	0.3085512723759409	0.030423871248100323	0.29465940019758535	0.3597589949301153
BS_2KJ2YAZR	0.44387172047710066	0.029993907563815786	0.05857476063088832	0.2145861292851142	0.16616929340667205	0.1957664891397551	0.170469700421015	0.041457348751433	0.17210499894255732	0.22011668512539767	0.5526813631195617	0.5859880391983923	0.1690425994622197	0.3558656326859874	0.18794065292379866	0.1988668851719707	0.23179278128470018	0.31687349422327493	0.2301697894525659	0.1088654983373027	-0.0048943364659867206	0.2666016343374621	-0.10518311847016995	0.32527381115956705	0.32899861481804643
BS_2YCJV2VV	0.42512788578546473	-0.028701477522660716	0.23140716407392772	0.24058311088130607	0.16906692611012836	0.14110894824510822	-0.02839531996726727	0.3498878163875045	0.219053794070954	0.19322279311919585	0.5464142372147621	0.5447961478492912	0.09934418322226685	0.3135058512893778	0.0933034262650104	0.2852531575888234	0.32145165407900433	0.33615401502856146	0.18818431093733448	0.05930077451414276	0.023313202323448776	0.3266400533627737	-0.12278952607939092	0.3247856056437552	0.3161315427093872
BS_3G3KWY18	0.4014138340913794	0.0024293556529744746	0.1226379903621842	0.24662148750326032	0.16605796046009227	0.16145319076900916	0.08236756464544102	0.16470965890642483	0.22800342955158598	0.2132397380354764	0.5558120182229949	0.5819563027922897	0.024700058872963084	0.24045803430924173	0.165082144106312	0.20065851605065213	0.2237828435734439	0.31548318356851196	0.25511171327339505	0.10957151920904294	0.02121050299287137	0.29813586127424013	-0.010312420879416993	0.18711153380318551	0.33899749859385225
BS_3XY76V8T	0.4173801222061011	-0.0031637162427644726	0.2538449285832661	0.2726708826167963	0.17930115465432686	0.25180819408770194	0.18108393756960856	0.1260748264434721	0.21837251971211982	0.17546387165305702	0.5424905890151998	0.576318281053732	0.13053847790892548	0.2516171167493336	0.17018946293309248	0.20792074621847662	0.1436377304025226	0.3713298153214382	0.32304763251222707	0.11536845235417	0.03007938813156459	0.31516203930352127	0.10411377085217219	0.275776656554576	0.3704164987555542
BS_47SJZ3PH	0.44544509128869125	0.008065963650549375	0.10536864244512079	0.23699570220611507	0.14928814046479374	0.21196543641270163	0.16673319769469022	0.08966750039899526	0.2601791936615797	0.1609239558503043	0.5457343195642097	0.5921170650912626	0.09522341723630977	0.25541187127068965	0.126899555999418	0.2170898883752076	0.1998273824055146	0.40299069592501213	0.2768486065051981	0.11383506389640215	0.05553387581740472	0.3093192817172346	-0.013925393698852706	0.29628834407724475	0.3545025760359587
BS_55X1W2MR	0.4491647052216446	0.13249159199568403	0.32904001002797445	0.3911917441184815	0.29205429503895236	0.3722907434971523	0.25857050108621416	0.38486899100976935	0.2660872769207295	0.3501043015565893	0.5427654283385587	0.5840493867855124	0.17889433285036524	0.40221607346956095	0.09248153171174271	0.13055021424989344	0.23096887098976607	0.4212527105748502	0.3704119117446111	0.1086891882627696	-0.003465392737529725	0.38123366940396775	0.08251106915891475	0.3312317917963754	0.4294090024803705
BS_5K3R0F5D	0.40852956281559366	-0.0121124923046816	0.13007827363548438	0.19978663784497944	0.15313074789554904	0.14252501981738253	0.11821340182020855	0.2820798197716866	0.20514341233408784	0.2084617579364642	0.5028005248907947	0.5008645977814548	-0.06091253618810436	0.20439185644312552	0.05077302279697016	0.1575339007724497	0.226203341698258	0.1965835457964212	0.22137572374873352	0.14561144257933184	-0.017043198143820472	0.24956383758315412	-0.1499515454644376	0.18325910800313935	0.29520587482020894
BS_5NWDARXG	0.4089160279297507	0.08098037745660296	0.30811125785270743	0.28527506885806103	0.23557234675066227	0.307835046535386	0.24500194687897972	0.21134023549930075	0.2094370483009637	0.20208174234879459	0.55597239739619	0.5931429278223965	0.16442752230261837	0.26356607172576274	0.17196310375246232	0.24930371479165828	0.22896554092906113	0.361764648794235	0.3516594098324102	0.2212941904173439	0.12161739817279381	0.32011770778797544	0.014559405162016332	0.24269687053841837	0.3908162787658266
