Kids_First_Biospecimen_ID	Bagaev_Angiogenesis	Bagaev_Antitumor_cytokines	Bagaev_B_cells	Bagaev_Checkpoint_inhibitor	Bagaev_Coactivation	Bagaev_Effector_cell_traffic	Bagaev_Effector_cells	Bagaev_Granulocyte_traffic	Bagaev_Immune_Suppression_Myeloid	Bagaev_M1_signature	Bagaev_MHC_I	Bagaev_MHC_II	Bagaev_Macrophage_DC_traffic	Bagaev_Myeloid_cells_traffic	Bagaev_NK_cells	Bagaev_Neutrophil_signature	Bagaev_Protumor_cytokines	Bagaev_TAMs	Bagaev_T_cells	Bagaev_Th1_signature	Bagaev_Th2_signature	Bagaev_Treg	Bagaev_Treg_Th2_traffic	Bagaev_Tumor_proliferation	TIS_Danaher18
BS_00FD2KMP	0.3078468217457744	0.0006567666844998485	0.01495811051925514	0.20157253568716085	0.12423614863393527	0.07492350536812274	0.03897150827459688	0.18220499746046614	0.17859882115382988	0.15655541042711316	0.4204706157780257	0.3887207593535917	-0.15584084290628808	0.14074904353461906	0.1282305478535096	0.04236042419679967	0.18031836938303925	0.22175563813317167	0.1292255555515491	0.06393848588432074	0.09106903322235578	0.1932896558306157	-0.04752670226441602	0.3384931782560514	0.2189136217312869
BS_028YFYJ6	0.3489329551904788	-0.0554957652865616	0.04710082682535273	0.1814073075854717	0.07038139706746314	0.09756701453117787	-0.05186472913060464	0.17098405328387026	0.1899517112153558	0.1076550008697736	0.45377254509726866	0.48977964072933766	-0.05226703580456918	0.1839952239350847	0.05167821407433545	0.23900198426336136	0.15255482344334725	0.35277231590191027	0.13649501011708481	0.029526974910178385	-0.08022846753307436	0.1851803633763389	-0.29157943903609684	0.33986620216208907	0.24061440051951422
BS_052PZFMK	0.3522021239269496	-0.050488682572692255	0.04858699006652041	0.13879766339231467	0.0725177301970343	0.08860080711111767	0.008404701904749285	0.13204306155956913	0.1408441471681451	0.13449111938685177	0.4689817815216057	0.3900412357391859	-0.02313350320025836	0.08758843361787821	-0.037038864548517986	0.12980860064956481	0.18274351891721155	0.19364217735969252	0.11874237973403987	0.057210805994744894	-0.13706467740742387	0.19518397008242794	-0.3592527685601026	0.4719589613732604	0.23875043840596819
BS_056Q8577	0.32286512774874826	0.16182082759183086	0.047847422139514074	0.20528211001507324	0.1372687316716347	0.26451592010937724	0.11864264532133519	0.20575007374172288	0.24046649390622757	0.2904252291569691	0.4495443231881859	0.41019336735160067	0.03217061398790035	0.05453203371364635	0.12658039024733947	0.09633722637052139	0.2535088684354559	0.2927223859547316	0.06693690757558927	0.19004097716849594	0.1049229450104275	0.307011221249982	-0.12797009428999714	0.43080959293652227	0.24406489347312887
BS_08ST21QE	0.37432309748078185	0.0021019964192834036	0.1878700880684965	0.2479860766505622	0.1403154752761494	0.16483892814873158	-0.15970128035706943	0.20016407725131224	0.11749675799771772	0.08261289431750318	0.4583550267992417	0.4972557480207415	0.09989824157668543	0.30125367954622084	0.07506008109491848	0.11704824013845987	0.1915032930835178	0.4068255972428738	0.1708325621061208	-0.030295095881652582	0.008255435197252595	0.11503897043174088	-0.27883424433542664	0.29211228542112777	0.2585453152070636
BS_0C7VZC0A	0.4089473453791839	-0.10710510116908413	-0.01195890346556757	0.19083327881510304	0.10235574052318751	0.022810343562965657	0.030665577845538562	0.12318433697190033	0.18146152112824765	0.1377689607507116	0.46512977016686996	0.4827115387975697	-0.03317297954668193	0.26651637516793675	0.06096322768040255	0.19806756042443985	0.15892216017535613	0.2876494727326142	0.16318194624093005	0.020275800526954806	-0.009033492694811952	0.24069315489509563	-0.10772833969130016	0.214450916569699	0.2359318363106553
BS_0S8E7590	0.4057914120591065	0.19413372787411864	0.1393290871488232	0.2669230348490829	0.24443232820051503	0.32206750867181877	0.22036883394058338	0.36019768192982343	0.3071048225470103	0.2689415579477937	0.48433086369970796	0.48055611245288293	0.029216396164099073	0.3062027656063429	0.23750140397314232	0.31837531068508734	0.2681427734490027	0.3330772990019245	0.25059700284080605	0.2586446072168888	0.1812575781680641	0.3122199453335599	0.026896776727322307	0.3800103012398137	0.34431335494279003
BS_0VXZCRJS	0.38936908897031275	0.014667837360019698	0.038624814852119944	0.18565509480925402	0.12483572048463752	0.15025935493090112	0.07094379237677155	0.1932120019303018	0.2235189283114362	0.1819310644853553	0.4633908316800015	0.47722083670977633	-0.10797898453484094	0.18457929245311752	0.12646974616195433	0.16187979447248607	0.17036158000416501	0.1565046753828524	0.14048278017834082	0.10470085772970993	0.0028909693941376376	0.22076769188342263	-0.31154823874688287	0.3801669491050841	0.2804862968579342
BS_0XEBS3PG	0.35524400325339905	-0.08214544166212719	0.001744307260870146	0.133986284455263	0.010503949693743188	0.026680003364424432	0.0006205906627595623	0.16321455111226463	0.14616033175018783	0.056762138826112855	0.4118753912777448	0.31873708291374264	0.06526835618522549	0.2089315243298982	0.0038655117907689584	0.09188577049067366	0.0832799667724623	0.15202586994675632	0.16162018917106422	0.05868887690910979	0.001207677915125768	0.1720104983379663	-0.005852020439673835	0.2216847583809184	0.20915526373425336
BS_0ZA67BBC	0.33637316847070337	-0.1622962640696191	0.12886979301463516	0.181620477553858	0.10566386316444042	-0.1511204846637053	-0.04141965301589388	0.21562570342402207	0.17333101873862622	0.1460453380268401	0.4372943724440556	0.3710462275045761	-0.024014746482396963	0.21978464722379562	0.02673727904875511	0.22868098907018272	0.21896205575149885	0.1692359041401445	0.09505302299846913	0.009787396504647335	0.11187360110152214	0.1699480632741691	-0.09697789659136026	0.28734551760180527	0.19727469414102086
