sample	PC1	PC2	ecotype	ecotype_k3	ecotype_k2
BS_DSPVSM7D	-2.305778882846508	-1.1798965861065749		Myeloid-dominant	Immune-desert
BS_DZNXFPH1	5.814073783164955	0.3733375360829216	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_E7NVYA6G	5.032163670646793	-2.462694483836321	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_E9CYN4NP	-3.870571170365497	2.2057026386114407	Immune-desert	Immune-desert	Immune-desert
BS_EB0XRBT9	4.652496393165211	0.8484780506630072	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_EDJ5TV0P	-6.594315360365196	-1.4035819888685597	Immune-desert	Immune-desert	Immune-desert
BS_EMQM7HTA	-2.0629216282959426	-0.0705244827910309		Myeloid-dominant	Immune-desert
BS_ENEYB4TG	4.647265971026879	1.6287197723229765	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_EXPJQZTH	4.166100452796296	1.2252108212279391	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_EZ3147MX	-0.6895874935827425	2.637148973886497		Myeloid-dominant	Immune-desert
BS_F0JB4EAK	-3.4077360796403027	3.764118124502362	Immune-desert	Immune-desert	Immune-desert
BS_F21R36MM	-0.3847844938671652	-2.081739466616653		Myeloid-dominant	Immune-desert
BS_F65GWS21	-3.06441776805128	-2.272619199439652		Myeloid-dominant	Immune-desert
BS_F6V1Y4QS	-1.127243943204863	-2.2450495859706905		Myeloid-dominant	Immune-desert
BS_F9Y4Z92G	-5.6042297129608665	2.674047585564558	Immune-desert	Immune-desert	Immune-desert
BS_FCDAH728	-1.880298061784043	3.418131703341977		Myeloid-dominant	Immune-desert
BS_FEV5A0HN	-9.259847897203	1.6069272186018095	Immune-desert	Immune-desert	Immune-desert
BS_FGJH1X0S	-2.956269047839345	-2.913316413392262		Myeloid-dominant	Immune-desert
BS_FKASA3MN	-11.007825261834114	-0.3344183697834503	Immune-desert	Immune-desert	Immune-desert
BS_FN07P04C	-7.235426129429637	-2.953939897772929	Immune-desert	Immune-desert	Immune-desert
BS_FX2P2WEG	3.312107575939458	-1.8449795520420995	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_FXJY0MNH	3.484668831456662	0.6284043629783791	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_FYP2B298	-2.758416667863169	2.9848034332236075	Immune-desert	Immune-desert	Immune-desert
BS_G19QZG4S	0.3279656130708983	3.272403904612619		Myeloid-dominant	Immune-active
BS_G1E5DATJ	1.3231558190588766	-0.3563640934300784		Myeloid-dominant	Immune-active
BS_G257VSS9	-3.13797964414741	-0.265057867042002	Immune-desert	Immune-desert	Immune-desert
BS_G3NN392N	0.2877447821890915	2.059364121066753		Myeloid-dominant	Immune-active
