Kids_First_Biospecimen_ID	ecotype	set	dist_Lymph	dist_Mye	dist_Desert
BS_06AMMCXR	Lymphocyte-inflamed	BRAF_ALT_main	5.516639891688513	5.578891109520525	9.94576666473737
BS_08TWG4K0	Lymphocyte-inflamed	BRAF_ALT_main	18.43554590952034	20.676723219826957	23.825314969860642
BS_1DECYC4K	Lymphocyte-inflamed	BRAF_ALT_main	4.6770209996109635	4.702161971383775	8.904775023319724
BS_2A5R9D97	Lymphocyte-inflamed	BRAF_ALT_main	4.96342928934059	5.367782860281016	9.934688112190512
BS_3VJ0CA6A	Myeloid-dominant	BRAF_ALT_main	4.1101807963974215	3.9687977094142193	8.561754314103963
BS_3XYJBBHQ	Lymphocyte-inflamed	BRAF_ALT_main	6.602077586403945	9.010589597656942	13.238943402243848
BS_4C4MZ4NT	Myeloid-dominant	BRAF_ALT_main	5.308683596421619	4.450143237563709	8.119493747780822
BS_4PPHAQXF	Myeloid-dominant	BRAF_ALT_main	7.103740363490374	4.863657868950454	7.561823893729315
BS_4SMPV083	Lymphocyte-inflamed	BRAF_ALT_main	6.2322897041798315	7.439141073034606	11.11479186141972
BS_A76PNWQS	Myeloid-dominant	BRAF_ALT_main	14.689566547082334	13.423665166354413	13.941240573666576
BS_BZCTXEPJ	Lymphocyte-inflamed	BRAF_ALT_main	3.5856956414363768	6.497719574711483	11.50284294039208
BS_CB6VK7PB	Myeloid-dominant	BRAF_ALT_main	5.375914062643051	4.293695564811174	8.193373924263945
BS_ED8G98XT	Myeloid-dominant	BRAF_ALT_main	9.818255373057607	7.061333233549529	7.926588509945429
BS_FCX6DZ0J	Lymphocyte-inflamed	BRAF_ALT_main	5.515417234245426	7.602888997270883	11.954909537989014
BS_FYRDYBMZ	Myeloid-dominant	BRAF_ALT_main	8.043828541891154	5.470304254820377	7.6579809212750325
BS_H1XPVS9A	Lymphocyte-inflamed	BRAF_ALT_main	5.431037049850894	5.559241490070318	9.60228479272599
BS_QRNSKFMS	Lymphocyte-inflamed	BRAF_ALT_main	4.927348733568006	5.434800977697439	9.7024873944841
BS_R13X6TMW	Myeloid-dominant	BRAF_ALT_main	6.570648697436233	4.215497808179047	7.452049920406767
BS_RJMJ935A	Lymphocyte-inflamed	BRAF_ALT_main	3.980601623042939	7.724717226527046	12.705868069155468
BS_RWJZFTP9	Myeloid-dominant	BRAF_ALT_main	7.764638176978557	5.012180166838811	6.82513295528607
BS_S20SP0WW	Lymphocyte-inflamed	BRAF_ALT_main	4.075401076239222	6.866567720899342	11.693799418544451
BS_SB12W1XT	Lymphocyte-inflamed	BRAF_ALT_main	5.8016281858893235	5.897818679808162	9.895349333315641
BS_T0MXH2CA	Lymphocyte-inflamed	BRAF_ALT_main	4.97975886214904	5.113893467122188	9.307019101685002
BS_T1W4JA94	Myeloid-dominant	BRAF_ALT_main	6.494783687336351	4.007560554477898	6.8404345448627
BS_T289QKBV	Lymphocyte-inflamed	BRAF_ALT_main	4.668558123811872	5.480069742470366	10.235121705367833
BS_T3H5AY8A	Lymphocyte-inflamed	BRAF_ALT_main	4.53990753042223	7.147440920705926	12.039844942839617
BS_TVV122JG	Myeloid-dominant	BRAF_ALT_main	9.253303600176217	6.663429212428618	7.331782179541493
BS_VW85Q4XJ	Lymphocyte-inflamed	BRAF_ALT_main	3.6243363688429464	5.964354822532149	10.821761728691941
BS_W97QQYKQ	Lymphocyte-inflamed	BRAF_ALT_main	7.369206253797428	9.982169493246422	14.139314894228498
BS_WYMX429C	Lymphocyte-inflamed	BRAF_ALT_main	3.940676719920388	5.985225414541145	10.687594276211705
BS_YR1XY6SF	Myeloid-dominant	BRAF_ALT_main	4.401000032962931	4.128663800255921	8.897612161489016
BS_014EVM2D	Lymphocyte-inflamed	BRAF_ALT_LGG	4.53995240380094	7.359814528637834	12.020593833356902
BS_044XZ8ST	Myeloid-dominant	BRAF_ALT_LGG	6.849420938281917	5.203303208995256	8.195535282953932
BS_063ERW0R	Immune-desert	BRAF_ALT_LGG	9.919337695504598	6.049809872203973	5.819290119856155
BS_0D5VRAKC	Lymphocyte-inflamed	BRAF_ALT_LGG	4.718998833943572	7.821729900279623	12.53783198254293
BS_0J9SHHSC	Myeloid-dominant	BRAF_ALT_LGG	5.9024813141866295	5.0179899772416805	8.406345329757949
BS_0SCXXM6N	Lymphocyte-inflamed	BRAF_ALT_LGG	3.919226593474172	6.469388586190616	11.223575767248525
BS_0TDWG2CV	Lymphocyte-inflamed	BRAF_ALT_LGG	3.65181304474619	7.56058133818761	12.682779045772003
BS_0WVJYM9R	Myeloid-dominant	BRAF_ALT_LGG	7.1310044637414824	6.362117961007656	9.177565393979911
BS_0X9EGHY2	Myeloid-dominant	BRAF_ALT_LGG	8.504281098423759	5.952763276767015	7.080491518979497
BS_0Y5J2AQ4	Myeloid-dominant	BRAF_ALT_LGG	4.711841636312455	3.7712375237968225	8.01971648017027
BS_13CGKADW	Immune-desert	BRAF_ALT_LGG	9.661020323901582	6.363707697104226	6.078562710149451
BS_166N7SZQ	Myeloid-dominant	BRAF_ALT_LGG	7.311302835147594	5.559290073750563	8.291768902931537
BS_17WYVEEC	Immune-desert	BRAF_ALT_LGG	10.176481159123863	6.524463299849063	5.8951826996836685
BS_1G3WYEN3	Myeloid-dominant	BRAF_ALT_LGG	7.943575342568344	4.901918501912884	6.200480276138677
BS_1HYS8CSC	Lymphocyte-inflamed	BRAF_ALT_LGG	4.035928064907337	6.817967345593998	11.737091644409952
BS_1JDG6JV5	Lymphocyte-inflamed	BRAF_ALT_LGG	4.991066269550389	6.363322918393318	10.903389626157903
BS_1KYGSMA7	Lymphocyte-inflamed	BRAF_ALT_LGG	5.901690485139319	8.212670615421834	12.257191026229767
BS_1N76FQZY	Myeloid-dominant	BRAF_ALT_LGG	6.5000139017792105	4.370396689036934	7.159099089457372
BS_1NPD7PVG	Myeloid-dominant	BRAF_ALT_LGG	6.8082189885456925	5.412523526581433	8.388421331400552
