sample,microglia,mdm,mg_mdm_ratio,ecotype,cohort_group
BS_65WPD3DA,0.798653965468326,0.56365465114104,0.234999314327286,Intermediate,pHGG_WT
BS_68KX6A42,0.884907096753753,0.671054303332677,0.213852793421076,Inflamed,DMG_K27
BS_6DCSD5Y6,0.64025439370008,0.615313775852028,0.024940617848052,Immune-desert,DMG_K27
BS_6H4Q24WA,0.852250900905347,0.760911224345912,0.0913396765594351,Inflamed,DMG_K27
BS_6M2053M0,0.87459631949457,0.625783498843978,0.248812820650592,Intermediate,DMG_K27
BS_6SY64H5J,0.819895736412287,0.81978056446259,0.000115171949697013,Inflamed,DMG_K27
BS_6VRG1XFB,0.711309987602397,0.694808766068808,0.016501221533589,Intermediate,pHGG_WT
BS_6WP1FHTE,0.834691483671653,0.704200293594151,0.130491190077502,Intermediate,DMG_K27
BS_7327SDAQ,0.805915595832753,0.650457962839159,0.155457632993594,Intermediate,pHGG_WT
BS_75YRDXET,0.869384946125358,0.810512367225211,0.058872578900147,Inflamed,DMG_K27
BS_77SBTNPN,0.706108662305164,0.658532328946698,0.047576333358466,Intermediate,pHGG_WT
BS_7AEF4D4G,0.76703254179353,0.715771492350335,0.051261049443195,Inflamed,DMG_K27
BS_7APCGCVF,0.759339387364106,0.713672060587948,0.045667326776158,Intermediate,DMG_K27
BS_7GJT4A6A,0.655114056105246,0.698536842883213,-0.0434227867779671,Immune-desert,DMG_K27
BS_7GKWKGPH,0.822817830925651,0.819849528582664,0.00296830234298695,Inflamed,pHGG_WT
BS_7PVJ6Q3D,0.782244834520121,0.549793383901381,0.23245145061874,Immune-desert,DMG_K27
BS_7WKNNRHK,0.647191384420655,0.735646925166548,-0.0884555407458929,Intermediate,DHG_G34
BS_84VZX732,0.732896279778087,0.734914052894515,-0.00201777311642792,Intermediate,DMG_K27
BS_84XCR9GG,0.729289868292286,0.727405355388788,0.001884512903498,Intermediate,pHGG_WT
BS_8E8JKP01,0.722803403001063,0.442064274394589,0.280739128606474,Immune-desert,DHG_G34
BS_8ERBDF7D,0.674651415380807,0.512367120223425,0.162284295157382,Immune-desert,DHG_G34
BS_8JK9TXH2,0.694081985172547,0.734854848433573,-0.0407728632610259,Intermediate,DMG_K27
BS_8VD670NP,0.749656548984457,0.709801624152638,0.039854924831819,Intermediate,DMG_K27
BS_8YWYN7VH,0.7615479519119,0.665016522129437,0.096531429782463,Inflamed,DMG_K27
BS_8ZE4Z9G5,0.69120307222911,0.60514327816962,0.08605979405949,Intermediate,DHG_G34
BS_8ZY4GST0,0.824689650046801,0.539615881419638,0.285073768627163,Immune-desert,DMG_K27
BS_91VYM11A,0.827697690190807,0.742231087582134,0.085466602608673,Intermediate,pHGG_WT
BS_956G6QPJ,0.752103238867246,0.652149280772692,0.099953958094554,Intermediate,DMG_K27
BS_97M1E2DW,0.607292840385501,0.564220653814348,0.043072186571153,Immune-desert,DMG_K27
BS_9A1YTHFF,0.87184863417688,0.707260947142411,0.164587687034469,Inflamed,DMG_K27
BS_9B0A62MT,0.769412769543581,0.786007536259586,-0.016594766716005,Inflamed,DMG_K27
BS_9CA93S6D,0.630613296223539,0.470819667531433,0.159793628692106,Immune-desert,DMG_K27
BS_9FHEFJNP,0.778242674229162,0.578860042647086,0.199382631582076,Intermediate,DHG_G34
BS_9FX3YREK,0.790270273205977,0.545572591895426,0.244697681310551,Immune-desert,DMG_K27
BS_9GJ3DB1H,0.795993588632358,0.732366032703484,0.063627555928874,Inflamed,DMG_K27
BS_9JPQZQNG,0.691307876565934,0.631430970210616,0.059876906355318,Intermediate,DHG_G34
BS_9TXEDSWB,0.858285353011373,0.762787996145121,0.0954973568662519,Intermediate,pHGG_WT
BS_9XVACXP0,0.718783697408072,0.705403998144937,0.013379699263135,Immune-desert,IHG
BS_9Y1K14Q5,0.603052890300524,0.666437091524778,-0.063384201224254,Intermediate,pHGG_WT
BS_9ZJT0CP0,0.697067117942597,0.738365681747696,-0.041298563805099,Intermediate,DMG_K27
BS_A4PF49V0,0.624930001227502,0.608612540879655,0.016317460347847,Intermediate,DMG_K27
BS_A6NXR7RC,0.828018065325472,0.806887103671422,0.0211309616540499,Intermediate,pHGG_WT
BS_A7Q8G0Y1,0.77886957803455,0.719766236768529,0.059103341266021,Intermediate,DMG_K27
BS_A8XW5S0W,0.779162510581878,0.677289830049754,0.101872680532124,Inflamed,pHGG_WT
BS_AWH9757B,0.802635715547547,0.638470836726077,0.16416487882147,Immune-desert,pHGG_WT
BS_AYSXRQWY,0.723807662074031,0.7448468963623,-0.0210392342882689,Intermediate,DMG_K27
BS_AZQM1JJH,0.861126749571406,0.68827043511425,0.172856314457156,Inflamed,DMG_K27
BS_B1C6GZ84,0.769675507933749,0.613152454885801,0.156523053047948,Immune-desert,DMG_K27
BS_B3MQFFYP,0.899491695351687,0.833834232759567,0.06565746259212,Inflamed,DMG_K27
BS_B4R7X1KE,0.728212434866946,0.542037423701228,0.186175011165718,Immune-desert,DHG_G34
BS_B57327NA,0.834723490167822,0.696206974791554,0.138516515376268,Intermediate,DMG_K27
BS_BBAEMXRD,0.777361248887615,0.442066100217132,0.335295148670483,Immune-desert,DHG_G34
BS_BBQ6BHGN,0.838733558180515,0.577200365186224,0.261533192994291,Intermediate,DMG_K27
BS_BK0HGRXM,0.831486113533767,0.760828610482662,0.070657503051105,Inflamed,pHGG_WT
BS_BMMY0H73,0.810368188398198,0.701910914895911,0.108457273502287,Intermediate,DMG_K27
BS_C6ZZ3FY5,0.860617785378582,0.65267349598518,0.207944289393402,Intermediate,DHG_G34
BS_C83TK159,0.839107469912151,0.589588027202637,0.249519442709514,Intermediate,DMG_K27
BS_CBDQZ8PP,0.668451591948411,0.407570102041255,0.260881489907156,Immune-desert,pHGG_WT
BS_CF63VG3S,0.77433899414636,0.631707706552835,0.142631287593525,Inflamed,pHGG_WT
BS_CFD3WHAY,0.864842388765778,0.619854004294229,0.244988384471549,Intermediate,pHGG_WT
BS_CG1RG607,0.879087053286315,0.776437720766969,0.102649332519346,Inflamed,pHGG_WT
BS_CVEDJGHZ,0.917139146129915,0.773763563704477,0.143375582425438,Inflamed,DMG_K27
BS_CXAQDK7S,0.921146977877743,0.732406789312828,0.188740188564915,Inflamed,pHGG_WT
BS_CZPQ493E,0.753294317176842,0.681015915370148,0.072278401806694,Intermediate,DMG_K27
BS_D29RPBSZ,0.768045303166763,0.754220930257396,0.013824372909367,Intermediate,DMG_K27
BS_D4VNDNQA,0.671741194759355,0.589490024005915,0.08225117075344,Immune-desert,pHGG_WT
BS_D6J2BGDJ,0.736112317010027,0.507459692658386,0.228652624351641,Immune-desert,pHGG_WT
BS_DFGS950G,0.635113646530952,0.566976598842136,0.068137047688816,Immune-desert,pHGG_WT
BS_DNZVP92S,0.643058130602481,0.586492653686286,0.056565476916195,Intermediate,pHGG_WT
BS_DR079H0D,0.759294646525025,0.58164809227885,0.177646554246175,Immune-desert,DMG_K27
BS_DS438CXE,0.592221385118699,0.530656261658754,0.061565123459945,Immune-desert,IHG
BS_DSPVSM7D,0.701909648208786,0.699735168249476,0.00217447995930997,Intermediate,DMG_K27
BS_DZNXFPH1,0.84399446008019,0.800263731818642,0.043730728261548,Inflamed,DMG_K27
BS_E7NVYA6G,0.792851153389309,0.850283603309589,-0.05743244992028,Inflamed,DMG_K27
BS_E9CYN4NP,0.792650128437703,0.52138353513808,0.271266593299623,Immune-desert,pHGG_WT
BS_EB0XRBT9,0.87914713314993,0.764872008355098,0.114275124794832,Inflamed,pHGG_WT
BS_EDJ5TV0P,0.517052956999367,0.550622518463231,-0.0335695614638639,Immune-desert,pHGG_WT
BS_EMQM7HTA,0.714740169206692,0.552687218565607,0.162052950641085,Intermediate,DMG_K27
BS_ENEYB4TG,0.903478017548721,0.736172829424001,0.16730518812472,Inflamed,DMG_K27
BS_EXPJQZTH,0.86719346159379,0.798131732005817,0.069061729587973,Inflamed,DHG_G34
BS_EZ3147MX,0.851884892267873,0.567624091770558,0.284260800497315,Intermediate,DMG_K27
BS_F0JB4EAK,0.878172966320748,0.562211237253448,0.3159617290673,Immune-desert,pHGG_WT
BS_F21R36MM,0.646100835297313,0.721974422480247,-0.075873587182934,Intermediate,pHGG_WT
BS_F65GWS21,0.616351882773849,0.645870315969624,-0.029518433195775,Intermediate,DMG_K27
BS_F6V1Y4QS,0.75183946141563,0.756669853744301,-0.004830392328671,Intermediate,IHG
BS_F9Y4Z92G,0.776322618869968,0.578709892638733,0.197612726231235,Immune-desert,pHGG_WT
BS_FCDAH728,0.818809169910119,0.560285807229454,0.258523362680665,Intermediate,DMG_K27
BS_FEV5A0HN,0.695359774919817,0.455728045926503,0.239631728993314,Immune-desert,pHGG_WT
BS_FGJH1X0S,0.629947514321669,0.703350255260138,-0.073402740938469,Immune-desert,DHG_G34
BS_FKASA3MN,0.651571768138603,0.378450220464642,0.273121547673961,Immune-desert,DHG_G34
BS_FN07P04C,0.577092859357631,0.543891519880647,0.033201339476984,Immune-desert,pHGG_WT
BS_FX2P2WEG,0.822437570162694,0.715771535909831,0.106666034252863,Inflamed,pHGG_WT
BS_FXJY0MNH,0.878860779150675,0.707783611283137,0.171077167867538,Inflamed,pHGG_WT
BS_FYP2B298,0.789319351511667,0.489023032570529,0.300296318941138,Immune-desert,DHG_G34
BS_G19QZG4S,0.894430098645541,0.635308037831922,0.259122060813619,Intermediate,DMG_K27
BS_G1E5DATJ,0.813684316125088,0.649169600699037,0.164514715426051,Inflamed,pHGG_WT
BS_G257VSS9,0.773875446736547,0.588718448990966,0.185156997745581,Intermediate,DHG_G34
BS_G3NN392N,0.780634770223813,0.622679522734369,0.157955247489444,Intermediate,DMG_K27
BS_G3RJTBZD,0.713365402617584,0.611075221930145,0.102290180687439,Immune-desert,pHGG_WT
BS_G5NHSFD4,0.83384210581246,0.561993918327847,0.271848187484613,Immune-desert,pHGG_WT
BS_G8TXTX0H,0.81106041951884,0.601268167497257,0.209792252021583,Intermediate,DMG_K27
BS_GG9W3J9Y,0.729618596797249,0.622292541127016,0.107326055670233,Immune-desert,pHGG_WT
BS_GW0GKWMS,0.830425747820685,0.588295038935428,0.242130708885257,Immune-desert,DMG_K27
BS_GWHYM3R4,0.689298440408973,0.706781649875368,-0.0174832094663949,Intermediate,DMG_K27
BS_GWSJ4Z9H,0.864844860988395,0.712953125557339,0.151891735431056,Inflamed,DMG_K27
BS_H5VQJR7X,0.724676474219328,0.764795844083894,-0.040119369864566,Intermediate,DMG_K27
BS_H97S5SQN,0.890423722047157,0.603923594097573,0.286500127949584,Intermediate,DMG_K27
BS_H9JYKFTV,0.741950288473923,0.788373653591151,-0.046423365117228,Intermediate,pHGG_WT
BS_HDHXX8Q7,0.708173936028053,0.609067972894678,0.0991059631333751,Intermediate,DMG_K27
BS_HDPCQETG,0.807339362077703,0.807986481548466,-0.000647119470763014,Inflamed,pHGG_WT
