cluster,QTS_B_cell,QTS_Macrophage_M1,QTS_Macrophage_M2,QTS_Monocyte,QTS_Neutrophil,QTS_NK_cell,QTS_T_cell_CD4_non_regulatory_,QTS_T_cell_CD8_,QTS_T_cell_regulatory_Tregs_,QTS_Myeloid_dendritic_cell,SS_Microglia_Klemm2020,SS_MDM_Klemm2020,SS_MgTAM_Antunes2021,SS_MoTAM_Antunes2021,SS_MHC_Class_I,SS_MHC_Class_II,SS_IFN_Gamma_Response,SS_IFN_Alpha_Response,SS_T_Cell_Cytotoxicity,SS_T_Cell_Exhaustion,SS_Chemokine_T_Cell_Recruitment,SS_TGFb_Immunosuppression,SS_M1_Macrophage,SS_M2_Macrophage,SS_Glioma_Inflammatory_Wang2017,SS_NK_Cell_Activity,SS_Tregs_Friebel2020,SS_Dendritic_Cell_Activation,SS_Neutrophil_Activation
1,0.0146823534915966,-0.480240041236214,-0.733124042467273,0.379882251956424,-0.100092097760173,-0.245443072150578,-0.167795925073172,-0.0498803417421417,-0.268601042187,-0.715498350522564,-1.30310701261233,-1.50230370442129,-1.30907034558595,-1.50503740431161,-1.34320217520676,-1.6812160479105,-1.23488478728461,-1.0134520180557,-1.52629082142039,-1.32523026494508,-1.61651050747351,-1.37376930983782,-1.36377943013268,-1.40526827798483,-1.47797614758411,-1.33665725520131,-1.21424697127904,-1.29515584962907,-1.29217281582414
2,-0.11710450276017,-0.357548279694813,-0.373803812223351,0.105124702021828,-0.0933510520293282,-0.0252015030731858,0.0294764998036111,-0.044114335214102,-0.0553849161473582,-0.141714518947224,-0.552776895691773,-0.208393120176562,-0.553755851255277,-0.0672870423632127,-0.164628657396975,-0.368066354202266,-0.153715092476378,-0.0350483849551375,-0.232119692554111,-0.351002147154264,-0.288955465766871,-0.345398900159899,-0.129315718815818,-0.399869022611759,-0.159443740102939,-0.0398883407667984,-0.266229367614474,-0.203173240592919,-0.0201636735558276
3,0.700559117255382,0.669055333282771,0.762583121705217,0.274171003986993,0.375572257359916,0.750637457350738,0.766790052366719,0.0484757561284449,0.703513117294197,0.15324249986698,0.286941767472603,0.78198471368265,0.327215679180172,0.846151522915127,0.342517511246146,0.322977961417146,0.926604828026127,0.708763707932251,0.883130597793067,0.89186070843127,0.771585035663905,1.08312159241827,1.07513440142842,0.736398499820814,0.858342441940794,0.88791052631861,1.05574469185647,0.857266532522738,1.04188854384102
