ecotype	source	term_id	term_name	p_value	term_size	query_size	intersection_size	precision	recall
Lymphocyte-inflamed	KEGG	KEGG:05320	Autoimmune thyroid disease	2.488697867213545e-07	50	131	10	0.07633587786259542	0.2
Lymphocyte-inflamed	GO:BP	GO:0042102	positive regulation of T cell proliferation	2.506408251339928e-07	104	143	11	0.07692307692307693	0.10576923076923077
Lymphocyte-inflamed	GO:BP	GO:0009611	response to wounding	2.5426966207133225e-07	570	195	25	0.1282051282051282	0.043859649122807015
Lymphocyte-inflamed	GO:BP	GO:0050672	negative regulation of lymphocyte proliferation	2.7946674873105514e-07	89	126	10	0.07936507936507936	0.11235955056179775
Lymphocyte-inflamed	GO:BP	GO:0045088	regulation of innate immune response	2.997340832639841e-07	470	104	17	0.16346153846153846	0.036170212765957444
Lymphocyte-inflamed	GO:BP	GO:0032623	interleukin-2 production	3.0623948859217896e-07	64	126	9	0.07142857142857142	0.140625
Lymphocyte-inflamed	GO:BP	GO:0032663	regulation of interleukin-2 production	3.0623948859217896e-07	64	126	9	0.07142857142857142	0.140625
Lymphocyte-inflamed	GO:BP	GO:0002819	regulation of adaptive immune response	3.0667277670250196e-07	215	138	14	0.10144927536231885	0.06511627906976744
Lymphocyte-inflamed	GO:CC	GO:0030134	COPII-coated ER to Golgi transport vesicle	3.2984040728689614e-07	90	115	9	0.0782608695652174	0.1
Lymphocyte-inflamed	GO:BP	GO:0050729	positive regulation of inflammatory response	3.3827787279398274e-07	153	100	11	0.11	0.0718954248366013
Lymphocyte-inflamed	GO:CC	GO:0005774	vacuolar membrane	3.400196557413407e-07	502	87	15	0.1724137931034483	0.029880478087649404
Lymphocyte-inflamed	GO:BP	GO:0032945	negative regulation of mononuclear cell proliferation	3.4966995186232053e-07	91	126	10	0.07936507936507936	0.10989010989010989
Lymphocyte-inflamed	GO:BP	GO:1902105	regulation of leukocyte differentiation	3.561705702168047e-07	329	148	17	0.11486486486486487	0.05167173252279635
Lymphocyte-inflamed	GO:BP	GO:1903557	positive regulation of tumor necrosis factor superfamily cytokine production	3.79639413676292e-07	107	186	12	0.06451612903225806	0.11214953271028037
Lymphocyte-inflamed	GO:BP	GO:1901342	regulation of vasculature development	4.1106126334765515e-07	299	187	18	0.0962566844919786	0.06020066889632107
Lymphocyte-inflamed	GO:CC	GO:0005775	vacuolar lumen	4.351025492788254e-07	180	108	11	0.10185185185185185	0.06111111111111111
Lymphocyte-inflamed	GO:BP	GO:0065007	biological regulation	4.402403566988521e-07	12804	161	135	0.8385093167701864	0.010543580131208997
Lymphocyte-inflamed	GO:MF	GO:0050786	RAGE receptor binding	4.40607930660652e-07	10	29	4	0.13793103448275862	0.4
Lymphocyte-inflamed	WP	WP:WP5090	Complement system in neuronal development and plasticity	4.6074711412264323e-07	106	176	15	0.08522727272727272	0.14150943396226415
Lymphocyte-inflamed	GO:BP	GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	4.663619689098528e-07	200	126	13	0.10317460317460317	0.065
Lymphocyte-inflamed	GO:BP	GO:0002291	T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell	5.053321333335096e-07	13	157	6	0.03821656050955414	0.46153846153846156
Lymphocyte-inflamed	GO:BP	GO:0032879	regulation of localization	5.062379279326231e-07	1914	161	42	0.2608695652173913	0.0219435736677116
