theme	H	p	n	epsilon_sq	q_BH
T-cell axis	254.78019997395927	4.733501581463177e-56	349	0.7305786126415008	1.1833753953657943e-55
Antigen presentation	189.35008939453655	7.64100553068163e-42	349	0.541474246805019	1.2735009217802718e-41
IFN / chemokine	149.07754711241682	4.24836631512156e-33	349	0.4250796159318405	5.3104578939019505e-33
Myeloid / microglia	282.8749178717587	3.7539808230672033e-62	349	0.8117772192825397	1.8769904115336015e-61
Signaling / suppression	66.62205843672314	3.413530785378834e-15	349	0.18676895501943103	3.4135307853788334e-15
