axis	method	sample	z	ecotype
CD8 T cell	LM22	BS_00FD2KMP	0.40590930809012554	Immune-desert
CD8 T cell	LM22	BS_028YFYJ6	-0.11731930248359106	Myeloid-dominant
CD8 T cell	LM22	BS_052PZFMK	0.08293898822322074	Immune-desert
CD8 T cell	LM22	BS_056Q8577	-0.8696252436864575	Lymphocyte-inflamed
CD8 T cell	LM22	BS_08ST21QE	0.13052579859377714	Lymphocyte-inflamed
CD8 T cell	LM22	BS_0C7VZC0A	-0.6157502140518956	Myeloid-dominant
CD8 T cell	LM22	BS_0S8E7590	0.4824512812198397	Lymphocyte-inflamed
CD8 T cell	LM22	BS_0VXZCRJS	0.3408693409322538	Myeloid-dominant
CD8 T cell	LM22	BS_0XEBS3PG	-0.44614087508650063	Immune-desert
CD8 T cell	LM22	BS_0ZA67BBC	-0.6886379628435625	Myeloid-dominant
CD8 T cell	LM22	BS_12G04QJM	0.6686457527862771	Myeloid-dominant
CD8 T cell	LM22	BS_17ZSMXFH	0.5243170028966875	Immune-desert
CD8 T cell	LM22	BS_1A6MQ9ZA	-0.5642966279762461	Myeloid-dominant
CD8 T cell	LM22	BS_1D93Z575	-0.3031186588241921	Myeloid-dominant
CD8 T cell	LM22	BS_1EN5V3XW	-0.6402791599386096	Immune-desert
CD8 T cell	LM22	BS_223BM91B	-0.8696252436864575	Lymphocyte-inflamed
CD8 T cell	LM22	BS_25HNKZ79	-0.6232303827287161	Lymphocyte-inflamed
CD8 T cell	LM22	BS_2853394H	1.031617896170173	Immune-desert
CD8 T cell	LM22	BS_297H8BT4	-0.40157837735081703	Myeloid-dominant
CD8 T cell	LM22	BS_29X4ZX6Q	1.078695781309422	Immune-desert
CD8 T cell	LM22	BS_2A5R9MEJ	-0.38265088239572115	Immune-desert
CD8 T cell	LM22	BS_2ARXK0TD	-0.8696252436864575	Lymphocyte-inflamed
CD8 T cell	LM22	BS_2AV1H5TV	-0.5588253655730367	Myeloid-dominant
CD8 T cell	LM22	BS_2DMBCHNF	-0.8696252436864575	Lymphocyte-inflamed
CD8 T cell	LM22	BS_2EN3X6HB	-0.03521127817234347	Myeloid-dominant
CD8 T cell	LM22	BS_2FEZWH1F	0.08993271584074725	Lymphocyte-inflamed
CD8 T cell	LM22	BS_2HNXVFAS	-0.4039725425335114	Myeloid-dominant
CD8 T cell	LM22	BS_2JH1QMT1	0.10798618678149638	Myeloid-dominant
CD8 T cell	LM22	BS_2JP7RBMB	-0.4745631410500985	Myeloid-dominant
CD8 T cell	LM22	BS_2K01T8K6	-0.35984571737231374	Lymphocyte-inflamed
CD8 T cell	LM22	BS_2PDS3MSS	2.083808959336505	Lymphocyte-inflamed
CD8 T cell	LM22	BS_2T5PJAW8	-0.8225392542525758	Myeloid-dominant
CD8 T cell	LM22	BS_2WANPFBJ	-0.8696252436864575	Lymphocyte-inflamed
CD8 T cell	LM22	BS_30F3Z9FS	-0.8696252436864575	Lymphocyte-inflamed
CD8 T cell	LM22	BS_30VC3R2Q	-0.05981799740208808	Myeloid-dominant
CD8 T cell	LM22	BS_30YWQ3FY	-0.8696252436864575	Lymphocyte-inflamed
CD8 T cell	LM22	BS_31MBRWC4	-0.20117716737659244	Lymphocyte-inflamed
CD8 T cell	LM22	BS_333KCNDP	0.15212630295950086	Lymphocyte-inflamed
CD8 T cell	LM22	BS_399RPKC9	-0.36103020614097664	Myeloid-dominant
CD8 T cell	LM22	BS_3AC3SRWH	-0.7940300329035044	Immune-desert
CD8 T cell	LM22	BS_3MS8WVNR	-0.8696252436864575	Immune-desert
CD8 T cell	LM22	BS_3ZPJAK9A	-0.6789081008886179	Myeloid-dominant
CD8 T cell	LM22	BS_45J79YTF	0.756334293594497	Immune-desert
CD8 T cell	LM22	BS_49BQS7Z6	-0.5109707986667004	Myeloid-dominant
CD8 T cell	LM22	BS_49CJNZ06	-0.5039501964597849	Myeloid-dominant
CD8 T cell	LM22	BS_4B0BAVTX	-0.7980559268720283	Myeloid-dominant
CD8 T cell	LM22	BS_4BM3F6XJ	1.3396706517264023	Myeloid-dominant
CD8 T cell	LM22	BS_4C6B11E4	-0.4552548363291354	Lymphocyte-inflamed
CD8 T cell	LM22	BS_4GNN7J8E	-0.5078546520824467	Lymphocyte-inflamed
CD8 T cell	LM22	BS_4KNBXM3C	-0.8696252436864575	Lymphocyte-inflamed
CD8 T cell	LM22	BS_4Q3KRCZT	-0.41104322151384953	Lymphocyte-inflamed
CD8 T cell	LM22	BS_4QW2S1Q8	0.034476090213850286	Lymphocyte-inflamed
CD8 T cell	LM22	BS_4T0HQ9QF	2.4791828341178648	Myeloid-dominant
CD8 T cell	LM22	BS_4V42BXBT	0.13238876743896402	Myeloid-dominant
CD8 T cell	LM22	BS_51RA1PGE	-0.2402743237758125	Myeloid-dominant
CD8 T cell	LM22	BS_52C576HH	-0.1923781714693196	Myeloid-dominant
CD8 T cell	LM22	BS_5965SFPZ	-0.07718205296304702	Immune-desert
CD8 T cell	LM22	BS_5EFYPZT0	-0.23177774436718077	Myeloid-dominant
CD8 T cell	LM22	BS_5G5BD2MD	-0.8478901110958259	Lymphocyte-inflamed
CD8 T cell	LM22	BS_5K95FX4C	0.31669011119629026	Lymphocyte-inflamed
CD8 T cell	LM22	BS_5KBXD2GQ	-0.06920261539183505	Myeloid-dominant
CD8 T cell	LM22	BS_5PXZ8F7W	2.5468786936979155	Myeloid-dominant
CD8 T cell	LM22	BS_5VPM0F36	-0.8696252436864575	Lymphocyte-inflamed
CD8 T cell	LM22	BS_62SW4CC5	-0.11758806693271717	Lymphocyte-inflamed
CD8 T cell	LM22	BS_65WPD3DA	-0.148624233249949	Myeloid-dominant
CD8 T cell	LM22	BS_68KX6A42	0.08921167300462612	Lymphocyte-inflamed
CD8 T cell	LM22	BS_6DCSD5Y6	-0.7368497259489959	Immune-desert
CD8 T cell	LM22	BS_6H4Q24WA	0.31828845472007034	Lymphocyte-inflamed
CD8 T cell	LM22	BS_6M2053M0	-0.7136204314273403	Myeloid-dominant
CD8 T cell	LM22	BS_6SY64H5J	0.34422713033069796	Lymphocyte-inflamed
CD8 T cell	LM22	BS_6VRG1XFB	1.7146213115459685	Myeloid-dominant
CD8 T cell	LM22	BS_6WP1FHTE	0.2907592534767035	Lymphocyte-inflamed
CD8 T cell	LM22	BS_7327SDAQ	-0.2416450654962558	Myeloid-dominant
CD8 T cell	LM22	BS_75YRDXET	0.20408928718158556	Lymphocyte-inflamed
CD8 T cell	LM22	BS_77SBTNPN	-0.8696252436864575	Myeloid-dominant
CD8 T cell	LM22	BS_7AEF4D4G	1.540927945667353	Lymphocyte-inflamed
CD8 T cell	LM22	BS_7APCGCVF	1.5839787696545764	Myeloid-dominant
CD8 T cell	LM22	BS_7GJT4A6A	-0.4601999082313829	Immune-desert
CD8 T cell	LM22	BS_7GKWKGPH	0.4232590217528602	Lymphocyte-inflamed
CD8 T cell	LM22	BS_7PVJ6Q3D	0.1013762184901606	Immune-desert
CD8 T cell	LM22	BS_7WKNNRHK	-0.8696252436864575	Myeloid-dominant
CD8 T cell	LM22	BS_84VZX732	-0.046770449103781996	Myeloid-dominant
CD8 T cell	LM22	BS_84XCR9GG	-0.8696252436864575	Myeloid-dominant
CD8 T cell	LM22	BS_8E8JKP01	-0.8696252436864575	Immune-desert
CD8 T cell	LM22	BS_8ERBDF7D	-0.8696252436864575	Immune-desert
CD8 T cell	LM22	BS_8JK9TXH2	0.46505853372896094	Myeloid-dominant
CD8 T cell	LM22	BS_8VD670NP	-0.2642289964556333	Myeloid-dominant
CD8 T cell	LM22	BS_8YWYN7VH	-0.6665984077263378	Lymphocyte-inflamed
CD8 T cell	LM22	BS_8ZE4Z9G5	-0.6207941061426497	Myeloid-dominant
CD8 T cell	LM22	BS_8ZY4GST0	-0.03390324645649657	Immune-desert
CD8 T cell	LM22	BS_91VYM11A	2.509373804994928	Myeloid-dominant
CD8 T cell	LM22	BS_956G6QPJ	4.419777606497677	Myeloid-dominant
CD8 T cell	LM22	BS_97M1E2DW	0.8121129329544663	Immune-desert
CD8 T cell	LM22	BS_9A1YTHFF	0.06574466479475205	Lymphocyte-inflamed
CD8 T cell	LM22	BS_9B0A62MT	0.7387915516345117	Lymphocyte-inflamed
CD8 T cell	LM22	BS_9CA93S6D	0.8702989255839341	Immune-desert
CD8 T cell	LM22	BS_9FHEFJNP	-0.8696252436864575	Myeloid-dominant
CD8 T cell	LM22	BS_9FX3YREK	-0.8696252436864575	Immune-desert
CD8 T cell	LM22	BS_9GJ3DB1H	-0.4860133720265558	Lymphocyte-inflamed
CD8 T cell	LM22	BS_9JPQZQNG	-0.8696252436864575	Myeloid-dominant
CD8 T cell	LM22	BS_9TXEDSWB	-0.4726438175556217	Myeloid-dominant
CD8 T cell	LM22	BS_9XVACXP0	-0.5191563777974185	Myeloid-dominant
CD8 T cell	LM22	BS_9Y1K14Q5	-0.8696252436864575	Myeloid-dominant
CD8 T cell	LM22	BS_9ZJT0CP0	0.912980308570097	Myeloid-dominant
CD8 T cell	LM22	BS_A4PF49V0	1.902666042832035	Immune-desert
CD8 T cell	LM22	BS_A6NXR7RC	-0.8696252436864575	Myeloid-dominant
CD8 T cell	LM22	BS_A7Q8G0Y1	-0.14231095781612169	Myeloid-dominant
CD8 T cell	LM22	BS_A8XW5S0W	0.3554908573475706	Myeloid-dominant
CD8 T cell	LM22	BS_AWH9757B	-0.8696252436864575	Immune-desert
CD8 T cell	LM22	BS_AYSXRQWY	0.6096990304463699	Myeloid-dominant
CD8 T cell	LM22	BS_AZQM1JJH	-0.3058478761219067	Lymphocyte-inflamed
CD8 T cell	LM22	BS_B1C6GZ84	0.32813937510090224	Immune-desert
CD8 T cell	LM22	BS_B3MQFFYP	-0.3220524205545476	Lymphocyte-inflamed
CD8 T cell	LM22	BS_B4R7X1KE	-0.6821281396823782	Immune-desert
CD8 T cell	LM22	BS_B57327NA	0.17951010834412082	Myeloid-dominant
CD8 T cell	LM22	BS_BBAEMXRD	-0.8696252436864575	Immune-desert
CD8 T cell	LM22	BS_BBQ6BHGN	-0.19512162525465465	Myeloid-dominant
CD8 T cell	LM22	BS_BK0HGRXM	1.553718831261752	Lymphocyte-inflamed
CD8 T cell	LM22	BS_BMMY0H73	-0.2623938597088186	Myeloid-dominant
CD8 T cell	LM22	BS_C6ZZ3FY5	-0.5420413501605916	Myeloid-dominant
CD8 T cell	LM22	BS_C83TK159	-0.3718606813474262	Myeloid-dominant
CD8 T cell	LM22	BS_CBDQZ8PP	0.5351990921685088	Immune-desert
CD8 T cell	LM22	BS_CF63VG3S	-0.41677303120524734	Myeloid-dominant
CD8 T cell	LM22	BS_CFD3WHAY	-0.8696252436864575	Myeloid-dominant
CD8 T cell	LM22	BS_CG1RG607	-0.07061226384160295	Lymphocyte-inflamed
CD8 T cell	LM22	BS_CVEDJGHZ	-0.7013513805465404	Lymphocyte-inflamed
CD8 T cell	LM22	BS_CXAQDK7S	-0.435205685328006	Lymphocyte-inflamed
CD8 T cell	LM22	BS_CZPQ493E	-0.15933103974787663	Myeloid-dominant
CD8 T cell	LM22	BS_D29RPBSZ	1.5184277877252408	Myeloid-dominant
CD8 T cell	LM22	BS_D4VNDNQA	1.1257809657841429	Immune-desert
CD8 T cell	LM22	BS_D6J2BGDJ	0.6556386474294337	Immune-desert
CD8 T cell	LM22	BS_DFGS950G	-0.8644155190562236	Immune-desert
CD8 T cell	LM22	BS_DNZVP92S	-0.8696252436864575	Myeloid-dominant
CD8 T cell	LM22	BS_DR079H0D	-0.8407587714031027	Immune-desert
CD8 T cell	LM22	BS_DS438CXE	-0.8696252436864575	Immune-desert
CD8 T cell	LM22	BS_DSPVSM7D	-0.8696252436864575	Myeloid-dominant
CD8 T cell	LM22	BS_DZNXFPH1	-0.45644386520171637	Lymphocyte-inflamed
CD8 T cell	LM22	BS_E7NVYA6G	-0.8696252436864575	Lymphocyte-inflamed
CD8 T cell	LM22	BS_E9CYN4NP	-0.07045230365928286	Immune-desert
CD8 T cell	LM22	BS_EB0XRBT9	0.022312864272909985	Lymphocyte-inflamed
CD8 T cell	LM22	BS_EDJ5TV0P	1.2327669595497404	Immune-desert
CD8 T cell	LM22	BS_EMQM7HTA	1.9416259637488889	Myeloid-dominant
CD8 T cell	LM22	BS_ENEYB4TG	-0.8412515676212455	Lymphocyte-inflamed
CD8 T cell	LM22	BS_EXPJQZTH	-0.8696252436864575	Lymphocyte-inflamed
CD8 T cell	LM22	BS_EZ3147MX	-0.0020361964369086513	Myeloid-dominant
CD8 T cell	LM22	BS_F0JB4EAK	-0.7344260048248279	Immune-desert
CD8 T cell	LM22	BS_F21R36MM	-0.8696252436864575	Myeloid-dominant
CD8 T cell	LM22	BS_F65GWS21	0.9093789227065682	Myeloid-dominant
CD8 T cell	LM22	BS_F6V1Y4QS	-0.7200352563326555	Myeloid-dominant
CD8 T cell	LM22	BS_F9Y4Z92G	0.0029038581600336847	Immune-desert
CD8 T cell	LM22	BS_FCDAH728	-0.6763881227419039	Myeloid-dominant
CD8 T cell	LM22	BS_FEV5A0HN	2.7133629842056015	Immune-desert
CD8 T cell	LM22	BS_FGJH1X0S	0.041917531243377416	Myeloid-dominant
CD8 T cell	LM22	BS_FKASA3MN	-0.8696252436864575	Immune-desert
CD8 T cell	LM22	BS_FN07P04C	0.8039143427076023	Immune-desert
CD8 T cell	LM22	BS_FX2P2WEG	5.775208849088731	Lymphocyte-inflamed
CD8 T cell	LM22	BS_FXJY0MNH	0.044275561144534174	Lymphocyte-inflamed
CD8 T cell	LM22	BS_FYP2B298	-0.8696252436864575	Immune-desert
CD8 T cell	LM22	BS_G19QZG4S	-0.47790003236463524	Myeloid-dominant
CD8 T cell	LM22	BS_G1E5DATJ	-0.8453405415783986	Myeloid-dominant
CD8 T cell	LM22	BS_G257VSS9	-0.8696252436864575	Immune-desert
CD8 T cell	LM22	BS_G3NN392N	-0.6484116833081847	Myeloid-dominant
CD8 T cell	LM22	BS_G3RJTBZD	-0.4189455821962344	Immune-desert
CD8 T cell	LM22	BS_G5NHSFD4	-0.44716077882826716	Immune-desert
CD8 T cell	LM22	BS_G8TXTX0H	1.5989186369643795	Myeloid-dominant
CD8 T cell	LM22	BS_GG9W3J9Y	0.02254480850354558	Immune-desert
CD8 T cell	LM22	BS_GW0GKWMS	-0.5260563461878531	Myeloid-dominant
CD8 T cell	LM22	BS_GWHYM3R4	-0.17286678908620287	Myeloid-dominant
CD8 T cell	LM22	BS_GWSJ4Z9H	0.05536713460235308	Lymphocyte-inflamed
CD8 T cell	LM22	BS_H5VQJR7X	-0.02010870179588922	Myeloid-dominant
CD8 T cell	LM22	BS_H97S5SQN	-0.1714026262795641	Myeloid-dominant
CD8 T cell	LM22	BS_H9JYKFTV	-0.458128764310222	Myeloid-dominant
CD8 T cell	LM22	BS_HDHXX8Q7	4.563994603232611	Myeloid-dominant
CD8 T cell	LM22	BS_HDPCQETG	-0.48205018670035493	Lymphocyte-inflamed
CD8 T cell	LM22	BS_HJRTC9JQ	-0.4556625923715327	Lymphocyte-inflamed
CD8 T cell	LM22	BS_HJV0J603	-0.10733297981295482	Lymphocyte-inflamed
CD8 T cell	LM22	BS_HRJ9145M	-0.8696252436864575	Lymphocyte-inflamed
CD8 T cell	LM22	BS_HWGWYCY7	0.3097837191519534	Lymphocyte-inflamed
CD8 T cell	LM22	BS_HZ9AYDCQ	-0.8696252436864575	Lymphocyte-inflamed
CD8 T cell	LM22	BS_J4JY2F3H	2.5099448951684975	Lymphocyte-inflamed
CD8 T cell	LM22	BS_J6212Y48	-0.052826004288527316	Myeloid-dominant
CD8 T cell	LM22	BS_J6W1RB7A	-0.1516374120746821	Myeloid-dominant
CD8 T cell	LM22	BS_J9CBGP57	-0.29592038570362467	Myeloid-dominant
CD8 T cell	LM22	BS_JB43XBCQ	0.4698780763117683	Lymphocyte-inflamed
CD8 T cell	LM22	BS_JDSNFYQ0	0.37609564362293446	Lymphocyte-inflamed
CD8 T cell	LM22	BS_JJVH7WR0	-0.8696252436864575	Immune-desert
CD8 T cell	LM22	BS_JMD386Z2	-0.09247527384282667	Myeloid-dominant
CD8 T cell	LM22	BS_JP95KMRD	0.10347097824103929	Lymphocyte-inflamed
CD8 T cell	LM22	BS_JQGJQ2QZ	-0.23805484181084977	Myeloid-dominant
CD8 T cell	LM22	BS_JQVAWTTM	-0.8519305051442206	Myeloid-dominant
CD8 T cell	LM22	BS_JQXHHK0K	-0.7784158844009309	Immune-desert
CD8 T cell	LM22	BS_JRYJGYC4	0.2251725931617629	Myeloid-dominant
CD8 T cell	LM22	BS_JS95PE0J	-0.8696252436864575	Myeloid-dominant
CD8 T cell	LM22	BS_JTWNJ8T7	0.17169151031754712	Immune-desert
CD8 T cell	LM22	BS_JVW2JJ39	0.5161813869864494	Immune-desert
CD8 T cell	LM22	BS_K0X3PZGN	-0.529983237522809	Lymphocyte-inflamed
CD8 T cell	LM22	BS_K17VQECG	0.5954094671328808	Lymphocyte-inflamed
CD8 T cell	LM22	BS_K2PCC777	0.5877440938492026	Lymphocyte-inflamed
CD8 T cell	LM22	BS_K74N1BXQ	-0.6833785441431808	Myeloid-dominant
CD8 T cell	LM22	BS_K81PZXP2	-0.8696252436864575	Lymphocyte-inflamed
CD8 T cell	LM22	BS_K88T8SW7	1.555898776659786	Lymphocyte-inflamed
CD8 T cell	LM22	BS_KABQQA0T	-0.24913586363603563	Immune-desert
CD8 T cell	LM22	BS_KBEX4RT2	-0.8696252436864575	Myeloid-dominant
CD8 T cell	LM22	BS_KFD5128N	0.2914957711471514	Myeloid-dominant
CD8 T cell	LM22	BS_KKDTW11T	-0.8696252436864575	Immune-desert
CD8 T cell	LM22	BS_KP735TJ6	-0.8696252436864575	Immune-desert
CD8 T cell	LM22	BS_KQ6ZW085	0.5912475545010855	Myeloid-dominant
CD8 T cell	LM22	BS_KRS4EV4X	0.06952619664341861	Myeloid-dominant
CD8 T cell	LM22	BS_KS8HMGA6	0.06184716285751331	Lymphocyte-inflamed
CD8 T cell	LM22	BS_KVPWHDR4	-0.4783206260395555	Myeloid-dominant
CD8 T cell	LM22	BS_M0FA190Y	-0.44777174598829494	Myeloid-dominant
CD8 T cell	LM22	BS_M0XGZ53Z	-0.6465247540590597	Immune-desert
CD8 T cell	LM22	BS_M1PVEHCM	1.1201535759400383	Immune-desert
CD8 T cell	LM22	BS_M54TWTH4	-0.8696252436864575	Myeloid-dominant
CD8 T cell	LM22	BS_M7XB258E	-0.5499656647516347	Lymphocyte-inflamed
CD8 T cell	LM22	BS_M85CXHDV	-0.3103761689377244	Lymphocyte-inflamed
CD8 T cell	LM22	BS_MB7WN0ZB	0.027060810149517417	Myeloid-dominant
CD8 T cell	LM22	BS_MD0937XT	-0.6218508641434984	Immune-desert
CD8 T cell	LM22	BS_MDBT7S5Z	-0.8696252436864575	Immune-desert
CD8 T cell	LM22	BS_ME6VQGG4	-0.5752819891425616	Myeloid-dominant
CD8 T cell	LM22	BS_MFGZH8FK	-0.15212355564128743	Myeloid-dominant
CD8 T cell	LM22	BS_MG78HQDM	4.900982594230691	Immune-desert
CD8 T cell	LM22	BS_MWWZBQ60	-0.4985266682625075	Myeloid-dominant
CD8 T cell	LM22	BS_N6TQBQ8M	1.7122032184126523	Myeloid-dominant
CD8 T cell	LM22	BS_N7SW36FD	-0.679768075443949	Lymphocyte-inflamed
CD8 T cell	LM22	BS_N7VQ1GQB	-0.08968253216765337	Lymphocyte-inflamed
CD8 T cell	LM22	BS_NB9XXBW6	-0.6677987522599609	Myeloid-dominant
CD8 T cell	LM22	BS_NEFAASTR	0.313178380354069	Lymphocyte-inflamed
CD8 T cell	LM22	BS_NEVYM2FP	-0.2798470482467039	Myeloid-dominant
CD8 T cell	LM22	BS_NFKKDYSV	-0.3482139897270098	Lymphocyte-inflamed
CD8 T cell	LM22	BS_NGSG2KB6	-0.2544547276880085	Lymphocyte-inflamed
CD8 T cell	LM22	BS_NNYXMSTX	-0.8696252436864575	Lymphocyte-inflamed
CD8 T cell	LM22	BS_NPA6CZQF	-0.5776018531177183	Immune-desert
CD8 T cell	LM22	BS_NQ54ST98	2.4661018982239407	Lymphocyte-inflamed
CD8 T cell	LM22	BS_NR3P3GN2	-0.32253934964093944	Myeloid-dominant
CD8 T cell	LM22	BS_NX1R0BC3	-0.7317760410866327	Lymphocyte-inflamed
CD8 T cell	LM22	BS_P0QF87WC	-0.41980274280637453	Myeloid-dominant
CD8 T cell	LM22	BS_P4PMWFMV	-0.8696252436864575	Myeloid-dominant
CD8 T cell	LM22	BS_P7W3AYKV	2.7179458995265806	Myeloid-dominant
CD8 T cell	LM22	BS_PENM28KT	-0.8696252436864575	Myeloid-dominant
CD8 T cell	LM22	BS_PJC6FH4Y	-0.4428493647308619	Lymphocyte-inflamed
CD8 T cell	LM22	BS_PS0P3QJ3	-0.8696252436864575	Myeloid-dominant
CD8 T cell	LM22	BS_PXCPK5XS	0.3490596847807296	Myeloid-dominant
CD8 T cell	LM22	BS_PZVHMSYN	1.287893254160268	Myeloid-dominant
CD8 T cell	LM22	BS_Q06J3RYW	1.329295256056184	Lymphocyte-inflamed
CD8 T cell	LM22	BS_Q35GFYDR	1.5326416162116228	Myeloid-dominant
CD8 T cell	LM22	BS_Q9N5PRD5	2.666701889639766	Myeloid-dominant
CD8 T cell	LM22	BS_QB84TBA3	0.3048167720842023	Immune-desert
CD8 T cell	LM22	BS_QGKEP3KB	0.11799544258950537	Lymphocyte-inflamed
CD8 T cell	LM22	BS_QH0VYVJK	0.27583598848445856	Myeloid-dominant
CD8 T cell	LM22	BS_QHY302E8	-0.4475504605916011	Lymphocyte-inflamed
CD8 T cell	LM22	BS_QMBS32Y2	1.6901483179464216	Myeloid-dominant
CD8 T cell	LM22	BS_QNNX91SM	-0.44828419109607287	Myeloid-dominant
CD8 T cell	LM22	BS_QY2G1JZJ	-0.6491520911899511	Myeloid-dominant
CD8 T cell	LM22	BS_QYA4TQXX	-0.8696252436864575	Immune-desert
CD8 T cell	LM22	BS_R5JQE0VJ	0.09251669880527041	Myeloid-dominant
CD8 T cell	LM22	BS_R5SNFB5B	2.1211393060397103	Immune-desert
CD8 T cell	LM22	BS_R9B92M75	-0.4122151730238065	Myeloid-dominant
CD8 T cell	LM22	BS_RHAWQJ48	1.0865547036367653	Lymphocyte-inflamed
CD8 T cell	LM22	BS_RHM60031	-0.09772958655897068	Myeloid-dominant
CD8 T cell	LM22	BS_RJC3WDD6	-0.8453113668228743	Immune-desert
CD8 T cell	LM22	BS_RN0VAY51	-0.5030789112815642	Myeloid-dominant
CD8 T cell	LM22	BS_RX1YTZ7F	0.6447461027806328	Myeloid-dominant
CD8 T cell	LM22	BS_RZBFH1QF	-0.4255256567659705	Immune-desert
CD8 T cell	LM22	BS_S2TA8R29	-0.8696252436864575	Myeloid-dominant
CD8 T cell	LM22	BS_S3C2PZAH	-0.4761367802540133	Myeloid-dominant
CD8 T cell	LM22	BS_S3MET0JZ	0.6975441266865832	Myeloid-dominant
CD8 T cell	LM22	BS_S4V9E1XJ	-0.3370286920463913	Lymphocyte-inflamed
CD8 T cell	LM22	BS_S5P8VTN5	0.26869799369042424	Myeloid-dominant
CD8 T cell	LM22	BS_S6B9DVNS	-0.59850003699504	Immune-desert
CD8 T cell	LM22	BS_S6S7SK3P	-0.5839667646590051	Immune-desert
CD8 T cell	LM22	BS_S8K878T3	1.694024095930556	Lymphocyte-inflamed
CD8 T cell	LM22	BS_SBMAM00V	-0.158909735038197	Myeloid-dominant
CD8 T cell	LM22	BS_SBMCD7XZ	-0.8696252436864575	Myeloid-dominant
CD8 T cell	LM22	BS_SD0EMK7Y	-0.8696252436864575	Lymphocyte-inflamed
CD8 T cell	LM22	BS_SD8YBRBR	-0.8557299969317201	Immune-desert
CD8 T cell	LM22	BS_SERDGASJ	0.4875758649673049	Lymphocyte-inflamed
CD8 T cell	LM22	BS_SJVTZ5TH	0.8390778003886578	Myeloid-dominant
CD8 T cell	LM22	BS_SMWQR2F1	1.257420780148457	Myeloid-dominant
CD8 T cell	LM22	BS_SNVM7CZT	0.37838238501867477	Myeloid-dominant
CD8 T cell	LM22	BS_SR2RGDXJ	-0.7972148223182779	Myeloid-dominant
CD8 T cell	LM22	BS_SW9Z10F9	-0.8425398543535138	Lymphocyte-inflamed
CD8 T cell	LM22	BS_SY3J3XR9	-0.3500983082304115	Immune-desert
CD8 T cell	LM22	BS_T1YHK6B7	0.2857932365445128	Myeloid-dominant
CD8 T cell	LM22	BS_T2F48Z4E	2.0979604145476327	Lymphocyte-inflamed
CD8 T cell	LM22	BS_T9A8JJW5	-0.8696252436864575	Myeloid-dominant
CD8 T cell	LM22	BS_TASG32Z2	2.0106744015947706	Myeloid-dominant
CD8 T cell	LM22	BS_TGS109T3	-0.2777581687655454	Immune-desert
CD8 T cell	LM22	BS_TM9MH0RP	0.19564708407987205	Myeloid-dominant
CD8 T cell	LM22	BS_TR2P8KRF	-0.20916499686690965	Myeloid-dominant
CD8 T cell	LM22	BS_TRKH2SPE	-0.4566004857552346	Myeloid-dominant
CD8 T cell	LM22	BS_TRPXB3AV	-0.8436946002749728	Myeloid-dominant
CD8 T cell	LM22	BS_TTDNZTZ0	-0.37540323190495134	Lymphocyte-inflamed
CD8 T cell	LM22	BS_TTE04ZP8	-0.8302037531308567	Lymphocyte-inflamed
CD8 T cell	LM22	BS_TV5B86ZD	-0.8696252436864575	Immune-desert
CD8 T cell	LM22	BS_TVH33J9Q	0.0555834126617288	Myeloid-dominant
CD8 T cell	LM22	BS_TXZ7KHTQ	-0.4156348636888488	Myeloid-dominant
CD8 T cell	LM22	BS_V0DQFC75	-0.8696252436864575	Myeloid-dominant
CD8 T cell	LM22	BS_V3Z3DB4N	-0.2697316309166554	Immune-desert
CD8 T cell	LM22	BS_V558NW3Q	-0.5358984381570001	Lymphocyte-inflamed
CD8 T cell	LM22	BS_V6RSB5HQ	0.6852018516405137	Myeloid-dominant
CD8 T cell	LM22	BS_V8QWBVS3	0.7871101131842551	Lymphocyte-inflamed
CD8 T cell	LM22	BS_VBMRQK4F	-0.7693209952011357	Myeloid-dominant
CD8 T cell	LM22	BS_VDFXXMEX	2.751071329050884	Immune-desert
CD8 T cell	LM22	BS_VF3NVT4G	-0.7236196252605347	Lymphocyte-inflamed
CD8 T cell	LM22	BS_VKH87DD2	0.5428449973473167	Lymphocyte-inflamed
CD8 T cell	LM22	BS_VKHJG2B8	0.01186673875495771	Myeloid-dominant
CD8 T cell	LM22	BS_VKYEM67A	-0.8232256795692275	Lymphocyte-inflamed
CD8 T cell	LM22	BS_VMQMGSJY	-0.7280942728801654	Lymphocyte-inflamed
CD8 T cell	LM22	BS_VVTHDRBD	0.010531081316279457	Myeloid-dominant
CD8 T cell	LM22	BS_W1385R8Y	1.666639344650247	Immune-desert
CD8 T cell	LM22	BS_W4DB5RP1	4.002942617583211	Immune-desert
CD8 T cell	LM22	BS_W7MFJZ5A	-0.5686966350022885	Lymphocyte-inflamed
CD8 T cell	LM22	BS_WBVSK3MP	-0.8696252436864575	Immune-desert
CD8 T cell	LM22	BS_WEKK6SHP	1.146804030054634	Myeloid-dominant
CD8 T cell	LM22	BS_WHBEXD5H	-0.6698701657810245	Lymphocyte-inflamed
CD8 T cell	LM22	BS_WQ1YRTAT	0.8406127129514132	Immune-desert
CD8 T cell	LM22	BS_WTJEDTZC	1.1816590699933094	Myeloid-dominant
CD8 T cell	LM22	BS_WVRX4C9Z	0.05985381108726466	Lymphocyte-inflamed
CD8 T cell	LM22	BS_X0XXN9BK	-0.5093680157239984	Lymphocyte-inflamed
CD8 T cell	LM22	BS_X1G0TKP4	-0.1551447645826675	Myeloid-dominant
