method,MCP_NK,QTS_NK,EPIC_NK,xCell_NK,NK_ssGSEA
MCP_NK,1,0.345068690302317,0.180160278444378,-0.033383512777091,0.534472884793769
QTS_NK,0.345068690302317,1,-0.029309938537358,-0.0228749230823672,0.162724044772247
EPIC_NK,0.180160278444378,-0.029309938537358,1,-0.0450794656079975,0.367722484623153
xCell_NK,-0.033383512777091,-0.0228749230823672,-0.0450794656079975,1,-0.029357253808795
NK_ssGSEA,0.534472884793769,0.162724044772247,0.367722484623153,-0.029357253808795,1
