TIS	Bagaev_Effector_cells	Bagaev_Checkpoint_inhibitor	Bagaev_TAMs
0.002728063800684404	0.0013627273836021466	0.04072413491952212	0.006752867451690391
0.010950964742417727	0.017607903484844933	0.12322801669880444	0.011817902179690051
0.004943528620607945	0.04054602435478814	0.06497583977130916	0.03889071964254529
0.03421819800294916	0.0032019027913621273	0.11641222540869475	0.009199266976962772
0.005673118220159573	0.018130879630155975	0.03339266166455471	0.014690869514615897
0.016993536617159116	0.02765080608877719	0.04501374948652738	0.02146047527124548
0.012579404762926766	0.006234043810191761	0.0077625088372564495	0.05964694820584588
0.016766787860875626	0.010649121625105229	0.03650562667438013	0.03701263802526856
0.017387195098858894	0.017883626279231006	0.13604578349124793	0.02510258608742723
0.0043575071864715926	0.01881311037052511	0.03280643043895058	0.05083375202568793
0.034908354056104374	0.0048886971171596865	0.02697734089000164	0.022162086286393323
0.04325746062086083	0.07373307090601659	0.11507456373511586	0.04706647608142351
0.0026164700636093037	0.00924437951969631	0.07037990683214733	0.012386262507995356
0.019057510322026672	0.03299824894189799	0.03115596900026752	0.010679318711727214
0.0031754388886699805	0.015855343960345634	0.11494657823734046	0.009943457225511359
0.01821042583988957	0.02234584568612883	0.04484412240242652	0.030117746473289547
0.005925131255535173	0.034844556393392706	0.07116314813588717	0.028017371184909417
0.005248088889606886	0.027656049458889657	0.029261622772370707	0.06660199729269176
0.008933081937955748	0.009502310129221194	0.019119282320890916	0.007021770532577892
0.0007206252918925034	0.008281706442648383	0.013087740429682942	0.04028493353713692
0.003001699507736598	0.03792682648743621	0.05862725534085082	0.010131196319442473
0.007006922818470605	0.03640549150427604	0.010194905260576575	0.011569801788600398
0.08393383793645073	0.04809997431300918	0.02301105890209211	0.0373195313686294
0.0670715760693902	0.04948909281816991	0.030580373591653557	0.016527029978761196
0.01257731819112541	0.026961551021255217	0.03092835460797846	0.00902206435214962
0.0007563090434854648	0.015189609153543645	0.0523469847692312	0.009225853279259724
0.00856288927354573	0.012688329486707077	0.0275109385208583	0.010161495557848396
0.00465691454427961	0.06081412008250109	0.05171280023514548	0.027098568914040416
0.04369813602270598	0.06747321298435963	0.010336633055250509	0.0038175336935431293
0.008949673863378534	0.021269024509804453	0.01576733308081178	0.008228989065913399
0.008985841824084156	0.01058726908689741	0.10289208131251042	0.02359202636925746
0.012166074297698537	0.009543537081019654	0.04532299768014828	0.017212584074995867
0.02993789641719486	0.005559020951449768	0.11149428078794626	0.008706224156270481
0.03537060895511045	0.017291805655246698	0.06705420662477604	0.03046417355709344
0.04064382484797782	0.025645296919687643	0.055453197151410984	0.007102158204445729
0.003118710346563838	0.009955611267087114	0.021187649712935637	0.047876938406436295
0.220656220158035	0.036514617251760285	0.031589390415154406	0.048720800476599824
0.007762974620551313	0.022209792523742052	0.016902661839897925	0.026764887398529558
0.008670570383328118	0.0076652041298873015	0.013192540909146669	0.01460691949236469
0.0063721418791936645	0.038508788945145846	0.011212813960434956	0.047876938406436295
0.007394872640903704	0.015311765567682666	0.09133206062631292	0.021685762129209075
0.022568661166375237	0.03156998065416437	0.028776324479238186	0.025635505752140225
0.0062343019895419105	0.04716858063973869	0.012136047518542838	0.030191827860750756
0.0128046244388548	0.0014189870067768332	0.005773311310928749	0.013484669853303769
0.002187284887540601	0.006815327441587567	0.05458304398357988	0.0111961509932754
0.0036208690312693964	0.030435063883366347	0.05199171397431905	0.010813228367414982
0.01238117038725197	0.007505335654629128	0.02380409877811773	0.07400217806427821
0.006067057635312821	0.012931113091083064	0.044702716287922786	0.03441222098654644
0.11281861020140022	0.041717881008830886	0.0900903291053565	0.02111341869603273
0.10695786241982283	0.04867736618570394	0.022214252549052557	0.030053268444371846
0.0026206186498818986	0.00799935899517617	0.02722021214300151	0.013529766057384183
0.08443284742592966	0.029283984635409165	0.05235006925618181	0.1138269387797918
0.0040379875807350215	0.036280955711825415	0.016116333701617445	0.0506009413321692
0.013653268217868775	0.02429874507646536	0.07740439946801211	0.01346453957705887
0.03227941992090301	0.03172247853128382	0.04250117640573981	0.007148820642679302
0.03497521879397686	0.01045452013860588	0.03669680735388765	0.06476685205408775
0.03537060895511045	0.017506379297520656	0.03692255102878795	0.01892668934010969
0.0223716905387912	0.01967242121726116	0.0076636427883122965	0.011840158014995565
0.05555452357362977	0.006178408813109024	0.09319895642545539	0.07692668702887771
0.006477539222595123	0.025197515791564207	0.06305550008499908	0.013621966987818724
0.0008186976885061673	0.024629139615466526	0.04065445910483708	0.0235186405621041
0.00810024163900839	0.02308751626011985	0.02859677569658774	0.02038183463315446
0.018058703529319483	0.07599379119373849	0.03140533590933751	0.05517661925858105
0.001127985135016465	0.008325681050528689	0.0268785244707991	0.05134414556415598
0.08829821206992372	0.03305720791823575	0.02171581475060874	0.023111070615635984
0.002118236723905949	0.02439723700531506	0.12417250062603098	0.024598142522508477
0.03897494719009811	0.013060206106770743	0.14886409025710245	0.026899253163829153
0.050941606528513234	0.021375048691624123	0.04463403372294557	0.045982591327856065
0.0004152731676041519	0.005578182252934643	0.03213935186418739	0.039460034287561646
0.06004747765743839	0.020925128327091588	0.048090563504853745	0.030629523496651344
0.009838114509854421	0.037982979337301895	0.005165674892779635	0.06241895721243323
0.013650626980211923	0.018880594529464174	0.024655385809210454	0.04553774569742434
0.006644938825938985	0.013644945994930139	0.043508742846953795	0.029628989616667673
0.005841129418737123	0.008432723562091595	0.11927150544949418	0.01839271329000409
0.0021705738006658148	0.02662910010453114	0.006977492616891765	0.01683802822820858
0.06742265271679422	0.051316291777237906	0.007001008835009753	0.009789693073692643
0.012227318451221797	0.04320893826016567	0.03140205645208877	0.018629592112199167
0.06841144459003601	0.029276713282357175	0.05435356834636826	0.02526806965285808
0.001993776850190113	0.0026345590400076273	0.03884394369171186	0.03014762425305763
0.008315668050826872	0.007604136227394079	0.0391486787410663	0.024320497797583423
0.1266940196884409	0.008854692694055625	0.12517178847453247	0.008453020322608416
0.00783892355806759	0.04289932131700091	0.04681786893130374	0.047314964703253186
0.0018537864202814902	0.010602912271916193	0.09102088365713504	0.025646861922999184
0.0010278661415061992	0.00870764529058822	0.029673422474929607	0.023924285299015646
0.006527327778287204	0.015550668849059245	0.06279539286581008	0.010328635163999518
0.05555452357362977	0.0023914774602696366	0.04677722351626765	0.009625406166653175
0.013347348021771946	0.03461718837602099	0.16383585676927478	0.01356771058003027
0.03637448191278593	0.009369168794013942	0.056296592163095696	0.003658117481296715
0.004539789320835646	0.020455309187183614	0.017018149690910422	0.023043368519115738
0.009008672171588614	0.020203332939738677	0.050451621709357686	0.019930211325606174
0.021016404937312952	0.019005923323971264	0.025367324132678816	0.033411876977147974
0.011268209772412226	0.004310762551218657	0.01616757065000756	0.02781925766098661
0.008516276103136983	0.02645042935719392	0.11073961187890038	0.008752338777472758
0.03483388984460072	0.005028043236671375	0.02524861850441106	0.015601886349662026
0.09225048651550395	0.027334817266086116	0.06054238835380534	0.024285644222777247
0.00783892355806759	0.07644958590263559	0.1672043900140007	0.050749575433659044
0.0052868331789498145	0.010850464606078566	0.10023631285223993	0.050064131268226245
0.005589081864271035	0.015164836585798673	0.0580247340739851	0.08424071346714222
0.009291850910957989	0.00888388754993892	0.0028753454999704358	0.0034180623411680733
0.03723371061498142	0.015584981653503197	0.025180610084708305	0.02800950880259798
0.016368260393925388	0.013644945994930139	0.037547447481193236	0.04338021382405998
0.045229714891513555	0.01290850030085322	0.01441816670186311	0.06605810113973902
0.00851595963491988	0.026280589703895924	0.07648881254594402	0.009115924392983223
0.043412041023312566	0.02402315479695654	0.028955972902917067	0.026521691351441324
0.0075454830718208405	0.01289036965274939	0.049860054702473004	0.021124888121195416
0.028218608749020418	0.029490641240917125	0.04216660552260346	0.017061603188049362
0.09644946264494132	0.03478005067632839	0.05780579696207931	0.0170863669742535
0.004408937588374595	0.02430377783475556	0.027162280087735132	0.01863317073296518
0.026256923461208385	0.009114627301840294	0.08005756042449606	0.03329490328398061
0.09486014100666197	0.03064177921382542	0.0483816064679864	0.02755149546596462
0.0070036985718128645	0.017047792936631233	0.06219215103536058	0.010388839911757479
0.0036062774733249727	0.005851037066592897	0.06575394995432243	0.01907408552377489
0.034908354056104374	0.0064287924308996025	0.08871047975989255	0.026101388124655442
0.13849616736283824	0.03326872109149235	0.005943813349643475	0.024131288458831886
0.014121733415880843	0.04023583721473829	0.06219215103536058	0.02280034385061619
