Kids_First_Biospecimen_ID	Antigen_presentation_HLA_I	Antigen_presentation_HLA_II	CCR2_chemokine_axis	CSF1R_TAM_axis	Exhaustion_core	Hypoxia_HIF_targets	MDSC_granulocytic	MDSC_monocytic	Senescence_T_cell	Suppressive_cytokine_axis	TCM_Naive_loss	Treg_signature	HLA_I_minus_II
BS_00FD2KMP	0.6037176776289901	0.5621059985489183	-0.020928087678051863	0.23043676636567412	0.276677889671079	0.6237209389480551	0.2643798758634693	0.34891892641711625	0.3569263989489894	0.36316978171484937	0.2198123608320672	0.25131051694668	0.041611679080071795
BS_028YFYJ6	0.6042138646809505	0.7082412436086712	0.0029037111498045557	0.2906283934099784	0.3036859731496327	0.6776100389489003	0.41505527717934976	0.5179497956069409	0.3804999278921636	0.41252669025448785	0.2909810987743925	0.2236902932129601	-0.10402737892772074
BS_052PZFMK	0.6452569060177462	0.5640154610086001	-0.05243470499340731	0.16815516399026154	0.2533157609444537	0.6626402810923785	0.13707389836338024	0.3884042692880514	0.38796887641392225	0.370494996475529	0.25913327576011547	0.24990289111856268	0.0812414450091461
BS_056Q8577	0.6521931559976026	0.5931562614168996	0.33061123574263823	0.12192867227063814	0.3243783556309926	0.583350368289619	0.1273053564302609	0.4609612114122171	0.47691369975246073	0.47468116087131446	0.37199709115298	0.4162457236781345	0.05903689458070305
BS_08ST21QE	0.6432491779220886	0.7190519982523943	0.3301051156136023	0.4533076417399679	0.2335266703573829	0.6209385384899662	0.3033855665799793	0.4235681646436262	0.3210896041987059	0.419694141840585	0.3597652739455287	0.1241798667241128	-0.07580282033030572
BS_0C7VZC0A	0.6531470036602668	0.6980204812783837	0.11838156695173001	0.3786655451883702	0.2612176756349442	0.655300763837348	0.28113195311953637	0.4491406572258862	0.4444108118268477	0.4096390812796909	0.2784225849574667	0.3193356454125984	-0.044873477618116886
BS_0S8E7590	0.6763169050908691	0.6949036472821917	0.31176578720104975	0.42803762513207066	0.3770801793382249	0.6952791452442706	0.505252093868868	0.5641009126371966	0.5193292495615082	0.5437647832386578	0.4652447179820008	0.43315624332430125	-0.018586742191322614
BS_0VXZCRJS	0.6545692691476798	0.690080703158671	0.17499848980942093	0.2694465030999631	0.2518987608624774	0.6281461321427624	0.2968668737916322	0.46541830119179944	0.4486869542092005	0.40559708355428065	0.2717124402551271	0.290317382010148	-0.035511434010991216
BS_0XEBS3PG	0.5747086438266071	0.4609067613567452	0.33288560373096676	0.34888404915223425	0.18832851059120403	0.6258392491315149	0.10341051174737984	0.34537765011911803	0.3651744333449475	0.3117639911506366	0.20407409936732873	0.14701490113534338	0.11380188246986195
BS_0ZA67BBC	0.6083798550798378	0.536547907979234	0.2644471998981235	0.3201866762664818	0.271526488101888	0.615623756939996	0.3693563915037027	0.4545689269407982	0.3797151631885785	0.3601819513435005	0.24323599281802638	0.2018274900145499	0.07183194710060381
BS_12G04QJM	0.6512529871604351	0.5763378572617381	0.0020747707230378562	0.17094993691291077	0.08872786643964385	0.6592449371088848	-0.05972085044808803	0.27577136641962635	0.2790075052907398	0.3180331171659144	0.1551916462471485	0.18473554459676803	0.07491512989869697
BS_17ZSMXFH	0.6611240202068496	0.4858706470203403	0.14538299168983085	0.06043658351255347	0.11231808371702959	0.5998648140433291	0.28339841743515415	0.4152713014862594	0.3490043658973966	0.39594537448105954	0.35945568992106813	0.23860845024130684	0.1752533731865093
BS_1A6MQ9ZA	0.657649319215164	0.652430530420582	0.2555667311098334	0.3223489902742741	0.10942244975824332	0.7133569867815891	0.42646056964247625	0.5260979421059311	0.37887795006233765	0.40891750912940394	0.2162884456509827	0.2735180281436966	0.005218788794582041
BS_1D93Z575	0.6625761465876597	0.6796622554648258	0.18765702009419605	0.2577710157789207	0.13821209575103802	0.6454143368542345	0.40458059598195806	0.4905488698261157	0.4125146224105116	0.35500205431590925	0.3425287472142738	0.19701123078475433	-0.017086108877166106
BS_1EN5V3XW	0.6670899109111837	0.6479600751132162	0.1127529802681819	0.25954336086822216	0.3086776356309864	0.5671626858900525	0.0067044212928925465	0.2656201864734033	0.3208892109203034	0.33688531322562265	0.23608371220051302	0.22723761805766535	0.019129835797967565
