feature	family	H	df	p	n	epsilon_sq	q_BH
xCell_Myeloid dendritic cell activated	xCell	140.901873870304	2	2.532484781044518e-31	349	0.4014505025153295	1.9753381292147243e-30
xCell_Monocyte	xCell	118.46097683799924	2	1.890278171341609e-26	349	0.3365924186069342	1.2286808113720457e-25
xCell_Macrophage M2	xCell	85.32925346708038	2	2.9579309878788265e-19	349	0.240835992679423	1.6479901218182033e-18
xCell_Plasmacytoid dendritic cell	xCell	46.71352370930409	2	7.182691462224911e-11	349	0.1292298373101274	3.5015620878346447e-10
xCell_stroma score	xCell	35.55825384942208	2	1.8994299583605688e-08	349	0.0969891729752083	8.230863152895799e-08
xCell_Endothelial cell	xCell	29.96416465464062	2	3.114327766452841e-07	349	0.0808212851290191	1.214587828916608e-06
xCell_B cell plasma	xCell	29.67453862755124	2	3.599612990998e-07	349	0.0799842156865642	1.276226424081109e-06
xCell_Mast cell	xCell	20.575422752024608	2	3.404894955179067e-05	349	0.0536861929249266	0.0001106590860433
xCell_T cell CD4+ effector memory	xCell	18.57933380391053	2	9.237382469639396e-05	349	0.0479171497222847	0.0002771214740891
xCell_Common lymphoid progenitor	xCell	16.727789115747555	2	0.0002331346072074	349	0.0425658644963802	0.0006494464057923
xCell_Myeloid dendritic cell	xCell	15.97868557004931	2	0.0003390568433897	349	0.0404008253469633	0.0008815477928133
xCell_T cell CD4+ Th1	xCell	14.662514392652264	2	0.0006547499202844	349	0.0365968624065094	0.0015959529306932
xCell_B cell	xCell	14.529640077335408	2	0.000699727182155	349	0.0362128325934549	0.0016052564767085
xCell_T cell CD4+ central memory	xCell	13.783112251556645	2	0.0010163310708414	349	0.0340552377212619	0.0022020506534898
xCell_Neutrophil	xCell	12.31961647726256	2	0.00211265835915	349	0.0298254811481576	0.0043365092635184
xCell_Class-switched memory B cell	xCell	12.10763790051936	2	0.0023488746208805	349	0.029212826302079	0.004580305510717
xCell_T cell regulatory (Tregs)	xCell	11.448812496208069	2	0.0032652914735182	349	0.0273087066364395	0.0060641127365339
xCell_T cell NK	xCell	11.149932872593688	2	0.0037916028402451	349	0.0264448926953574	0.0067214777622528
xCell_Cancer associated fibroblast	xCell	10.132321511666047	2	0.0063065862457863	349	0.0235038193978787	0.0106937766776377
xCell_Hematopoietic stem cell	xCell	9.541256331255	2	0.0084750547494236	349	0.0217955385296387	0.0137719639678134
xCell_NK cell	xCell	8.993549271519326	2	0.0111448849439007	349	0.0202125701488997	0.0173860205124851
xCell_T cell CD8+ naive	xCell	8.02452483014188	2	0.0180924163432424	349	0.0174119214743984	0.0271386245148637
xCell_T cell CD8+ central memory	xCell	5.110761507056828	2	0.0776626561067453	349	0.0089906401938058	0.1121793921541877
xCell_Granulocyte-monocyte progenitor	xCell	4.937290576867321	2	0.084699524740356	349	0.0084892791238939	0.1179743380312101
xCell_T cell CD8+	xCell	3.6910917592612007	2	0.1579390816261252	349	0.0048875484371711	0.2124008339109959
xCell_T cell CD4+ naive	xCell	3.61234564733924	2	0.1642816701157943	349	0.0046599585183215	0.2135661711505326
xCell_T cell CD4+ memory	xCell	3.207221293677112	2	0.2011688554270478	349	0.0034890788834598	0.2530833987630602
xCell_T cell CD8+ effector memory	xCell	2.350627781502425	2	0.3087220594784713	349	0.0010133750910474	0.3762550099893869
xCell_T cell gamma delta	xCell	1.7318017881408756	2	0.4206724005937636	349	-0.0007751393406333	0.4971582916108116
xCell_Common myeloid progenitor	xCell	1.6513644882250134	2	0.4379361111880344	349	-0.0010076170860548	0.5023384804803924
xCell_T cell CD4+ Th2	xCell	1.1379076479850438	2	0.5661173874324144	349	-0.0024915963931068	0.6308165174246904
xCell_B cell naive	xCell	0.5161149245082842	2	0.7725508383188475	349	-0.0042886851892824	0.8369300748454181
xCell_B cell memory	xCell	0.3865559987797708	2	0.8242528005098665	349	-0.0046631329515035	0.8688070059428322
