sample,MCP_CD8,QTS_CD8,EPIC_CD8,Cytolytic_ssGSEA
BS_00FD2KMP,0.0426443374084937,0,0.0129955316223916,0.254747622068245
BS_014EVM2D,0.545968369105292,0,0.0261311944625128,0.408135440284733
BS_028YFYJ6,0.310340120612151,0,0.00933523173786308,0.207335589662078
BS_044XZ8ST,0.286881147788162,0,0.0205712557810509,0.246140471703989
BS_052PZFMK,0.0143552929770701,0,0.0234109657475779,0.150890436781473
BS_056Q8577,0,0,0.0145424466705618,0.330993006819432
BS_063ERW0R,0.176322772640463,0,0.024140216211685,0.139211073079833
BS_06AMMCXR,0.124328135002202,0,0.0149007517252906,0.315820219082867
BS_08ST21QE,0.070389327891398,0,0.0335823553690788,0.292244968442212
BS_08TWG4K0,3.51222688651396,0.0523651366673086,0.0463203824725194,0.684901955273157
BS_0C7VZC0A,0.070389327891398,0,0.00838568261587335,0.185446414361632
BS_0D5VRAKC,1.58496250072116,0,0.0453236681916966,0.463873689747881
BS_0J9SHHSC,0.176322772640463,0,0.0134847673663484,0.314268889547653
BS_0S8E7590,0.0976107966264223,0,0.0143693380885843,0.440309402276445
BS_0SCXXM6N,0.839959587489532,0,0.0264488625828048,0.416419511479141
BS_0TDWG2CV,0.238786859587117,0,0.034969355145737,0.493672491828471
BS_0VXZCRJS,0.22650852980868,0,0.0187401149507398,0.237016692559343
BS_0WVJYM9R,0.0565835283663675,0,0.0161302682148044,0.233814895626397
BS_0X9EGHY2,0.321928094887362,0,0.0337378457836465,0.297572551590552
BS_0XEBS3PG,0.16349873228288,0,0.0338747453269805,0.181832347431846
BS_0Y5J2AQ4,0.0565835283663675,0,0.0134724022388642,0.356442359043106
BS_0ZA67BBC,0.604071323668861,0,0.0096825957484526,0.161757779979534
BS_12G04QJM,0.0565835283663675,0,0.00435459186690983,0.226961392777589
BS_13CGKADW,0.263034405833794,0,0.0232822875725974,0.260843054850344
BS_166N7SZQ,0,0,0.00915706582447467,0.296807393222297
BS_17WYVEEC,0.0565835283663675,0,0.0156759602019011,0.154010187714828
BS_17ZSMXFH,0.0143552929770701,0,0.0159448310637565,0.334683253919263
BS_1A6MQ9ZA,0,0,0.0161496820072419,0.215855545171562
BS_1D93Z575,0.526068811667588,0,0.0159362510829118,0.322320393607013
BS_1DECYC4K,0.0285691521967709,0,0.0233006331877739,0.286246429000259
BS_1EN5V3XW,0.0143552929770701,0,0.0135616484105978,0.0749699004861192
BS_1G3WYEN3,0.411426245726465,0,0.0301338162203298,0.271241705793806
BS_1HYS8CSC,1.09085343045111,0,0.0295618239280719,0.437263303602492
BS_1JDG6JV5,0.0565835283663675,0,0.00451928762128103,0.314906298711838
BS_1KYGSMA7,0.765534746362977,0.0018545743543079,0.0262219689154939,0.435628400309227
BS_1N76FQZY,0.765534746362977,0,0.0175603194713409,0.348352515983256
BS_1NPD7PVG,0.250961573533219,0,0.00979634323794905,0.323402104076786
BS_1Z9AX9JS,1.08406426478847,0,0.014652750287435,0.421992352143078
BS_1ZVXF5FE,0.443606651475615,0,0.0206348434151286,0.268049289019669
BS_21RE8W46,0.250961573533219,0,0.0173719913193872,0.2649695883495
BS_223BM91B,2.26603689399532,0.00526016936090093,0.0542079521695354,0.376414908494662
BS_24AHZ9ZW,0.659924558402378,0,0.0122211157930454,0.417445834570707
BS_25HNKZ79,0.344828496997441,0,0.00709510160122367,0.397847822843399
BS_2720P44V,0.344828496997441,0,0.0311083832539693,0.502512759614783
BS_27FYYPJG,0.432959407276106,0,0.0174005424514193,0.375864191482041
BS_2853394H,0.16349873228288,0,0.00532145204199234,0.180279333057505
BS_297H8BT4,0.0143552929770701,0,0.0176052707329489,0.335315127879111
BS_29TRQXWM,0.565597175854225,0,0.0125895689656639,0.394725743910076
BS_29X4ZX6Q,0.176322772640463,0,0.00768103490721328,0.210153870932928
BS_2A5R9D97,0.344828496997441,0,0.019303394342222,0.370283521837818
BS_2A5R9MEJ,0.0285691521967709,0,0.00904357076730358,0.17230094260464
BS_2ADZNNV4,0.238786859587117,0,0.012940582467636,0.323777549728809
BS_2ARXK0TD,0.545968369105292,0,0.0257453129474379,0.386178730782439
BS_2AV1H5TV,0,0,0.0141186484412808,0.310845157591869
BS_2DMBCHNF,0.344828496997441,0,0.0172124350183979,0.540096310586315
BS_2EMW8ZG3,0.594548549550354,0,0.0126017231954314,0.282417960653433
BS_2EN3X6HB,0.298658315564515,0,0.0293518708871387,0.302489229173072
BS_2FEZWH1F,1.07724299893246,0,0.0174750117825119,0.445542778328995
BS_2HNXVFAS,0.565597175854225,0,0.0132512519720834,0.222687795417016
BS_2JH1QMT1,0.0285691521967709,0,0.0100804331745134,0.210124559149951
BS_2JP7RBMB,0.422233000683048,0,0.0151547127396841,0.332938738536848
BS_2K01T8K6,0.27500704749987,0,0.0174237963941819,0.426918678525905
BS_2K3FVT86,0.150559676575381,0,0.0153970003180216,0.403679988418478
BS_2KJ2YAZR,0.189033824390017,0,0.0176179162145552,0.343594942446988
BS_2PDS3MSS,3.48928602262588,0.0145407549173432,0.0386446364086543,0.457089136520045
BS_2QCQYY6M,0.250961573533219,0,0.0350888392736889,0.368973761152569
BS_2T5PJAW8,0.584962500721156,0,0.021705061237097,0.343488729901219
BS_2WANPFBJ,0.0565835283663675,0,0.0198034371395111,0.382710147458126
BS_2WPQ8YCW,0.150559676575381,0,0.0172113970709853,0.345875646376978
BS_2XM08BFY,0.454175893185802,0,0.0257757615622623,0.38658406009522
BS_2YCJV2VV,0.0840642647884746,0,0.0173498231981991,0.197344673136982
BS_304SPN6B,0.941106310946431,0,0.0223980692696879,0.402977018304851
BS_30F3Z9FS,0.124328135002202,0,0.014833685422176,0.362551560426757
BS_30VC3R2Q,0.111031312388744,0,0.0116881587569261,0.255390129487853
BS_30YWQ3FY,0.0143552929770701,0,0.0283741002123403,0.389116120870687
BS_31MBRWC4,0.454175893185802,0,0.0222099672469599,0.438410516365178
BS_333KCNDP,0.495695162624069,0,0.00835909044206766,0.462487332393754
BS_33AQSPRP,1.57531233068744,0,0.0272909840721723,0.42130597711423
BS_399RPKC9,0.150559676575381,0,0.00530784295164587,0.191098811645991
