method,MCP_macro_mono,QTS_macro,EPIC_macro,xCell_macro_mono,Microglia_Klemm,MicrogliaCore_Bohlen,MDM_Klemm,MgTAM_Antunes,MoTAM_Antunes
MCP_macro_mono,1,0.834895501683815,0.735620192261081,0.595157642530781,0.57911896661052,0.592915363919193,0.599096298097725,0.62047302027781,0.601769546059658
QTS_macro,0.834895501683815,1,0.797573453006431,0.768351253713303,0.54386572250103,0.546009499060089,0.729836767570311,0.579348730316261,0.732704964258996
EPIC_macro,0.735620192261081,0.797573453006431,1,0.853093491063999,0.657147129630049,0.651970011906944,0.749154075905333,0.653380120982794,0.7096690446041
xCell_macro_mono,0.595157642530781,0.768351253713303,0.853093491063999,1,0.565971796880947,0.558364970630503,0.862160827122034,0.564167847871245,0.786601427671318
Microglia_Klemm,0.57911896661052,0.54386572250103,0.657147129630049,0.565971796880947,1,0.995198476616,0.406795153022347,0.986013342721804,0.370288791566665
MicrogliaCore_Bohlen,0.592915363919193,0.546009499060089,0.651970011906944,0.558364970630503,0.995198476616,1,0.406409152486185,0.989181925663643,0.365481440712314
MDM_Klemm,0.599096298097725,0.729836767570311,0.749154075905333,0.862160827122034,0.406795153022347,0.406409152486185,1,0.410594941190331,0.940529485690534
MgTAM_Antunes,0.62047302027781,0.579348730316261,0.653380120982794,0.564167847871245,0.986013342721804,0.989181925663643,0.410594941190331,1,0.377413880004165
MoTAM_Antunes,0.601769546059658,0.732704964258996,0.7096690446041,0.786601427671318,0.370288791566665,0.365481440712314,0.940529485690534,0.377413880004165,1
