"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","significant"
1952.38600280375,2.80830589009165,0.146262852348558,19.2004042379756,3.67222991279768e-82,1.43749439936465e-77,"HLA-DMA","Up_Inflamed"
18953.4116932799,3.32125841855601,0.174072019646651,19.0797948188218,3.71715189546968e-81,7.27539554740803e-77,"HLA-DRA","Up_Inflamed"
258.119160022588,2.98837149195976,0.161486663503836,18.5053764014932,1.86868953591953e-76,2.438328396119e-72,"CCR5","Up_Inflamed"
105.885028532458,4.41005558048579,0.238846198504681,18.4639973677427,4.02426195043578e-76,3.86544939598365e-72,"CD2","Up_Inflamed"
395.261697681974,2.7423172271944,0.148611307111523,18.4529513971401,4.93734754883593e-76,3.86544939598365e-72,"GPR65","Up_Inflamed"
2372.78439925044,2.50161879064134,0.138492001686483,18.0632726812952,6.20334097418291e-73,4.04716304057317e-69,"CD53","Up_Inflamed"
192.707084802422,3.64591552170939,0.20199805717702,18.0492603377582,7.99542874615376e-73,4.47115797525984e-69,"RNASE2","Up_Inflamed"
1536.05234249179,2.87908611320154,0.161033773629332,17.8787719390382,1.72596933001005e-71,8.44538367790544e-68,"FPR1","Up_Inflamed"
2213.09194258896,2.88006369538631,0.161323547606483,17.8527173380272,2.7530875539564e-71,1.19744013666248e-67,"SERPINA1","Up_Inflamed"
320.151605444039,3.38271865959733,0.19005506911763,17.7986237110238,7.24269944484419e-71,2.83515469768426e-67,"LY96","Up_Inflamed"
4245.36867850661,2.8926913520212,0.165592130339012,17.4687730998996,2.47765538150079e-68,8.81707453716803e-65,"CD14","Up_Inflamed"
6292.2374019535,2.66757310547362,0.153134729174949,17.4197787781115,5.84025014171153e-68,1.90513826497748e-64,"CD68","Up_Inflamed"
275.838804014951,3.36988303167683,0.195842465408582,17.2071109534202,2.34859908970949e-66,7.07199318205215e-63,"TLR8","Up_Inflamed"
314.573205238867,3.69387898057401,0.2151710387437,17.1671754811481,4.67628408408525e-66,1.30752243193941e-62,"CD48","Up_Inflamed"
1667.66244582033,2.51374303071057,0.146567451125201,17.1507589946643,6.20368882769e-66,1.6189559943995e-62,"C3AR1","Up_Inflamed"
171.86114964409,2.61315542224819,0.153603787528081,17.0123111174616,6.655954024099e-65,1.62842075170847e-61,"CCRL2","Up_Inflamed"
1824.67539604284,2.84263712547649,0.16722904967254,16.9984648662586,8.42987008678527e-65,1.94110155616005e-61,"FCER1G","Up_Inflamed"
488.386854509316,3.81807560018367,0.226678499816268,16.8435718574032,1.16958585124199e-63,2.54352434149265e-60,"BCL2A1","Up_Inflamed"
220.379403793049,3.41793330287026,0.202995697297425,16.8374667462157,1.29670050902744e-63,2.67154428557259e-60,"CCL5","Up_Inflamed"
1224.65052166753,2.40439879130789,0.145854004305008,16.4849693552454,4.70533249201591e-61,8.77096382856965e-58,"ARHGAP30","Up_Inflamed"
375.549482960782,2.40254597254481,0.145717181813769,16.48773289903,4.49501619295199e-61,8.77096382856965e-58,"ARHGAP15","Up_Inflamed"
2043.38719316815,3.52578345441938,0.213926385054724,16.4812931023794,5.00038053041141e-61,8.89726799377066e-58,"HLA-DQA1","Up_Inflamed"
383.764413228611,2.07245213452011,0.126137594654743,16.4300908083169,1.16484386942887e-60,1.98251362038231e-57,"GIMAP2","Up_Inflamed"
503.062512943299,2.50371047740403,0.152617350975152,16.4051496203184,1.75693377430607e-60,2.86563219146713e-57,"RNASE6","Up_Inflamed"
2912.0269855585,3.18533226075575,0.195158643503323,16.3217585630611,6.91155513050466e-60,1.08221130233442e-56,"IFI30","Up_Inflamed"
2138.13316569047,2.73528373961377,0.168761956950612,16.2079403974573,4.43173343535525e-59,6.67231558949928e-56,"C2","Up_Inflamed"
822.736723615541,2.34834109824847,0.145245694084246,16.1680600106904,8.47244926542267e-59,1.22834824627767e-55,"CD86","Up_Inflamed"
918.391679179324,2.77741541985074,0.171936974877315,16.153683184391,1.06978694175002e-58,1.49560035124301e-55,"VAMP8","Up_Inflamed"
1912.37696260031,2.72734932657163,0.169437786632216,16.0964645536338,2.70103707925355e-58,3.64593436094415e-55,"ALOX5AP","Up_Inflamed"
99.7874511541111,3.84469992712429,0.239795951643337,16.0332144924729,7.49057172855851e-58,9.77394767714743e-55,"CD3E","Up_Inflamed"
382.122831384907,2.28336518792407,0.143534635209125,15.9081129415022,5.5666187939042e-57,7.02920298991548e-54,"SIGLEC9","Up_Inflamed"
844.658293132721,2.51631676119737,0.158462935465678,15.8795288866928,8.78356316567578e-57,1.07447681287618e-53,"CCR1","Up_Inflamed"
3126.63167788608,2.54553882405888,0.161137426783274,15.7973158370127,3.24648290541918e-56,3.85101737371617e-53,"CTSS","Up_Inflamed"
1569.96080748846,2.50934867914262,0.159163449446199,15.7658601134479,5.343981606898e-56,6.15265176476536e-53,"TLR2","Up_Inflamed"
9782.85417975456,2.49840622144081,0.158679716136092,15.7449627606974,7.43748882319953e-56,8.31829999954702e-53,"C1QB","Up_Inflamed"
6605.36252929566,2.64668757075846,0.168822090816835,15.6773770420247,2.15990984807045e-55,2.34860197229772e-52,"C1QA","Up_Inflamed"
222.234746602079,3.18869198365605,0.203492414422741,15.669832178765,2.4322073504461e-55,2.57320964143818e-52,"IL2RG","Up_Inflamed"
2549.4934995232,2.21977390652378,0.14170643904109,15.6645945063944,2.64108703465192e-55,2.65090646080639e-52,"HCLS1","Up_Inflamed"
68.29114402788,3.7969610008621,0.242386584148676,15.6648975197947,2.62853004292313e-55,2.65090646080639e-52,"CCR2","Up_Inflamed"
187.446511669873,2.25801037029586,0.144195076812242,15.6594137623439,2.86526133759787e-55,2.80401637650671e-52,"NLRC4","Up_Inflamed"
2030.46112279285,2.51784781282253,0.161178174238869,15.6215183892767,5.1953518499926e-55,4.96029385775513e-52,"HLA-DMB","Up_Inflamed"
181.616700745337,4.33368927163288,0.277609646793106,15.610730108607,6.15288311769639e-55,5.73463356291012e-52,"CSTA","Up_Inflamed"
2676.12161508349,2.1207791342454,0.136685681072205,15.5157374028453,2.71497746623188e-54,2.47157657943365e-51,"NCKAP1L","Up_Inflamed"
1188.89597123552,2.23240741419045,0.143908885236184,15.512644758012,2.84898062948755e-54,2.5346215168475e-51,"PTPN6","Up_Inflamed"
984.398421209817,2.15024606721795,0.138878606991581,15.4829178791252,4.52475943959272e-54,3.93603796139682e-51,"SLC7A7","Up_Inflamed"
1633.73314791348,3.58021232091792,0.231793490270499,15.4456983099045,8.06494090711415e-54,6.86308938715181e-51,"LYZ","Up_Inflamed"
1091.66678691907,2.007883989079,0.130256616036024,15.4148330440559,1.30106660150027e-53,1.08362238544102e-50,"GIMAP4","Up_Inflamed"
1860.17682702631,2.79278339622689,0.181491859549843,15.3879265062019,1.97252567739216e-53,1.60863578419825e-50,"EVI2B","Up_Inflamed"
70.7932655442747,4.35746214253401,0.28341684083689,15.374746714652,2.41787093883269e-53,1.93158281429807e-50,"GZMA","Up_Inflamed"
699.183067601705,2.58137604162184,0.167924218982123,15.3722676649558,2.51220029830418e-53,1.96680161354235e-50,"MNDA","Up_Inflamed"
612.897827085944,2.36289485978751,0.154279277597702,15.3156982362141,6.00633900800773e-53,4.61015961702868e-50,"GMFG","Up_Inflamed"
2597.72040105433,2.67609786880363,0.175005576186906,15.2915005745049,8.71194163134827e-53,6.55824913767554e-50,"MSR1","Up_Inflamed"
1794.423400614,1.74789038022115,0.114646828128089,15.245867755437,1.75387257871252e-52,1.29538381308871e-49,"LYN","Up_Inflamed"
76.8613143055456,3.42510166036805,0.224772727099577,15.2380660437095,1.97634112750109e-52,1.43266432288945e-49,"CD96","Up_Inflamed"
11151.5672244858,2.1965497018192,0.144457680653349,15.2054891916076,3.25192419002158e-52,2.3144831348799e-49,"LAPTM5","Up_Inflamed"
3056.25144036392,2.54085957806771,0.167253927798553,15.1916287498373,4.0181027909721e-52,2.80872560272505e-49,"PTPRC","Up_Inflamed"
31.239364052424,4.49427054710675,0.29781022557462,15.0910551793012,1.85452611058979e-51,1.25228230272991e-48,"P2RY10","Up_Inflamed"
91.3732573895393,2.19895663851246,0.145712907696355,15.0910216073292,1.85547001043133e-51,1.25228230272991e-48,"CD300C","Up_Inflamed"
