sample,MCP_macro_mono,QTS_macro,EPIC_macro,xCell_macro_mono,Microglia_Klemm,MicrogliaCore_Bohlen,MDM_Klemm,MgTAM_Antunes,MoTAM_Antunes
BS_00FD2KMP,5.02589094640772,0,0.00344982912530796,0.0480628806786106,0.753989111860987,0.755919342055123,0.583649374752646,0.756747342506911,0.593560540050596
BS_014EVM2D,7.27282220479854,0.0352901022503387,0.0325225333547741,0.293117472415707,0.907532974910866,0.895958525185415,0.761245550122193,0.908095021570617,0.777969717703095
BS_028YFYJ6,6.31984180028834,0.0296729986356908,0.0343540549151832,0.25803804359631,0.738331813864066,0.707540806770878,0.789602909308679,0.716114407919498,0.780717480457473
BS_044XZ8ST,4.88762397273974,0.0099485165072323,0.0206776854992336,0.203782714696829,0.865134446396168,0.848282411943062,0.704447362267137,0.845290751962687,0.702668249402227
BS_052PZFMK,3.2006174572911,0,0.00537558497776579,0.0235287271727931,0.612401189403378,0.620781046780302,0.575113855498086,0.64494517034532,0.607673056870761
BS_056Q8577,7.26973668848906,0.0230019213592394,0.0125256974355888,0.0122901352952298,0.783159659676243,0.778472646061091,0.623783832924538,0.808484179524127,0.678978254624099
BS_063ERW0R,4.59510455003,0,0.00575337147484935,0.0475456233624381,0.784062588917332,0.774998559554358,0.629045233492091,0.779733142083439,0.6609373278888
BS_06AMMCXR,5.97362022824228,0.0415002993283566,0.0193254622981911,0.2181828042338,0.776868615626618,0.753162990973108,0.811739112864867,0.754146513751004,0.805769015560507
BS_08ST21QE,5.92682487212964,0.0554504488534871,0.0335476691173028,0.362401507492382,0.784040556973049,0.768880941051622,0.786661378023999,0.766202674052108,0.81418423594622
BS_08TWG4K0,8.89384711397562,0.147033420263387,0.0924420249449175,0.547085576457637,0.868992897077557,0.859587135227782,0.798563602243928,0.87041198454598,0.811046989147223
BS_0C7VZC0A,4.35624237926182,0.0119052675471797,0.0111889134674202,0.130937535214916,0.82753314776318,0.808475412392859,0.630495115294973,0.804731409709549,0.681022414791869
BS_0D5VRAKC,8.38654066377598,0.105865850138832,0.0318762224284549,0.30837317489834,0.886913117236279,0.879522581641996,0.813632369351715,0.900551581358675,0.84456430164878
BS_0J9SHHSC,5.4111689393737,0.0156949406345475,0.0169199092128419,0.140441521157271,0.83652190810937,0.82280548557946,0.684345894634924,0.834190490185077,0.694382949521827
BS_0S8E7590,6.535553796219,0.0337463539003425,0.00528608867651449,0.0232973461189137,0.707708354788258,0.705267160686523,0.755380173313078,0.717401350030907,0.797195723035611
BS_0SCXXM6N,6.1520612694749,0.0260550990531152,0.0198196005544161,0.238877145563553,0.859919846587559,0.840264134743703,0.758680459303585,0.860958035432796,0.763594600665423
BS_0TDWG2CV,7.53707970707494,0.100786407804824,0.0297396064524905,0.329574670943567,0.861795127383658,0.844787351955259,0.802380492506488,0.857781332767062,0.851670070390981
BS_0VXZCRJS,5.10069806639858,0.00726446542126724,0.0104767105880569,0.0729532496335565,0.789379657150159,0.770077731050474,0.616941722660989,0.787120210548355,0.70141097576123
BS_0WVJYM9R,5.0556234598985,0.0172370052431748,0.0198623116587528,0.196971847210072,0.908071549052694,0.896576510082363,0.722120851165552,0.898032170128818,0.750793384748841
BS_0X9EGHY2,3.9379289971045,0,0.00757586960396701,0.0403707910964804,0.852990988975588,0.831261563932766,0.657907586434689,0.830848775831918,0.690438913064663
BS_0XEBS3PG,3.97034730479092,0,0.00618440050557787,0.0421827489867825,0.824071500260368,0.799714483604606,0.54716234630407,0.800979811434067,0.588529592449151
BS_0Y5J2AQ4,5.27899384137844,0.0299364481484848,0.00975760092943006,0.111834917913455,0.813284409855925,0.796388960134394,0.67844474643342,0.823075393528781,0.711015837729815
BS_0ZA67BBC,6.2197233708024,0.0069291160700064,0.00955735249262172,0.0362095348793849,0.865306230215444,0.846736378095397,0.593349229318535,0.85586340910827,0.696930133510538
BS_12G04QJM,3.05314529070768,0.00342946896712453,0.00324728515947144,0.109966506135686,0.680256545738581,0.670815287906089,0.657524268742507,0.690480930626304,0.685775213358368
BS_13CGKADW,3.7833525207012,0.000401540426780032,0.00679788489470652,0.0240266670465691,0.794519384257827,0.780296522967962,0.569180192924324,0.789364506896002,0.627351990046168
BS_166N7SZQ,4.96844567184056,0.0298428700851717,0.0103570437535638,0.171484598049417,0.772269335466176,0.747959792876816,0.675022706052153,0.772855334813629,0.706714304329168
BS_17WYVEEC,4.9544568688347,0.00783314527848787,0.00791898498611325,0.0809697547372345,0.818879728451012,0.809906946944287,0.592168397404703,0.829061575524845,0.603644377122653
BS_17ZSMXFH,3.81423852842888,0,0.00151944628039235,0,0.714791710033834,0.710142022307133,0.552122897967755,0.722491483063293,0.617227872012423
BS_1A6MQ9ZA,3.35868225059704,0.00618024684500733,0.00898297123980109,0.150491471468512,0.718320913760622,0.710637162206693,0.726126316328822,0.732306662113247,0.768434980453461
BS_1D93Z575,6.0225722985043,0.0262180676330487,0.0299582227425513,0.251983232564212,0.734762835335829,0.707676674368352,0.723322173708663,0.726660924841882,0.785907651605697
BS_1DECYC4K,6.79430632744212,0.0510385108962763,0.0108700213691317,0.147176104330903,0.866795771631011,0.853810318079848,0.689961929585479,0.877707754437445,0.72455485816866
BS_1EN5V3XW,3.5712208619881,0,0.00881640787320406,0.0178225220783877,0.694286272708214,0.685548009393242,0.577560018042908,0.692924169103133,0.622375493499749
