feature	family	group_A	group_B	z	p	q_BH_per_feature	mean_A_z_or_frac	mean_B_z_or_frac
ssGSEA_MoTAM_Antunes2021	ssGSEA	Immune-desert	Myeloid-dominant	-8.540984000491227	0.0	0.0	0.6078295887164932	0.7260643974946593
ssGSEA_MoTAM_Antunes2021	ssGSEA	Lymphocyte-inflamed	Myeloid-dominant	8.407775377998515	0.0	0.0	0.8016747545251702	0.7260643974946593
ssGSEA_NK_Cell_Activity	ssGSEA	Immune-desert	Lymphocyte-inflamed	-13.97276297773102	0.0	0.0	0.18828901675487972	0.3928070178692646
ssGSEA_NK_Cell_Activity	ssGSEA	Immune-desert	Myeloid-dominant	-7.821411012733073	5.329070518200751e-15	5.329070518200751e-15	0.18828901675487972	0.30410103083599005
ssGSEA_NK_Cell_Activity	ssGSEA	Lymphocyte-inflamed	Myeloid-dominant	7.9686343379259865	1.5543122344752192e-15	2.3314683517128287e-15	0.3928070178692646	0.30410103083599005
ssGSEA_Neutrophil_Activation	ssGSEA	Immune-desert	Lymphocyte-inflamed	-13.949587931585366	0.0	0.0	0.25160294083877943	0.515138897221103
ssGSEA_Neutrophil_Activation	ssGSEA	Immune-desert	Myeloid-dominant	-7.808505627626539	5.773159728050814e-15	5.773159728050814e-15	0.25160294083877943	0.4001159828109621
ssGSEA_Neutrophil_Activation	ssGSEA	Lymphocyte-inflamed	Myeloid-dominant	7.955342641013504	1.7763568394002505e-15	2.6645352591003757e-15	0.515138897221103	0.4001159828109621
ssGSEA_TGFb_Immunosuppression	ssGSEA	Immune-desert	Lymphocyte-inflamed	-14.47017803537477	0.0	0.0	0.5713535674844556	0.6850099354871947
ssGSEA_TGFb_Immunosuppression	ssGSEA	Immune-desert	Myeloid-dominant	-6.655383013468642	2.825628619973486e-11	2.825628619973486e-11	0.5713535674844556	0.6196007747191932
ssGSEA_TGFb_Immunosuppression	ssGSEA	Lymphocyte-inflamed	Myeloid-dominant	9.867128701651065	0.0	0.0	0.6850099354871947	0.6196007747191932
ssGSEA_T_Cell_Cytotoxicity	ssGSEA	Immune-desert	Lymphocyte-inflamed	-14.984561782774115	0.0	0.0	0.1292704139946302	0.42583720694215443
ssGSEA_T_Cell_Cytotoxicity	ssGSEA	Immune-desert	Myeloid-dominant	-7.640436565971773	2.1538326677728037e-14	2.1538326677728037e-14	0.1292704139946302	0.282919249578589
ssGSEA_T_Cell_Cytotoxicity	ssGSEA	Lymphocyte-inflamed	Myeloid-dominant	9.381141432725535	0.0	0.0	0.42583720694215443	0.282919249578589
ssGSEA_T_Cell_Exhaustion	ssGSEA	Immune-desert	Lymphocyte-inflamed	-13.98357180065753	0.0	0.0	0.32010231459152566	0.485719220476371
ssGSEA_T_Cell_Exhaustion	ssGSEA	Immune-desert	Myeloid-dominant	-6.342168626805562	2.2655322062803407e-10	2.2655322062803407e-10	0.32010231459152566	0.3947938418533443
ssGSEA_T_Cell_Exhaustion	ssGSEA	Lymphocyte-inflamed	Myeloid-dominant	9.635264943239932	0.0	0.0	0.485719220476371	0.3947938418533443
ssGSEA_Tregs_Friebel2020	ssGSEA	Immune-desert	Lymphocyte-inflamed	-13.958281479487544	0.0	0.0	0.14759636726875913	0.35119515798514217
ssGSEA_Tregs_Friebel2020	ssGSEA	Immune-desert	Myeloid-dominant	-7.035332733810954	1.9879653478938053e-12	1.9879653478938053e-12	0.14759636726875913	0.2390227443657537
ssGSEA_Tregs_Friebel2020	ssGSEA	Lymphocyte-inflamed	Myeloid-dominant	8.830100749849334	0.0	0.0	0.35119515798514217	0.2390227443657537
xCell_B cell	xCell	Immune-desert	Lymphocyte-inflamed	-3.174056006855755	0.0015032468119779985	0.0022548702179669977	0.0034901064265036395	0.022878630761508995
xCell_B cell	xCell	Immune-desert	Myeloid-dominant	-0.35245148348788913	0.7244996975237881	0.7244996975237882	0.0034901064265036395	0.0029941746963233914
xCell_B cell	xCell	Lymphocyte-inflamed	Myeloid-dominant	3.402394522260988	0.0006679813411920588	0.0020039440235761763	0.022878630761508995	0.0029941746963233914
xCell_B cell plasma	xCell	Immune-desert	Lymphocyte-inflamed	5.3789679593753705	7.491403852810663e-08	2.247421155843199e-07	0.01562560182242155	0.0075789442988578514
xCell_B cell plasma	xCell	Immune-desert	Myeloid-dominant	4.049640618931531	5.1296347263418696e-05	7.694452089512804e-05	0.01562560182242155	0.009733403435765505
xCell_B cell plasma	xCell	Lymphocyte-inflamed	Myeloid-dominant	-1.9064067191796048	0.05659745764597779	0.05659745764597779	0.0075789442988578514	0.009733403435765505
xCell_Cancer associated fibroblast	xCell	Immune-desert	Lymphocyte-inflamed	-2.88280435809241	0.003941521578137097	0.011824564734411291	0.012071935815393274	0.03649018719454604
xCell_Cancer associated fibroblast	xCell	Immune-desert	Myeloid-dominant	-0.7614194220841877	0.4464065904476038	0.4464065904476038	0.012071935815393274	0.01700939502324309
xCell_Cancer associated fibroblast	xCell	Lymphocyte-inflamed	Myeloid-dominant	2.596834160550371	0.00940873382892149	0.014113100743382234	0.03649018719454604	0.01700939502324309
xCell_Class-switched memory B cell	xCell	Immune-desert	Lymphocyte-inflamed	-1.0146207102444358	0.3102866632364405	0.3102866632364405	0.01202324167293562	0.016634994466885093
xCell_Class-switched memory B cell	xCell	Immune-desert	Myeloid-dominant	1.9517178035202774	0.05097171768659914	0.07645757652989871	0.01202324167293562	0.008802022578102597
xCell_Class-switched memory B cell	xCell	Lymphocyte-inflamed	Myeloid-dominant	3.395464975121783	0.0006851213904111031	0.0020553641712333093	0.016634994466885093	0.008802022578102597
xCell_Common lymphoid progenitor	xCell	Immune-desert	Lymphocyte-inflamed	-2.0291763574031	0.042440330766222445	0.042440330766222445	0.17268104616205693	0.2178526290513304
xCell_Common lymphoid progenitor	xCell	Immune-desert	Myeloid-dominant	-4.03753369609664	5.401608797739321e-05	0.00016204826393217964	0.17268104616205693	0.2452786464872289
xCell_Common lymphoid progenitor	xCell	Lymphocyte-inflamed	Myeloid-dominant	-2.086665395813772	0.03691839136636621	0.042440330766222445	0.2178526290513304	0.2452786464872289
xCell_Endothelial cell	xCell	Immune-desert	Lymphocyte-inflamed	-5.173005407569849	2.3035834417761691e-07	6.910750325328507e-07	0.030428858310793887	0.06957909681013291
xCell_Endothelial cell	xCell	Immune-desert	Myeloid-dominant	-4.642973932420829	3.434296945270532e-06	5.151445417905798e-06	0.030428858310793887	0.06237060379196113
xCell_Endothelial cell	xCell	Lymphocyte-inflamed	Myeloid-dominant	0.9967494373923084	0.318886146537694	0.318886146537694	0.06957909681013291	0.06237060379196113
xCell_Hematopoietic stem cell	xCell	Immune-desert	Lymphocyte-inflamed	-2.7629675878203126	0.005727845405824272	0.008591768108736408	0.2949487934375819	0.36918994996619153
xCell_Hematopoietic stem cell	xCell	Immune-desert	Myeloid-dominant	-2.8104639154058564	0.004947013592902616	0.008591768108736408	0.2949487934375819	0.35906598325751427
xCell_Hematopoietic stem cell	xCell	Lymphocyte-inflamed	Myeloid-dominant	0.16279392075034452	0.8706806949550292	0.8706806949550292	0.36918994996619153	0.35906598325751427
xCell_Macrophage	xCell	Immune-desert	Lymphocyte-inflamed	-12.519100591442	0.0	0.0	0.008307746986062351	0.10487477037562491
xCell_Macrophage	xCell	Immune-desert	Myeloid-dominant	-7.877568631047373	3.3306690738754696e-15	4.9960036108132044e-15	0.008307746986062351	0.0445664996565482
xCell_Macrophage	xCell	Lymphocyte-inflamed	Myeloid-dominant	6.167162183554025	6.952642905844186e-10	6.952642905844186e-10	0.10487477037562491	0.0445664996565482
xCell_Macrophage M1	xCell	Immune-desert	Lymphocyte-inflamed	-12.619954737683889	0.0	0.0	0.01072792502606922	0.083041802564462
xCell_Macrophage M1	xCell	Immune-desert	Myeloid-dominant	-7.863893961925679	3.774758283725532e-15	5.662137425588298e-15	0.01072792502606922	0.042230063282600996
xCell_Macrophage M1	xCell	Lymphocyte-inflamed	Myeloid-dominant	6.303078897644875	2.917903696442181e-10	2.917903696442181e-10	0.083041802564462	0.042230063282600996
xCell_Macrophage M2	xCell	Immune-desert	Lymphocyte-inflamed	-8.722474196121691	0.0	0.0	0.007995040493881797	0.039514912500553646
xCell_Macrophage M2	xCell	Immune-desert	Myeloid-dominant	-3.1150848814913594	0.001838919841055997	0.001838919841055997	0.007995040493881797	0.014171035160382543
xCell_Macrophage M2	xCell	Lymphocyte-inflamed	Myeloid-dominant	6.950271955133165	3.645750368264089e-12	5.4686255523961336e-12	0.039514912500553646	0.014171035160382543
xCell_Mast cell	xCell	Immune-desert	Lymphocyte-inflamed	1.7216035550764655	0.08514135875875861	0.08514135875875861	0.007813720654975112	0.0072653685496699046
xCell_Mast cell	xCell	Immune-desert	Myeloid-dominant	4.346437544420068	1.3836642558828771e-05	4.1509927676486313e-05	0.007813720654975112	0.0028982577629381124
xCell_Mast cell	xCell	Lymphocyte-inflamed	Myeloid-dominant	2.7998815783734776	0.005112135692998621	0.007668203539497931	0.0072653685496699046	0.0028982577629381124
xCell_Monocyte	xCell	Immune-desert	Lymphocyte-inflamed	-10.533154689459748	0.0	0.0	0.00040861133183858837	0.044695705183703784
xCell_Monocyte	xCell	Immune-desert	Myeloid-dominant	-4.486130602314154	7.2528293273421696e-06	7.2528293273421696e-06	0.00040861133183858837	0.006436330324500711
xCell_Monocyte	xCell	Lymphocyte-inflamed	Myeloid-dominant	7.5832391084788755	3.375077994860476e-14	5.062616992290714e-14	0.044695705183703784	0.006436330324500711
xCell_Myeloid dendritic cell	xCell	Immune-desert	Lymphocyte-inflamed	-3.7797804587319592	0.00015696669941478447	0.0004709000982443534	3.127568595575004e-19	0.0029626118669402695
xCell_Myeloid dendritic cell	xCell	Immune-desert	Myeloid-dominant	-1.3631365535935691	0.17283947843010106	0.17283947843010106	3.127568595575004e-19	0.00014850243517738177
xCell_Myeloid dendritic cell	xCell	Lymphocyte-inflamed	Myeloid-dominant	2.9970032531975397	0.0027264780374975928	0.004089717056246389	0.0029626118669402695	0.00014850243517738177
xCell_Myeloid dendritic cell activated	xCell	Immune-desert	Lymphocyte-inflamed	-11.858240155289945	0.0	0.0	0.07287686716824977	0.19333540947690994
xCell_Myeloid dendritic cell activated	xCell	Immune-desert	Myeloid-dominant	-7.036551174099894	1.970645868709653e-12	2.9559688030644793e-12	0.07287686716824977	0.13613270798846272
xCell_Myeloid dendritic cell activated	xCell	Lymphocyte-inflamed	Myeloid-dominant	6.316928594926891	2.6681279408080627e-10	2.6681279408080627e-10	0.19333540947690994	0.13613270798846272
xCell_NK cell	xCell	Immune-desert	Lymphocyte-inflamed	-0.8139619537646069	0.4156667470041797	0.4156667470041797	4.9530420487476736e-18	5.061019324708269e-18
xCell_NK cell	xCell	Immune-desert	Myeloid-dominant	-2.7568322562699485	0.005836428381551739	0.017509285144655218	4.9530420487476736e-18	8.171909366502252e-18
xCell_NK cell	xCell	Lymphocyte-inflamed	Myeloid-dominant	-2.108408945937447	0.03499563129421679	0.052493446941325184	5.061019324708269e-18	8.171909366502252e-18
xCell_Neutrophil	xCell	Immune-desert	Lymphocyte-inflamed	-2.5862245638534196	0.009703368874774077	0.014555053312161115	0.00037085759451206386	0.004183791463485911
xCell_Neutrophil	xCell	Immune-desert	Myeloid-dominant	0.22096089577922928	0.8251228810563829	0.8251228810563829	0.00037085759451206386	0.0007681562618986732
xCell_Neutrophil	xCell	Lymphocyte-inflamed	Myeloid-dominant	3.3403431001902906	0.0008367494609777815	0.0025102483829333444	0.004183791463485911	0.0007681562618986732
xCell_Plasmacytoid dendritic cell	xCell	Immune-desert	Lymphocyte-inflamed	-6.249189113310696	4.12589074016978e-10	1.237767222050934e-09	0.0019870834709091486	0.009498993921489094
xCell_Plasmacytoid dendritic cell	xCell	Immune-desert	Myeloid-dominant	-1.773464948886911	0.07615169501067376	0.07615169501067376	0.0019870834709091486	0.0010290695176454802
xCell_Plasmacytoid dendritic cell	xCell	Lymphocyte-inflamed	Myeloid-dominant	5.491882813855082	3.976712359410328e-08	5.965068539115492e-08	0.009498993921489094	0.0010290695176454802
xCell_T cell CD4+ Th1	xCell	Immune-desert	Lymphocyte-inflamed	1.2082394294454968	0.2269551793041762	0.2269551793041762	0.044344563971729714	0.03685301923797671
xCell_T cell CD4+ Th1	xCell	Immune-desert	Myeloid-dominant	-2.067448740116216	0.038691889592710194	0.05803783438906529	0.044344563971729714	0.05444563817455779
xCell_T cell CD4+ Th1	xCell	Lymphocyte-inflamed	Myeloid-dominant	-3.7564278711851173	0.00017235591691378005	0.0005170677507413401	0.03685301923797671	0.05444563817455779
xCell_T cell CD4+ central memory	xCell	Immune-desert	Lymphocyte-inflamed	2.8438503905828028	0.0044571971278739575	0.006685795691810936	0.02787003295906859	0.008743196820098333
xCell_T cell CD4+ central memory	xCell	Immune-desert	Myeloid-dominant	3.6435057285569563	0.00026894966359392036	0.0008068489907817611	0.02787003295906859	0.00884931422495944
xCell_T cell CD4+ central memory	xCell	Lymphocyte-inflamed	Myeloid-dominant	0.6717538093867275	0.5017404389944806	0.5017404389944806	0.008743196820098333	0.00884931422495944
xCell_T cell CD4+ effector memory	xCell	Immune-desert	Lymphocyte-inflamed	-4.090652545034194	4.301611674151218e-05	0.00012904835022453653	0.00031356572737574825	0.011787364243711925
xCell_T cell CD4+ effector memory	xCell	Immune-desert	Myeloid-dominant	-1.5134393079785886	0.13016810667070855	0.13016810667070855	0.00031356572737574825	0.003295478544966212
xCell_T cell CD4+ effector memory	xCell	Lymphocyte-inflamed	Myeloid-dominant	3.2008007630157653	0.0013704625846779894	0.002055693877016984	0.011787364243711925	0.003295478544966212
xCell_T cell CD8+ naive	xCell	Immune-desert	Lymphocyte-inflamed	1.6315417514096964	0.10277605756514285	0.15416408634771428	0.01135048616579288	0.008958368103516664
xCell_T cell CD8+ naive	xCell	Immune-desert	Myeloid-dominant	-0.776294392190059	0.43757518342317314	0.43757518342317314	0.01135048616579288	0.01400708890880496
xCell_T cell CD8+ naive	xCell	Lymphocyte-inflamed	Myeloid-dominant	-2.8192983030296173	0.004812876762360752	0.014438630287082255	0.008958368103516664	0.01400708890880496
xCell_T cell NK	xCell	Immune-desert	Lymphocyte-inflamed	-3.0389647034078435	0.002373926661468184	0.004240374627446197	0.16421585899046195	0.20194932888348363
xCell_T cell NK	xCell	Immune-desert	Myeloid-dominant	-2.985957809973736	0.002826916418297465	0.004240374627446197	0.16421585899046195	0.19745698106038265
xCell_T cell NK	xCell	Lymphocyte-inflamed	Myeloid-dominant	0.2967161462213243	0.766683228991053	0.7666832289910529	0.20194932888348363	0.19745698106038265
xCell_T cell regulatory (Tregs)	xCell	Immune-desert	Lymphocyte-inflamed	1.2896987153366828	0.19715528581784092	0.19715528581784092	0.022029224035932254	0.022293331467991458
xCell_T cell regulatory (Tregs)	xCell	Immune-desert	Myeloid-dominant	3.243886257040479	0.0011791082098617789	0.0035373246295853367	0.022029224035932254	0.0138413006529777
xCell_T cell regulatory (Tregs)	xCell	Lymphocyte-inflamed	Myeloid-dominant	2.0838879545042706	0.03717036027670306	0.055755540415054594	0.022293331467991458	0.0138413006529777
xCell_immune score	xCell	Immune-desert	Lymphocyte-inflamed	-12.161529682175102	0.0	0.0	0.017835763063986012	0.12834273723395032
xCell_immune score	xCell	Immune-desert	Myeloid-dominant	-5.432534512933027	5.555920346012044e-08	5.555920346012044e-08	0.017835763063986012	0.04035678236459113
xCell_immune score	xCell	Lymphocyte-inflamed	Myeloid-dominant	8.472878488980463	0.0	0.0	0.12834273723395032	0.04035678236459113
xCell_microenvironment score	xCell	Immune-desert	Lymphocyte-inflamed	-11.989913467838738	0.0	0.0	0.041142302643027	0.18436737253115476
xCell_microenvironment score	xCell	Immune-desert	Myeloid-dominant	-6.015531259376596	1.792976878078889e-09	1.792976878078889e-09	0.041142302643027	0.08273185794640678
xCell_microenvironment score	xCell	Lymphocyte-inflamed	Myeloid-dominant	7.6158577024010565	2.6201263381153694e-14	3.930189507173054e-14	0.18436737253115476	0.08273185794640678
xCell_stroma score	xCell	Immune-desert	Lymphocyte-inflamed	-5.922084765041156	3.1788569554436208e-09	9.536570866330862e-09	0.023306539579040948	0.05602463529720432
xCell_stroma score	xCell	Immune-desert	Myeloid-dominant	-4.264120123511353	2.006914610630517e-05	3.0103719159457754e-05	0.023306539579040948	0.04237507558181562
xCell_stroma score	xCell	Lymphocyte-inflamed	Myeloid-dominant	2.316240995297709	0.020545113992657127	0.020545113992657127	0.05602463529720432	0.04237507558181562
