feature	family	group_A	group_B	z	p	q_BH_per_feature	mean_A_z_or_frac	mean_B_z_or_frac
LM22_NK cells activated	LM22	Immune-desert	Myeloid-dominant	2.7363482429304398	0.006212524246791862	0.009318786370187793	0.04396518167794587	0.031626038264548115
LM22_NK cells activated	LM22	Lymphocyte-inflamed	Myeloid-dominant	-0.9894296545456788	0.32245297157650876	0.32245297157650876	0.027953311323665676	0.031626038264548115
LM22_T cells follicular helper	LM22	Immune-desert	Lymphocyte-inflamed	4.110325435171019	3.9510187872737745e-05	5.926528180910662e-05	0.06204931908915438	0.034619315843779974
LM22_T cells follicular helper	LM22	Immune-desert	Myeloid-dominant	4.596046961407382	4.305816935445961e-06	1.2917450806337882e-05	0.06204931908915438	0.03392606669118141
LM22_T cells follicular helper	LM22	Lymphocyte-inflamed	Myeloid-dominant	0.22183559174718792	0.8244418714674906	0.8244418714674907	0.034619315843779974	0.03392606669118141
MCP_B cell	MCP	Immune-desert	Lymphocyte-inflamed	-11.131204787083774	0.0	0.0	0.369528432331642	1.164850028156749
MCP_B cell	MCP	Immune-desert	Myeloid-dominant	-5.292070553110415	1.2093921486489023e-07	1.2093921486489023e-07	0.369528432331642	0.6267840422224927
MCP_B cell	MCP	Lymphocyte-inflamed	Myeloid-dominant	7.397561233530433	1.3877787807814457e-13	2.0816681711721685e-13	1.164850028156749	0.6267840422224927
MCP_Cancer associated fibroblast	MCP	Immune-desert	Lymphocyte-inflamed	-9.945697737460476	0.0	0.0	3.01898829856751	4.917400381876585
MCP_Cancer associated fibroblast	MCP	Immune-desert	Myeloid-dominant	-5.130304656373991	2.8927361483965797e-07	2.8927361483965797e-07	3.01898829856751	3.8347022274007188
MCP_Cancer associated fibroblast	MCP	Lymphocyte-inflamed	Myeloid-dominant	6.160448515867674	7.253919687144617e-10	1.0880879530716925e-09	4.917400381876585	3.8347022274007188
MCP_Endothelial cell	MCP	Immune-desert	Lymphocyte-inflamed	-7.988370996543044	1.3322676295501878e-15	3.9968028886505635e-15	1.7412866203138389	2.590332132038294
MCP_Endothelial cell	MCP	Immune-desert	Myeloid-dominant	-4.264884713935957	2.000054461981371e-05	2.000054461981371e-05	1.7412866203138389	2.1256921696159474
MCP_Endothelial cell	MCP	Lymphocyte-inflamed	Myeloid-dominant	4.786822571179899	1.6944250571526709e-06	2.5416375857290063e-06	2.590332132038294	2.1256921696159474
MCP_Macrophage/Monocyte	MCP	Immune-desert	Lymphocyte-inflamed	-12.3096221786585	0.0	0.0	1.9387912196755246	3.6582830361516123
MCP_Macrophage/Monocyte	MCP	Immune-desert	Myeloid-dominant	-4.577972577215639	4.695042238545e-06	4.695042238545e-06	1.9387912196755246	2.5085030606495082
MCP_Macrophage/Monocyte	MCP	Lymphocyte-inflamed	Myeloid-dominant	9.605356366230875	0.0	0.0	3.6582830361516123	2.5085030606495082
MCP_Monocyte	MCP	Immune-desert	Lymphocyte-inflamed	-12.3096221786585	0.0	0.0	1.9387912196755246	3.6582830361516123
MCP_Monocyte	MCP	Immune-desert	Myeloid-dominant	-4.577972577215639	4.695042238545e-06	4.695042238545e-06	1.9387912196755246	2.5085030606495082
MCP_Monocyte	MCP	Lymphocyte-inflamed	Myeloid-dominant	9.605356366230875	0.0	0.0	3.6582830361516123	2.5085030606495082
MCP_Myeloid dendritic cell	MCP	Immune-desert	Lymphocyte-inflamed	-8.753963557897533	0.0	0.0	0.2860193399618295	0.6189336917774401
MCP_Myeloid dendritic cell	MCP	Immune-desert	Myeloid-dominant	-3.7287486804726786	0.00019243294902793195	0.00019243294902793195	0.2860193399618295	0.3802464084883759
MCP_Myeloid dendritic cell	MCP	Lymphocyte-inflamed	Myeloid-dominant	6.301897081741785	2.9402436041436886e-10	4.410365406215533e-10	0.6189336917774401	0.3802464084883759
MCP_NK cell	MCP	Immune-desert	Lymphocyte-inflamed	-9.107730277074555	0.0	0.0	0.06706592028648672	0.19192365554225532
MCP_NK cell	MCP	Immune-desert	Myeloid-dominant	-2.852190754305404	0.004341903659803581	0.004341903659803581	0.06706592028648672	0.06583152579212566
