	PDCD1	CD274	CTLA4	LAG3	HAVCR2	TIGIT	CD276
PDCD1	1.0	0.2805171339726435	0.45545366586688235	0.3844775987617593	0.4713660916997977	0.28887749849466765	0.23704879288853595
CD274	0.2805171339726435	1.0	0.4480045519144752	0.2793388766908987	0.6264370149520444	0.3481643277621765	0.3645471170226269
CTLA4	0.45545366586688235	0.4480045519144752	1.0	0.33001001444100264	0.5863559796588922	0.408761411625	0.1797684182908676
LAG3	0.3844775987617593	0.2793388766908987	0.33001001444100264	1.0	0.30057284483018726	0.22948668896034013	0.34436877522479026
HAVCR2	0.4713660916997977	0.6264370149520444	0.5863559796588922	0.30057284483018726	1.0	0.4383745817886496	0.3239412902620746
TIGIT	0.28887749849466765	0.3481643277621765	0.408761411625	0.22948668896034013	0.4383745817886496	1.0	0.10710612661939067
CD276	0.23704879288853595	0.3645471170226269	0.1797684182908676	0.34436877522479026	0.3239412902620746	0.10710612661939067	1.0
