panel	KW_p	eps2	median_eps2_per_gene	prolif_dir_Inflamed_minus_Desert
Immune composite	4.128425821038184e-55	0.7180594447253875	0.3479717817433421	
Proliferation composite	0.0046027025923379	0.02532434467015017	0.021810757242996828	0.38134328725876854
