method,MCP_CD8,QTS_CD8,EPIC_CD8,Cytolytic_ssGSEA
MCP_CD8,1,0.390552253403528,0.299609674551574,0.541957168693832
QTS_CD8,0.390552253403528,1,0.157282749298968,0.28147448556353
EPIC_CD8,0.299609674551574,0.157282749298968,1,0.260612851122649
Cytolytic_ssGSEA,0.541957168693832,0.28147448556353,0.260612851122649,1
